Company Name,Industry,Symbol,Series,ISIN Code
Banco Santander S.A.,Financials,SAN.MC,EQ,ES0113900J37
Banco Bilbao Vizcaya Argentaria S.A.,Financials,BBVA.MC,EQ,ES0113211835
CaixaBank SA,Financials,CABK.MC,EQ,ES0140609019
Banco Bradesco SA Pfd,Financials,XBBDC.MC,EQ,BRBBDCACNPR8
Grupo Financiero Banorte SAB de CV Class O,Financials,XNOR.MC,EQ,MXP370711014
Banco de Sabadell SA,Financials,SAB.MC,EQ,ES0113860A34
Bankinter SA,Financials,BKT.MC,EQ,ES0113679I37
Mapfre SA,Financials,MAP.MC,EQ,ES0124244E34
MERLIN Properties SOCIMI S.A.,Financials,MRL.MC,EQ,ES0105025003
Unicaja Banco S.A.,Financials,UNI.MC,EQ,ES0180907000
General de Galerias Comerciales SA,Financials,GGC.MC,EQ,ES0105195004
Grupo Elektra SAB de CV,Financials,XEKT.MC,EQ,MX01EL000003
Colonial SFL SOCIMI SA,Financials,COL.MC,EQ,ES0139140174
Banco BBVA Argentina SA,Financials,XBBAR.MC,EQ,ARP125991090
INMOCEMENTO SA,Financials,IMC.MC,EQ,ES0105836003
Metrovacesa SA,Financials,MVC.MC,EQ,ES0105122024
Realia Business S.A.,Financials,RLIA.MC,EQ,ES0173908015
Neinor Homes SA,Financials,HOME.MC,EQ,ES0105251005
Castellana Properties Socimi SA,Financials,YCPS.MC,EQ,ES0105360004
Bradespar SA Pfd,Financials,XBRPP.MC,EQ,BRBRAPACNPR2
Bradespar S.A.,Financials,XBRPO.MC,EQ,BRBRAPACNOR5
Linea Directa Aseguradora SA,Financials,LDA.MC,EQ,ES0105546008
Gmp Property SOCIMI SA,Financials,YGMP.MC,EQ,ES0105134011
Emperador Properties SOCIMI SA,Financials,YEPSA.MC,EQ,ES0105685004
Vivenio Residencial SOCIMI SA,Financials,YVIV.MC,EQ,ES0105384004
AEDAS Homes SA,Financials,AEDAS.MC,EQ,ES0105287009
RENTA 4 BANCO SA,Financials,R4.MC,EQ,ES0173358039
HELIOS RE SOCIMI S.A.,Financials,SCHLR.MC,EQ,ES0105015012
Zambal Spain SOCIMI SA,Financials,YZBL.MC,EQ,ES0105080008
Atom Hoteles SOCIMI SA,Financials,YATO.MC,EQ,ES0105318002
Testa Residencial Socimi SA,Financials,YTST.MC,EQ,ES0105210019
Fidere Patrimonio Socimi SAU,Financials,YFID.MC,EQ,ES0105071007
Alantra Partners SA,Financials,ALNT.MC,EQ,ES0126501131
SAINT CROIX HOLDING IMMOBILIER SOCIMI S.A.,Financials,SCHI.MC,EQ,LU0720694636
Hotei Properties Group SOCIMI SA,Financials,YHTI.MC,EQ,ES0105407003
Natac Natural Ingredients SA,Financials,NAT.MC,EQ,ES0171613005
Silicius Real Estate Socimi SA,Financials,YSIL.MC,EQ,ES0105569000
Vitruvio Real Estate SOCIMI S.A.,Financials,YVIT.MC,EQ,ES0105139002
Arima Real Estate SOCIMI SA,Financials,ARM.MC,EQ,ES0105376059
IRG10 SOCIMI SA,Financials,YIRG.MC,EQ,ES0105653002
All Iron Re I Socimi SA,Financials,YAI1.MC,EQ,ES0105495008
Compania Espanola de Viviendas en Alquiler S.A.,Financials,CEV.MC,EQ,ES0132955008
Trivium Real Estate Socimi SA,Financials,YTRI.MC,EQ,ES0105421004
Olimpo Real Estate SOCIMI S.A.,Financials,YORE.MC,EQ,ES0105224002
Indexa Capital Group S.A.,Financials,INDXA.MC,EQ,ES0105702007
Clerhp Estructuras SA,Financials,CLR.MC,EQ,ES0105121000
Euro Cervantes SOCIMI SAU,Financials,YEUR.MC,EQ,ES0105175006
Inversiones Doalca SOCIMI SA,Financials,YDOA.MC,EQ,ES0105120002
General de Alquiler de Maquinaria S.A.,Financials,GAM.MC,EQ,ES0141571192
Torimbia SOCIMI SA,Financials,YTRM.MC,EQ,ES0105429007
Adriano Care SOCIMI SA,Financials,YADR.MC,EQ,ES0105405007
ISC Fresh Water Investment SOCIMI S.A.,Financials,YISC.MC,EQ,ES0105153003
GOP Properties SOCIMI SA,Financials,YGOP.MC,EQ,ES0105273009
Tempore Properties SOCIMI SA,Financials,YTEM.MC,EQ,ES0105323002
TANDER INVERSIONES SOCIMI SA,Financials,YTAN.MC,EQ,ES0105314001
Aeternal Mentis SA,Financials,AMEN.MC,EQ,ES0105588000
Entrecampos Cuatro SOCIMI SA,Financials,YENT.MC,EQ,ES0131172001
Hispanotels Inversiones SOCIMI SA,Financials,YHSP.MC,EQ,ES0105379004
Serrano 61 Desarrollo Socimi SA,Financials,YSRR.MC,EQ,ES0105317004
Meridia Real Estate III SOCIMI SA,Financials,YMRE.MC,EQ,ES0105313003
Santa Ana Global Enterprises SA,Financials,STNA.MC,EQ,ES0105852000
ADVERO Properties Socimi SA,Financials,YADV.MC,EQ,ES0105448007
IBI LION Socimi S.A.,Financials,YIBI.MC,EQ,ES0105633004
Axon Partners Group SA,Financials,APG.MC,EQ,ES0105659009
Alquiber Quality SA,Financials,ALQ.MC,EQ,ES0105366001
Azaria Rental SOCIMI SA,Financials,YAZR.MC,EQ,ES0105373007
Libertas 7 SA,Financials,LIB.MC,EQ,ES0137998A12
Inbest GPF Multi Asset Class Prime IV SA,Financials,SCIG4.MC,EQ,ES0105683009
Milepro Logistica Ultima Milla SA,Financials,YMIL.MC,EQ,ES0105584009
Techo Hogar SOCIMI Sociedad de Beneficio e Interes Comun SA,Financials,YTCH.MC,EQ,ES0105775003
Inversa Prime SOCIMI SA,Financials,YIPS.MC,EQ,ES0105389003
Arrienda Rental Properties SOCIMI SA,Financials,YARP.MC,EQ,ES0105383006
Inbest Prime I Inmuebles Socimi SA,Financials,YINB1.MC,EQ,ES0105413001
Montebalito S.A.,Financials,MTB.MC,EQ,ES0116494016
Inbest Prime IV Inmuebles SOCIMI SA,Financials,YINB4.MC,EQ,ES0105416004
Inbest Prime VI Inmuebles SOCIMI SA,Financials,YINB6.MC,EQ,ES0105556007
AP67 Socimi SA,Financials,SCAP7.MC,EQ,ES0105325007
Home Capital Rentals Socimi SA,Financials,YHCR.MC,EQ,ES0105465001
Jaba I Inversiones Inmobiliarias Socimi,Financials,YABA.MC,EQ,ES0105098000
Barcino Property Socimi SA,Financials,YBAR.MC,EQ,ES0105284006
Urban View Development Spain Socimi SA,Financials,SCUVS.MC,EQ,ES0105392007
Numulae Gestion de Servicios Socimi SA,Financials,YNUM.MC,EQ,ES0105265005
Inhome Prime Properties SOCIMI SA,Financials,SCIPP.MC,EQ,ES0105657003
Quonia SOCIMI S.A.,Financials,YQUO.MC,EQ,ES0105150009
Inmobiliaria Park Rose Iberoamericana SOCIMI SA,Financials,SCPKR.MC,EQ,ES0105391009
Inbest Prime VIII Inmuebles SOCIMI SA,Financials,YINB8.MC,EQ,ES0105558003
Renta Corporacion Real Estate S.A.,Financials,REN.MC,EQ,ES0173365018
Inbest Prime III Inmuebles SOCIMI SA,Financials,YINB3.MC,EQ,ES0105415006
Inbest Prime II Inmuebles SOCIMI SA,Financials,YINB2.MC,EQ,ES0105414009
Mistral Iberia Real Estate SOCIMI SA,Financials,YMIB.MC,EQ,ES0105445003
Inbest GPF Multi Asset Class Prime VIII SA,Financials,SCIG8.MC,EQ,ES0105766002
VBARE Iberian Properties SOCIMI S.A.,Financials,SCVBA.MC,EQ,ES0105196002
Miciso Real Estate SOCIMI SA,Financials,YMCS.MC,EQ,ES0105707006
Domo Activos SA,Financials,DOMO.MC,EQ,ES0105283008
Greenoak Spain Holdings Socimi II SA,Financials,YGO2.MC,EQ,ES0105436002
Elaia Investment Spain SOCIMI S.A.,Financials,YEIS.MC,EQ,ES0105281002
Nextpoint Capital Socimi SA,Financials,YNPC.MC,EQ,ES0105475000
Inbest GPF Multi-Asset Class Prime II Socimi S.A.,Financials,SCIG2.MC,EQ,ES0105681003
Mistral Iberia Real Estate SOCIMI II SA,Financials,SCMIB.MC,EQ,ES0105813002
Aldicer RE SOCIMI SA,Financials,SCALD.MC,EQ,ES0105976007
Inbest GPF Multi Asset Class Prime VI SA,Financials,SCIG6.MC,EQ,ES0105768008
NORDESTE PROPERTIES SOCIMI S.A.,Financials,SCHST.MC,EQ,ES0105790002
Alquiler Seguro Asset Market Socimi SA,Financials,SCASM.MC,EQ,ES0105765004
Inbest GPF Multi Asset Class Prime V SA,Financials,SCIG5.MC,EQ,ES0105749008
Ktesios Real Estate Socimi SA,Financials,YKTS.MC,EQ,ES0105536009
Caminho Propicio Sic Imobiliaria Fechada SA,Financials,SCCHP.MC,EQ,PTCSF0AM0002
Alfil Patrimonial Socimi SA,Financials,SCALF.MC,EQ,ES0105757019
Inmobiliaria Marbella Socimi S.A.,Financials,SCIMS.MC,EQ,ES0105889002
Lauthon Invest SOCIMI SA,Financials,SCLIS.MC,EQ,ES0105816005
Inbest Prime VII Inmuebles SOCIMI SA,Financials,YINB7.MC,EQ,ES0105557005
Prevision Sanitaria Nacional Gestion SOCIMI SA,Financials,YPSN.MC,EQ,ES0170756037
Fadair SIL SA,Financials,SL014.MC,EQ,ES0135947002
Inbest GPF Multi Asset Class Prime III SA,Financials,SCIG3.MC,EQ,ES0105682001
Matritense Real Estate SA,Financials,YMAT.MC,EQ,ES0105656005
SOLVENTO GROUP 2022 SOCIMI SA,Financials,SCSOL.MC,EQ,ES0105761003
Iniciativas Faro 2024 SOCIMI S.A.,Financials,SCFRS.MC,EQ,ES0106007000
Polo Capital SIL SA,Financials,SL018.MC,EQ,ES0170337036
Inbest GPF Multi Asset Class Prime I SA,Financials,SCIG1.MC,EQ,ES0105680005
Moonhealth SIL SA,Financials,SL030.MC,EQ,ES0164452007
