Company Name,Industry,Symbol,Series,ISIN Code
Grifols S.A. Pref Class B,Health Care,GRF.P.MC,EQ,ES0171996095
Grifols S.A. Class A,Health Care,GRF.MC,EQ,ES0171996087
Laboratorios Farmaceuticos Rovi S.A.,Health Care,ROVI.MC,EQ,ES0157261019
Almirall SA,Health Care,ALM.MC,EQ,ES0157097017
Pharma Mar SA,Health Care,PHM.MC,EQ,ES0169501022
Faes Farma S.A.,Health Care,FAE.MC,EQ,ES0134950F36
Clinica Baviera SA,Health Care,CBAV.MC,EQ,ES0119037010
Oryzon Genomics SA,Health Care,ORY.MC,EQ,ES0167733015
PRIM S.A.,Health Care,PRM.MC,EQ,ES0170884417
LABORATORIO REIG JOFRE S.A.,Health Care,RJF.MC,EQ,ES0165359029
Atrys Health SA,Health Care,ATRY.MC,EQ,ES0105148003
Naturhouse Health SA,Health Care,NTH.MC,EQ,ES0105043006
Vytrus Biotech SA,Health Care,VYT.MC,EQ,ES0105618005
Labiana Health SA,Health Care,LAB.MC,EQ,ES0105638003
Pangaea Oncology SA,Health Care,PANG.MC,EQ,ES0105221008
Biotechnology Assets SA,Health Care,BST.MC,EQ,ES0184980003
EuroEspes S.A.,Health Care,EEP.MC,EQ,ES0133421000
