Company Name,Industry,Symbol,Series,ISIN Code
Aena,Industrials,AENA.MC,EQ,ES0105046017
ACS Group,Industrials,ACS.MC,EQ,ES0167050915
IAG (Iberia),Industrials,IAG.MC,EQ,ES0177542018
Acciona,Industrials,ANA.MC,EQ,ES0125220311
Fomento de Construcciones y Contratas  S.A.,Industrials,FCC.MC,EQ,ES0122060314
Logista,Industrials,LOG.MC,EQ,ES0105027009
Sacyr,Industrials,SCYR.MC,EQ,ES0182870214
Fluidra,Industrials,FDR.MC,EQ,ES0137650018
Grenergy Renovables S.A,Industrials,GRE.MC,EQ,ES0105079000
Elecnor S.A.,Industrials,ENO.MC,EQ,ES0129743318
Tecnicas Reunidas,Industrials,TRE.MC,EQ,ES0178165017
Construcciones y Auxiliar de Ferrocarriles  S.A.,Industrials,CAF.MC,EQ,ES0121975009
Cirsa Enterprises  S.A.U.,Industrials,CIRSA.MC,EQ,ES0105884011
Arteche Lantegi Elkartea SA,Industrials,ART.MC,EQ,ES0105521001
Prosegur,Industrials,PSG.MC,EQ,ES0175438003
Prosegur Cash SA,Industrials,CASH.MC,EQ,ES0105229001
Obrascon Huarte Lain SA,Industrials,OHLA.MC,EQ,ES0142090317
Grupo Empresarial San Jose  S.A.,Industrials,GSJ.MC,EQ,ES0180918015
Ebro EV Motors SA,Industrials,EBROM.MC,EQ,ES0105725008
Amper  S.A.,Industrials,AMP.MC,EQ,ES0109260531
Global Dominion,Industrials,DOM.MC,EQ,ES0105130001
Talgo SA,Industrials,TLGO.MC,EQ,ES0105065009
Azkoyen  S.A.,Industrials,AZK.MC,EQ,ES0112458312
Aplicaciones y Tratamiento de Sistemas  S.A.,Industrials,ATSI.MC,EQ,ES0105691002
Iberpapel Gestion  S.A.,Industrials,IBG.MC,EQ,ES0147561015
LaFinca Global Assets SOCIMI SA,Industrials,YLFG.MC,EQ,ES0105432001
Airtificial Intelligence Structures SA,Industrials,AI.MC,EQ,ES0152768612
Singular People SA,Industrials,SNG.MC,EQ,ES0105611000
Nicolas Correa  S.A.,Industrials,NEA.MC,EQ,ES0166300212
Making Science Group SA,Industrials,MAKS.MC,EQ,ES0105463006
Andino Inversiones Global SA,Industrials,AIG.MC,EQ,ES0105744009
Llorente & Cuenca SA,Industrials,LLYC.MC,EQ,ES0105591004
Lingotes Especiales  S.A.,Industrials,LGT.MC,EQ,ES0158480311
Grupo Ezentis SA,Industrials,EZE.MC,EQ,ES0172708234
GRINO ECOLOGIC S.A.,Industrials,GRI.MC,EQ,ES0143328005
Desarrollos Especialos de Sistomas de Anclajo  S.A.,Industrials,DESA.MC,EQ,ES0126251018
Duro Felguera S.A.,Industrials,MDF.MC,EQ,ES0162600003
NBI Bearings Europe SA,Industrials,NBI.MC,EQ,ES0105062022
Innovative Solutions Ecosystem SA,Industrials,ISE.MC,EQ,ES0143421073
Enerside Energy SA,Industrials,ENRS.MC,EQ,ES0105634002
Substrate Artificial Intelligence SA,Industrials,SAI.MC,EQ,ES0105650008
Substrate Artificial Intelligence SA Class B,Industrials,SAI.B.MC,EQ,ES0105650073
Catenon SA,Industrials,COM.MC,EQ,ES0112320009
IFLEX FLEXIBLE PACKAGING  S.A.,Industrials,IFLEX.MC,EQ,ES0105684007
Plasticos Compuestos SA,Industrials,KOM.MC,EQ,ES0105425005
Profithol SA,Industrials,SPH.MC,EQ,ES0105621009
Redegal SA,Industrials,RDG.MC,EQ,ES0105857033
TSK Electronica y Electricidad SA,Industrials,TSK.MC,EQ,ES0105394003
Innovative Simply Solar SA,Industrials,SCSS.MC,EQ,ES0105853008
NZI Technical Protection SA,Industrials,NZI.MC,EQ,ES0105804001
