Company Name,Industry,Symbol,Series,ISIN Code
Vale S.A.,Materials,XVALO.MC,EQ,BRVALEACNOR0
ArcelorMittal SA,Materials,MTS.MC,EQ,LU1598757687
Gerdau S.A. Pfd,Materials,XGGB.MC,EQ,BRGGBRACNPR8
Acerinox SA,Materials,ACX.MC,EQ,ES0132105018
Aperam S.A.,Materials,APAM.MC,EQ,LU0569974404
Ebro Foods SA,Materials,EBRO.MC,EQ,ES0112501012
Vidrala SA,Materials,VID.MC,EQ,ES0183746314
Viscofan S.A.,Materials,VIS.MC,EQ,ES0184262212
Usinas Siderurgicas de Minas Gerais SA-Usiminas,Materials,XUSIO.MC,EQ,BRUSIMACNOR3
Usinas Siderurgicas de Minas Gerais SA-Usiminas Pfd A,Materials,XUSI.MC,EQ,BRUSIMACNPA6
Volcan Compania Minera S.A.A. Class B,Materials,XVOLB.MC,EQ,PEP648014202
Braskem S.A. Pfd A,Materials,XBRK.MC,EQ,BRBRKMACNPA4
ENCE Energia y Celulosa SA,Materials,ENC.MC,EQ,ES0130625512
Tubacex S.A.,Materials,TUB.MC,EQ,ES0132945017
Ercros S.A.,Materials,ECR.MC,EQ,ES0125140A14
Berkeley Energia Limited,Materials,BKY.MC,EQ,AU000000BKY0
Tubos Reunidos S.A.,Materials,TRG.MC,EQ,ES0180850416
ASTURIANA DE LAMINADOS S.A,Materials,ELZ.MC,EQ,ES0105227013
All You Need Is Love Tech Capital SIL SA,Materials,SL028.MC,EQ,ES0108162001
