Company Name,Industry,Symbol,Series,ISIN Code
Amadeus IT,Technology,AMS.MC,EQ,ES0109067019
Indra Sistemas,Technology,IDR.MC,EQ,ES0118594417
Altia Consultores S.A.,Technology,ALC.MC,EQ,ES0113312021
Soltec Power Holdings SA,Technology,SOL.MC,EQ,ES0105513008
Izertis SA,Technology,IZER.MC,EQ,ES0105449005
Bytetravel  S.A.,Technology,SCBYT.MC,EQ,ES0105817003
Greening Group Global S.A.,Technology,GGR.MC,EQ,ES0105709002
Umbrella Global Energy SA,Technology,UMB.MC,EQ,ES0105670006
Energy Solar Tech  S.A.,Technology,ETC.MC,EQ,ES0105687000
Seresco SA,Technology,SCO.MC,EQ,ES0175589029
Facephi Biometria SA,Technology,FACE.MC,EQ,ES0105029005
Agile Content SA,Technology,AGIL.MC,EQ,ES0105102000
Soluciones Cuatroochenta SA,Technology,480S.MC,EQ,ES0105509006
Gigas Hosting SA,Technology,GIGA.MC,EQ,ES0105093001
Endurance Motive SA,Technology,END.MC,EQ,ES0105589008
Optare Solutions SA,Technology,OPTS.MC,EQ,ES0105818019
Robot  S.A.,Technology,RBT.MC,EQ,ES0105225009
Revenga Ingenieros S.A.,Technology,RSS.MC,EQ,ES0105717005
Tree Technology SA,Technology,TRTK.MC,EQ,ES0105909008
BETTER CONSULTANTS  S.A.,Technology,SCBTT.MC,EQ,ES0105877007
