Company Name,Industry,Symbol,Series,ISIN Code
Iberdrola SA,Utilities,IBE.MC,EQ,ES0144580Y14
Endesa S.A.,Utilities,ELE.MC,EQ,ES0130670112
Naturgy Energy Group S.A.,Utilities,NTGY.MC,EQ,ES0116870314
AXIA Energia SA,Utilities,XAXIA.MC,EQ,BRAXIAACNOR0
AXIA Energia SA Non-Cum Perp Pfd Registered Shs C,Utilities,XAXIC.MC,EQ,BRAXIAACNPC9
Redeia Corporacion SA,Utilities,RED.MC,EQ,ES0173093024
Corporacion Acciona Energias Renovables SA,Utilities,ANE.MC,EQ,ES0105563003
Companhia Paranaense de Energia,Utilities,XCOPO.MC,EQ,BRCPLEACNOR8
Companhia Energetica de Minas Gerais SA Pfd,Utilities,XCMIG.MC,EQ,BRCMIGACNPR3
Enagas SA,Utilities,ENG.MC,EQ,ES0130960018
Solaria Energia y Medio Ambiente S.A.,Utilities,SLR.MC,EQ,ES0165386014
COX ABG Group SA,Utilities,COXG.MC,EQ,ES0105848008
Audax Renovables SA,Utilities,ADX.MC,EQ,ES0136463017
Ecoener SA,Utilities,ENER.MC,EQ,ES0105548004
Cox Energy America SAB de CV Class A,Utilities,COXE.MC,EQ,MX01CO0U0028
Energia Innovacion y Desarrollo Fotovoltaico SA,Utilities,EIDF.MC,EQ,ES0105517025
Holaluz Clidom SA,Utilities,HLZ.MC,EQ,ES0105456026
Akiles corporation SE,Utilities,AKL.MC,EQ,BG1100005179
