Company Name,Industry,Symbol,Series,ISIN Code
LVMH Moet Hennessy Louis Vuitton SE,Consumer Staples,MC.PA,EQ,
L'Oreal S.A.,Consumer Staples,OR.PA,EQ,
TotalEnergies SE,Energy,TTE.PA,EQ,
Hermes International SCA,Consumer Staples,RMS.PA,EQ,
Schneider Electric SE,Industrials,SU.PA,EQ,
Airbus SE,Technology,AIR.PA,EQ,
Safran SA,Technology,SAF.PA,EQ,
Air Liquide SA,Materials,AI.PA,EQ,
BNP Paribas S.A. Class A,Financials,BNP.PA,EQ,
Sanofi SA,Health Care,SAN.PA,EQ,
AXA SA,Financials,CS.PA,EQ,
Christian Dior SE,Consumer Staples,CDI.PA,EQ,
EssilorLuxottica SA,Health Care,EL.PA,EQ,
VINCI SA,Industrials,DG.PA,EQ,
ENGIE S.A.,Utilities,ENGI.PA,EQ,
STMicroelectronics NV,Technology,STMPA.PA,EQ,
Credit Agricole SA,Financials,ACA.PA,EQ,
Thales SA,Technology,HO.PA,EQ,
Orange SA,Communication Services,ORA.PA,EQ,
Societe Generale S.A. Class A,Financials,GLE.PA,EQ,
Danone SA,Consumer Staples,BN.PA,EQ,
Compagnie de Saint-Gobain SA,Industrials,SGO.PA,EQ,
Legrand SA,Technology,LR.PA,EQ,
Kering SA,Consumer Staples,KER.PA,EQ,
Dassault Systemes SE,Technology,DSY.PA,EQ,
Veolia Environnement SA,Utilities,VIE.PA,EQ,
Stellantis N.V.,Consumer Discretionary,STLAP.PA,EQ,
Dassault Aviation SA,Technology,AM.PA,EQ,
Publicis Groupe SA,Industrials,PUB.PA,EQ,
Cie Generale des Etablissements Michelin SA,Consumer Discretionary,ML.PA,EQ,
Bouygues SA,Industrials,EN.PA,EQ,
Amundi SA,Financials,AMUN.PA,EQ,
Sartorius Stedim Biotech SA,Health Care,DIM.PA,EQ,
Capgemini SE,Technology,CAP.PA,EQ,
Pernod Ricard SA,Consumer Staples,RI.PA,EQ,
Bollore SE,Industrials,BOL.PA,EQ,
Euronext NV,Financials,ENX.PA,EQ,
Unibail-Rodamco-Westfield SE Stapled Secs Cons of 1 Sh Unibail Rodamco + 1 Sh WFD Unib Rod,Financials,URW.PA,EQ,
Ipsen SA,Health Care,IPN.PA,EQ,
