Company Name,Industry,Symbol,Series,ISIN Code
Accor,ConsumerDisc,AC,EQ,
Air Liquide,Materials,AI,EQ,
Airbus,Industrials,AIR,EQ,
ArcelorMittal,Materials,MT,EQ,
AXA,Financials,CS,EQ,
BNP Paribas,Financials,BNP,EQ,
Bouygues,Industrials,EN,EQ,
Bureau Veritas,Industrials,BVI,EQ,
Capgemini,Technology,CAP,EQ,
Carrefour,Consumer Staples,CA,EQ,
Credit Agricole,Financials,ACA,EQ,
Danone,Consumer Staples,BN,EQ,
Dassault Systemes,Technology,DSY,EQ,
Edenred,Industrials,EDEN,EQ,
Engie,Utilities,ENGI,EQ,
EssilorLuxottica,Healthcare,EL,EQ,
Eurofins Scientific,Healthcare,ERF,EQ,
Hermes International,ConsumerDisc,RMS,EQ,
Kering,ConsumerDisc,KER,EQ,
L Oreal,Consumer Staples,OR,EQ,
Legrand,Industrials,LR,EQ,
LVMH,ConsumerDisc,MC,EQ,
Michelin,ConsumerDisc,ML,EQ,
Orange,CommServices,ORA,EQ,
Pernod Ricard,Consumer Staples,RI,EQ,
Publicis Groupe,CommServices,PUB,EQ,
Renault,ConsumerDisc,RNO,EQ,
Safran,Industrials,SAF,EQ,
Saint-Gobain,Industrials,SGO,EQ,
Sanofi,Healthcare,SAN,EQ,
Schneider Electric,Industrials,SU,EQ,
Societe Generale,Financials,GLE,EQ,
Stellantis,ConsumerDisc,STLAP,EQ,
STMicroelectronics,Technology,STMPA,EQ,
Teleperformance,Industrials,TEP,EQ,
Thales,Industrials,HO,EQ,
TotalEnergies,Energy,TTE,EQ,
Unibail-Rodamco-Westfield,RealEstate,URW,EQ,
Veolia,Utilities,VIE,EQ,
Vinci,Industrials,DG,EQ,
