Company Name,Industry,Symbol,Series,ISIN Code
Orange SA,Communication Services,ORA.PA,EQ,FR0000133308
Publicis Groupe SA,Communication Services,PUB.PA,EQ,FR0000130577
Bolloré SE,Communication Services,BOL.PA,EQ,FR0000039299
Compagnie de l'Odet,Communication Services,ODET.PA,EQ,FR0000062234
JCDecaux SA,Communication Services,DEC.PA,EQ,FR0000077919
Eutelsat Communications SA,Communication Services,ETL.PA,EQ,FR0010221234
Lagardere SA,Communication Services,MMB.PA,EQ,FR0000130213
Vivendi SE,Communication Services,VIV.PA,EQ,FR0000127771
Metropole Television SA,Communication Services,MMT.PA,EQ,FR0000053225
TF1 SA,Communication Services,TFI.PA,EQ,FR0000054900
NRJ Group SA,Communication Services,NRG.PA,EQ,FR0000121691
Eagle Football Group SA,Communication Services,EFG.PA,EQ,FR0010428771
Gaumont SA,Communication Services,GAM.PA,EQ,FR0000034894
Deezer S.A.,Communication Services,DEEZR.PA,EQ,FR001400AYG6
ADLPartner SA,Communication Services,DKUPL.PA,EQ,FR0000062978
Reworld Media Société Anonyme,Communication Services,ALREW.PA,EQ,FR0010820274
Pullup Entertainment Société anonyme,Communication Services,ALPUL.PA,EQ,FR0012419307
Bilendi SA,Communication Services,ALBLD.PA,EQ,FR0004174233
High Co. SA,Communication Services,HCO.PA,EQ,FR0000054231
Solocal Group S.A.,Communication Services,LOCAL.PA,EQ,FR001400SA10
Hopscotch Global PR Group,Communication Services,ALHOP.PA,EQ,FR0000065278
Atari SA,Communication Services,ALATA.PA,EQ,FR00140173Y6
Vantiva S.A.,Communication Services,VANTI.PA,EQ,FR0013505062
EuropaCorp,Communication Services,ALECP.PA,EQ,FR0010490920
DNXCorp SE,Communication Services,ALDNX.PA,EQ,FR0010436584
XILAM ANIMATION,Communication Services,ALXIL.PA,EQ,FR0004034072
Fill Up Media S.A.,Communication Services,ALFUM.PA,EQ,FR001400AEM6
Nacon S.A.,Communication Services,NACON.PA,EQ,FR0013482791
Artmarket.com,Communication Services,PRC.PA,EQ,FR0000074783
Nextedia S.A.,Communication Services,ALNXT.PA,EQ,FR0004171346
Obiz S.A.,Communication Services,ALBIZ.PA,EQ,FR0014003711
Witbe S.A.,Communication Services,ALWIT.PA,EQ,FR0013143872
Qwamplify,Communication Services,ALQWA.PA,EQ,FR0010889386
Prismaflex International  S.A.,Communication Services,ALPRI.PA,EQ,FR0004044600
ADUX,Communication Services,ALDUX.PA,EQ,FR0012821890
Don't Nod Entertainment S.A.,Communication Services,ALDNE.PA,EQ,FR0013331212
WEACCESS GROUP SA,Communication Services,MLWEA.PA,EQ,FR0010688465
Imprimerie Chirat Société Anonyme,Communication Services,MLIMP.PA,EQ,FR0000065773
Ethero,Communication Services,ALENT.PA,EQ,FR0010424697
Sirius Media,Communication Services,ALSRS.PA,EQ,FR0014017FP5
NetMedia Group société anonyme,Communication Services,ALNMG.PA,EQ,FR001400RF99
Klarsen,Communication Services,ALKLA.PA,EQ,FR0011038348
ImAlliance SA,Communication Services,MLIML.PA,EQ,FR0010086371
Itissalat Al-Maghrib (IAM) S.A.,Communication Services,IAM.PA,EQ,
SES S.A.,Communication Services,SESG.PA,EQ,
Making Science Group  S.A.,Communication Services,ALMKS.PA,EQ,
Mexedia Società Per Azioni S.B.,Communication Services,ALMEX.PA,EQ,
ISPD Network  S.A.,Communication Services,ALISP.PA,EQ,
LleidaNetworks Serveis Telemàtics  S.A.,Communication Services,ALLLN.PA,EQ,
WINAMP GROUP,Communication Services,ALWIN.PA,EQ,
Invibes Advertising N.V.,Communication Services,ALINV.PA,EQ,
Acheter-Louer.Fr SA,Communication Services,ALALO.PA,EQ,
