Company Name,Industry,Symbol,Series,ISIN Code
LVMH Moet Hennessy Louis Vuitton SE,Consumer Discretionary,MC.PA,EQ,FR0000121014
Hermes International SCA,Consumer Discretionary,RMS.PA,EQ,FR0000052292
Christian Dior SE,Consumer Discretionary,CDI.PA,EQ,FR0000130403
Kering SA,Consumer Discretionary,KER.PA,EQ,FR0000121485
Michelin SA,Consumer Discretionary,ML.PA,EQ,FR001400AJ45
Accor SA,Consumer Discretionary,AC.PA,EQ,FR0000120404
Renault SA,Consumer Discretionary,RNO.PA,EQ,FR0000131906
FDJ UNITED,Consumer Discretionary,FDJU.PA,EQ,FR0013451333
Valeo SE,Consumer Discretionary,FR.PA,EQ,FR0013176526
SEB SA,Consumer Discretionary,SK.PA,EQ,FR0000121709
Trigano SA,Consumer Discretionary,TRI.PA,EQ,FR0005691656
Verallia Société Anonyme,Consumer Discretionary,VRLA.PA,EQ,FR0013447729
OPmobility SE,Consumer Discretionary,OPM.PA,EQ,FR0000124570
Forvia SE,Consumer Discretionary,FRVIA.PA,EQ,FR0000121147
Compagnie des Alpes SA,Consumer Discretionary,CDA.PA,EQ,FR0000053324
Fnac Darty SA,Consumer Discretionary,FNAC.PA,EQ,FR0011476928
Pierre et Vacances SA,Consumer Discretionary,VAC.PA,EQ,FR0000073041
Burelle SA,Consumer Discretionary,BUR.PA,EQ,FR0000061137
Voyageurs du Monde SA,Consumer Discretionary,ALVDM.PA,EQ,FR0004045847
Bénéteau S.A.,Consumer Discretionary,BEN.PA,EQ,FR0000035164
Elior Group SA,Consumer Discretionary,ELIOR.PA,EQ,FR0011950732
Kaufman & Broad S.A.,Consumer Discretionary,KOF.PA,EQ,FR0004007813
Société Fermière du Casino Municipal de Cannes,Consumer Discretionary,FCMC.PA,EQ,FR0000062101
Groupe Guillin S.A.,Consumer Discretionary,ALGIL.PA,EQ,FR0012819381
SMCP S.A.,Consumer Discretionary,SMCP.PA,EQ,FR0013214145
TFF Group,Consumer Discretionary,TFF.PA,EQ,FR0013295789
Hotel Majestic Cannes,Consumer Discretionary,MLHMC.PA,EQ,FR0006226791
Bourrelier Group SA,Consumer Discretionary,ALBOU.PA,EQ,FR0000054421
Roche Bobois S.A.,Consumer Discretionary,RBO.PA,EQ,FR0013344173
Delta Plus Group,Consumer Discretionary,ALDLT.PA,EQ,FR0013283108
Aramis Group SAS,Consumer Discretionary,ARAMI.PA,EQ,FR0014003U94
Hexaom S.A.,Consumer Discretionary,ALHEX.PA,EQ,FR0004159473
Compagnie Du Mont-Blanc,Consumer Discretionary,MLCMB.PA,EQ,FR0000060428
Akwel SA,Consumer Discretionary,AKW.PA,EQ,FR0000053027
Les Hôtels Baverez S.A.,Consumer Discretionary,ALLHB.PA,EQ,FR0007080254
Groupe Partouche SA,Consumer Discretionary,PARP.PA,EQ,FR0012612646
Fountaine Pajot SA,Consumer Discretionary,ALFPC.PA,EQ,FR0010485268
Vente-Unique.com SA,Consumer Discretionary,ALVU.PA,EQ,FR0010766667
