Company Name,Industry,Symbol,Series,ISIN Code
TotalEnergies SE,Energy,TTE.PA,EQ,FR0000120271
Rubis SCA,Energy,RUI.PA,EQ,FR0013269123
Etablissements Maurel & Prom S.A.,Energy,MAU.PA,EQ,FR0000051070
Viridien Société anonyme,Energy,VIRI.PA,EQ,FR001400PVN6
North Atlantic Energies,Energy,NAE.PA,EQ,FR0000120669
La Française de l'Energie S.A.,Energy,FDE.PA,EQ,FR0013030152
Les Docks des Pétroles d'Ambès -SA,Energy,DPAM.PA,EQ,FR0000065260
Ecoslops S.A.,Energy,ALESA.PA,EQ,FR0011490648
Dolfines SA,Energy,ALDOL.PA,EQ,FR001400SP13
Technip Energies N.V.,Energy,TE.PA,EQ,
TotalEnergies EP Gabon Société Anonyme,Energy,EC.PA,EQ,
