Company Name,Industry,Symbol,Series,ISIN Code
BNP Paribas SA,Financials,BNP.PA,EQ,FR0000131104
AXA SA,Financials,CS.PA,EQ,FR0000120628
Credit Agricole SA,Financials,ACA.PA,EQ,FR0000045072
Societe Generale SA,Financials,GLE.PA,EQ,FR0000130809
Amundi SA,Financials,AMUN.PA,EQ,FR0004125920
Compagnie du Cambodge,Financials,CBDG.PA,EQ,FR001400SUB7
SCOR SE,Financials,SCR.PA,EQ,FR0010411983
Wendel SE,Financials,MF.PA,EQ,FR0000121204
Tikehau Capital SCA,Financials,TKO.PA,EQ,FR0013230612
Eurazeo SE,Financials,RF.PA,EQ,FR0000121121
Financière Moncey Société anonyme,Financials,FMONC.PA,EQ,FR001400SU99
Coface SA,Financials,COFA.PA,EQ,FR0010667147
Antin Infrastructure Partners S.A.,Financials,ANTIN.PA,EQ,FR0014005AL0
Peugeot Invest Société anonyme,Financials,PEUG.PA,EQ,FR0000064784
VIEL & Cie  société anonyme,Financials,VIL.PA,EQ,FR0000050049
Caisse Régionale de Crédit Agricole Mutuel de Paris et d'Ile-de-France,Financials,CAF.PA,EQ,FR0000045528
Caisse Régionale de Crédit Agricole Mutuel Brie Picardie Société coopérative,Financials,CRBP2.PA,EQ,FR0010483768
Caisse Régionale de Crédit Agricole Mutuel Nord de France Société coopérative,Financials,CNDF.PA,EQ,FR0000185514
IDI,Financials,IDIP.PA,EQ,FR0000051393
ABC arbitrage SA,Financials,ABCA.PA,EQ,FR0004040608
Caisse régionale de Crédit Agricole Mutuel d'Ille-et-Vilaine Société coopérative,Financials,CIV.PA,EQ,FR0000045213
Bourse Direct SA,Financials,BSD.PA,EQ,FR0000074254
Caisse régionale de Crédit Agricole Mutuel Atlantique Vendée,Financials,CRAV.PA,EQ,FR0000185506
Caisse Regionale de Credit Agricole Mutuel Toulouse 31,Financials,CAT31.PA,EQ,FR0000045544
Caisse Régionale de Crédit Agricole du Morbihan,Financials,CMO.PA,EQ,FR0000045551
SFPI SA,Financials,SFPI.PA,EQ,FR0004155000
Caisse Régionale de Crédit Agricole Mutuel de Normandie-Seine Société coopérative,Financials,CCN.PA,EQ,FR0000044364
Caisse Régionale de Crédit Agricole Mutuel du Languedoc Société coopérative,Financials,CRLA.PA,EQ,FR0010461053
Caisse Régionale de Crédit Agricole Mutuel Sud Rhône Alpes,Financials,CRSU.PA,EQ,FR0000045346
Caisse Régionale de Crédit Agricole Mutuel de la Touraine et du Poitou Société Coopérative,Financials,CRTO.PA,EQ,FR0000045304
Caisse Régionale de Crédit Agricole Mutuel Loire Haute-Loire Société coopérative,Financials,CRLO.PA,EQ,FR0000045239
Caisse Régionale de Crédit Agricole Mutuel Alpes Provence Société coopérative,Financials,CRAP.PA,EQ,FR0000044323
Compagnie Lebon,Financials,ALBON.PA,EQ,FR0000121295
Fonciere Volta SA,Financials,SPEL.PA,EQ,FR0000053944
Vaziva Société anonyme,Financials,ALVAZ.PA,EQ,FR0014007T10
TBSO,Financials,TBSO.PA,EQ,FR0000063307
Audacia SA,Financials,ALAUD.PA,EQ,FR00140059B5
Crypto Blockchain Industries,Financials,ALCBI.PA,EQ,FR0014007LW0
Electricité et Eaux de Madagascar Société Anonyme,Financials,EEM.PA,EQ,FR0000035719
Euroland Corporate Société anonyme,Financials,ALERO.PA,EQ,FR0010157115
Courtois SA,Financials,COUR.PA,EQ,FR0000065393
Financiere Hoche Bains-Les-Bains SA,Financials,MLHBB.PA,EQ,FR0000051302
Eduform'action Société Anonyme,Financials,MLEFA.PA,EQ,FR0010882886
One Experience Société anonyme,Financials,ALEXP.PA,EQ,FR0013266772
Transition Evergreen SA,Financials,EGR.PA,EQ,FR0000035784
Altamir Ord,Financials,LTA.PA,EQ,FR0000053837
Euronext N.V.,Financials,ENX.PA,EQ,
YOUNITED FINANCIAL,Financials,YOUNI.PA,EQ,
Firstcaution SA,Financials,MLFIR.PA,EQ,
Hamilton Global Opportunities PLC,Financials,ALHGO.PA,EQ,
Photonike Capital SA,Financials,MLPHO.PA,EQ,
Gentlemen's Equity S.A.,Financials,MLGEQ.PA,EQ,
