Company Name,Industry,Symbol,Series,ISIN Code
Schneider Electric SE,Industrials,SU.PA,EQ,FR0000121972
Safran SA,Industrials,SAF.PA,EQ,FR0000073272
Vinci SA,Industrials,DG.PA,EQ,FR0000125486
Thales SA,Industrials,HO.PA,EQ,FR0000121329
Saint-Gobain SA,Industrials,SGO.PA,EQ,FR0000125007
Legrand SA,Industrials,LR.PA,EQ,FR0010307819
Dassault Aviation société anonyme,Industrials,AM.PA,EQ,FR0014004L86
Bouygues SA,Industrials,EN.PA,EQ,FR0000120503
Eiffage SA,Industrials,FGR.PA,EQ,FR0000130452
Bureau Veritas SA,Industrials,BVI.PA,EQ,FR0006174348
Rexel SA,Industrials,RXL.PA,EQ,FR0010451203
Aeroportes de Paris SA,Industrials,ADP.PA,EQ,FR0010340141
Getlink SE,Industrials,GET.PA,EQ,FR0010533075
Ayvens,Industrials,AYV.PA,EQ,FR0013258662
Spie SA,Industrials,SPIE.PA,EQ,FR0012757854
GTT SA,Industrials,GTT.PA,EQ,FR0011726835
Alstom SA,Industrials,ALO.PA,EQ,FR0010220475
Sodexo SA,Industrials,SW.PA,EQ,FR0000121220
Elis SA,Industrials,ELIS.PA,EQ,FR0012435121
Teleperformance SE,Industrials,TEP.PA,EQ,FR0000051807
Air France-KLM SA,Industrials,AF.PA,EQ,FR001400J770
Exosens,Industrials,EXENS.PA,EQ,FR001400Q9V2
Lisi S.A.,Industrials,FII.PA,EQ,FR0000050353
ID Logistics Group SA,Industrials,IDL.PA,EQ,FR0010929125
Louis Hachette Group S.A.,Industrials,ALHG.PA,EQ,FR001400TL40
Exail Technologies,Industrials,EXA.PA,EQ,FR0000062671
Ipsos SA,Industrials,IPS.PA,EQ,FR0000073298
Derichebourg SA,Industrials,DBG.PA,EQ,FR0000053381
STEF SA,Industrials,STF.PA,EQ,FR0000064271
Mersen S.A.,Industrials,MRN.PA,EQ,FR0000039620
GL Events SA,Industrials,GLO.PA,EQ,FR0000066672
Manitou BF SA,Industrials,MTU.PA,EQ,FR0000038606
Synergie SE,Industrials,SDG.PA,EQ,FR0000032658
Séché Environnement SA,Industrials,SCHP.PA,EQ,FR0000039109
Assystem SA,Industrials,ASY.PA,EQ,FR0000074148
Thermador Groupe SA,Industrials,THEP.PA,EQ,FR0013333432
