Company Name,Industry,Symbol,Series,ISIN Code
Dassault Systemes SE,Technology,DSY.PA,EQ,FR0014003TT8
Capgemini SE,Technology,CAP.PA,EQ,FR0000125338
Soitec SA,Technology,SOI.PA,EQ,FR0013227113
Edenred SE,Technology,EDEN.PA,EQ,FR0010908533
Sopra Steria Group SA,Technology,SOP.PA,EQ,FR0000050809
Société Industrielle et Financière de l'Artois Société anonyme,Technology,ARTO.PA,EQ,FR0000076952
OVH Groupe S.A.,Technology,OVH.PA,EQ,FR0014005HJ9
Vusion S.A.,Technology,VU.PA,EQ,FR0010282822
Alten SA,Technology,ATE.PA,EQ,FR0000071946
PLANISWARE,Technology,PLNW.PA,EQ,FR001400PFU4
2CRSI S.A.,Technology,AL2SI.PA,EQ,FR0013341781
74SOFTWARE,Technology,74SW.PA,EQ,FR0011040500
Wavestone SA,Technology,WAVE.PA,EQ,FR0013357621
Neurones S.A.,Technology,NRO.PA,EQ,FR0004050250
Aubay SA,Technology,AUB.PA,EQ,FR0000063737
Atos SE,Technology,ATO.PA,EQ,FR001400X2S4
Ubisoft Entertainment SA,Technology,UBI.PA,EQ,FR0000054470
Worldline SA,Technology,WLN.PA,EQ,FR0011981968
Lectra SA,Technology,LSS.PA,EQ,FR0000065484
SEMCO Technologies Société anonyme,Technology,ALSEM.PA,EQ,FR0014010H01
Quadient SA,Technology,QDT.PA,EQ,FR0000120560
Parrot S.A.,Technology,PARRO.PA,EQ,FR0004038263
Sword Group S.E.,Technology,SWP.PA,EQ,FR0004180578
Riber S.A.,Technology,ALRIB.PA,EQ,FR0000075954
Infotel SA,Technology,INF.PA,EQ,FR0000071797
Sidetrade SA,Technology,ALBFR.PA,EQ,FR0010202606
Streamwide S.A.,Technology,ALSTW.PA,EQ,FR0010528059
Linedata Services S.A.,Technology,LIN.PA,EQ,FR0004156297
Kalray S.A.,Technology,ALKAL.PA,EQ,FR0010722819
WALLIX GROUP SA,Technology,ALLIX.PA,EQ,FR0010131409
NSE S.A.,Technology,ALNSE.PA,EQ,FR0004065639
Ateme SA,Technology,ATEME.PA,EQ,FR0011992700
CAPITAL B,Technology,ALCPB.PA,EQ,FR0011053636
Cheops Technology France Société anonyme,Technology,MLCHE.PA,EQ,FR0010447086
Keyrus S.A.,Technology,ALKEY.PA,EQ,FR0004029411
LACROIX Group SA,Technology,LACR.PA,EQ,FR0000066607
EKINOPS S.A.,Technology,EKI.PA,EQ,FR0011466069
We.Connect SA,Technology,ALWEC.PA,EQ,FR0013079092
Solutions 30 SE,Technology,S30.PA,EQ,FR0013379484
Groupe LDLC société anonyme,Technology,ALLDL.PA,EQ,FR0000075442
MGI Digital Technology Société Anonyme,Technology,ALMDG.PA,EQ,FR0010353888
Coheris SA,Technology,COH.PA,EQ,FR0004031763
Guillemot Corporation S.A.,Technology,GUI.PA,EQ,FR0000066722
Icape Holding S.A.,Technology,ALICA.PA,EQ,FR001400A3Q3
MEMSCAP  S.A.,Technology,MEMS.PA,EQ,FR0010298620
Claranova SE,Technology,ALCLA.PA,EQ,FR0013426004
PRODWAYS GROUP,Technology,ALPWG.PA,EQ,FR0012613610
Prologue S.A.,Technology,ALPRG.PA,EQ,FR0010380626
HiPay Group SA,Technology,ALHYP.PA,EQ,FR0012821916
Drone Volt SA,Technology,ALDRV.PA,EQ,FR001400SVN0
Broadpeak Société anonyme,Technology,ALBPK.PA,EQ,FR001400AJZ7
IT Link SA,Technology,ALITL.PA,EQ,FR0000072597
Netgem SA,Technology,ALNTG.PA,EQ,FR0004154060
LightOn SA,Technology,ALTAI.PA,EQ,FR0013230950
Octopus Biosafety SA,Technology,MLOCT.PA,EQ,FR0013310281
HITECHPROS Société anonyme,Technology,ALHIT.PA,EQ,FR0010396309
Egide S.A.,Technology,ALGID.PA,EQ,FR0000072373
Logic Instrument S.A.,Technology,ALLOG.PA,EQ,FR0000044943
Verimatrix SA,Technology,VMX.PA,EQ,FR0010291245
Novatech Industries,Technology,MLNOV.PA,EQ,FR0000185464
RocTool S.A.,Technology,ALROC.PA,EQ,FR0010523167
MACOMPTA.FR,Technology,ALCPA.PA,EQ,FR001400NQB6
HF Company SA,Technology,ALHF.PA,EQ,FR0000038531
Vogo SA,Technology,ALVGO.PA,EQ,FR0011532225
