Company Name,Industry,Symbol,Series,ISIN Code
ENGIE S.A.,Utilities,ENGI.PA,EQ,
Veolia Environnement SA,Utilities,VIE.PA,EQ,
Electricite de Strasbourg SA,Utilities,ELEC.PA,EQ,
Voltalia SA,Utilities,VLTSA.PA,EQ,
Arverne Group Act,Utilities,ARVEN.PA,EQ,
La Francaise de l'Energie SA,Utilities,FDE.PA,EQ,
Entech Smart Energies,Utilities,ALESE.PA,EQ,
Les Docks des Petroles d'Ambes SA,Utilities,DPAM.PA,EQ,
Hydrogene de France,Utilities,HDF.PA,EQ,
Haffner Energy SAS,Utilities,ALHAF.PA,EQ,
Charwood Energy S.A,Utilities,ALCWE.PA,EQ,
Agripower France SASU,Utilities,ALAGP.PA,EQ,
E-Pango,Utilities,ALAGO.PA,EQ,
LARGO SA,Utilities,ALLGO.PA,EQ,
Eaux de Royan SA,Utilities,MLEDR.PA,EQ,
Groupe OKwind SA,Utilities,ALOKW.PA,EQ,
