Company Name,Industry,Symbol,Series,ISIN Code
Tencent Holdings Ltd,Technology,0700.HK,EQ,
Industrial and Commercial Bank of China Limited Class H,Financials,1398.HK,EQ,
Agricultural Bank of China Limited Class H,Financials,1288.HK,EQ,
HSBC Holdings Plc,Financials,0005.HK,EQ,
Alibaba Group Holding Limited,Consumer Discretionary,9988.HK,EQ,
China Construction Bank Corporation Class H,Financials,0939.HK,EQ,
Contemporary Amperex Technology Co. Limited Class H,Industrials,3750.HK,EQ,
PetroChina Co. Ltd. Class H,Energy,0857.HK,EQ,
Bank of China Limited Class H,Financials,3988.HK,EQ,
China Mobile Limited,Communication Services,0941.HK,EQ,
CNOOC Limited,Energy,0883.HK,EQ,
FAST RETAILING CO. LTD.Shs Unsponsored Hong Kong Depositary Receipt Repr 1/100th Sh,Consumer Discretionary,6288.HK,EQ,
China Shenhua Energy Co. Ltd. Class H,Energy,1088.HK,EQ,
China Merchants Bank Co. Ltd. Class H,Financials,3968.HK,EQ,
Ping An Insurance (Group) Company of China Ltd. Class H,Financials,2318.HK,EQ,
China Life Insurance Co. Ltd. Class H,Financials,2628.HK,EQ,
Zijin Mining Group Co. Ltd. Class H,Materials,2899.HK,EQ,
BYD Company Limited Class H,Industrials,1211.HK,EQ,
AIA Group Limited,Financials,1299.HK,EQ,
Semiconductor Manufacturing International Corp.,Technology,0981.HK,EQ,
Xiaomi Corporation Class B,Technology,1810.HK,EQ,
Midea Group Co. Ltd. Class H,Consumer Discretionary,0300.HK,EQ,
Bank of Communications Co. Ltd. Class H,Financials,3328.HK,EQ,
China Petroleum & Chemical Corporation Class H,Energy,0386.HK,EQ,
China Telecom Corp. Ltd. Class H,Communication Services,0728.HK,EQ,
Netease Inc,Technology,9999.HK,EQ,
Knowledge Atlas Technology Joint Stock Company Limited Class H,Technology,2513.HK,EQ,
Manulife Financial Corporation,Financials,0945.HK,EQ,
Hong Kong Exchanges & Clearing Ltd.,Financials,0388.HK,EQ,
BOC Hong Kong (Holdings) Limited,Financials,2388.HK,EQ,
Meituan Class B,Technology,3690.HK,EQ,
Postal Savings Bank of China Co. Ltd. Class H,Financials,1658.HK,EQ,
Nongfu Spring Co. Ltd. Class H,Consumer Staples,9633.HK,EQ,
China CITIC Bank Corporation Ltd Class H,Financials,0998.HK,EQ,
Standard Chartered PLC,Financials,2888.HK,EQ,
CMOC Group Limited Class H,Industrials,3993.HK,EQ,
CITIC Securities Co. Ltd. Class H,Financials,6030.HK,EQ,
GigaDevice Semiconductor Inc. Class H,Technology,3986.HK,EQ,
CITIC Limited,Financials,0267.HK,EQ,
Victory Giant Technology (HuiZhou) Co. Ltd. Class H,Technology,2476.HK,EQ,
Jiangsu Hengrui Pharmaceuticals Co. Ltd. Class H,Health Care,1276.HK,EQ,
Sun Hung Kai Properties Limited,Financials,0016.HK,EQ,
Baidu Inc. Class A,Technology,9888.HK,EQ,
China Pacific Insurance (Group) Co. Ltd. Class H,Financials,2601.HK,EQ,
WuXi AppTec Co. Ltd. Class H,Health Care,2359.HK,EQ,
PICC Property & Casualty Co. Ltd. Class H,Financials,2328.HK,EQ,
Weichai Power Co. Ltd. Class H,Industrials,2338.HK,EQ,
People's Insurance Co. (Group) of China Ltd. Class H,Financials,1339.HK,EQ,
Montage Technology Co. Ltd. Class H,Technology,6809.HK,EQ,
Zijin Gold International Company Limited,Materials,2259.HK,EQ,
Guotai Haitong Securities Co. Ltd. Class H,Financials,2611.HK,EQ,
Lenovo Group Limited,Technology,0992.HK,EQ,
Yangtze Optical Fibre and Cable Joint Stock Ltd Co Class H,Technology,6869.HK,EQ,
Hua Hong Semiconductor Ltd.,Technology,1347.HK,EQ,
JD.com Inc. Class A,Consumer Discretionary,9618.HK,EQ,
Lens Technology Co. Ltd. Class H,Consumer Discretionary,6613.HK,EQ,
CK Hutchison Holdings Ltd,Consumer Discretionary,0001.HK,EQ,
China Hongqiao Group Ltd.,Materials,1378.HK,EQ,
COSCO SHIPPING Holdings Co. Ltd. Class H,Industrials,1919.HK,EQ,
China Resources Land Limited,Financials,1109.HK,EQ,
Prudential plc,Financials,2378.HK,EQ,
Trip.com Group Ltd.,Consumer Discretionary,9961.HK,EQ,
BeOne Medicines Ltd.,Health Care,6160.HK,EQ,
Yankuang Energy Group Company Limited Class H,Energy,1171.HK,EQ,
Pop Mart International Group Limited,Consumer Discretionary,9992.HK,EQ,
CGN Power Co. Ltd. Class H,Utilities,1816.HK,EQ,
China Coal Energy Co. Ltd. Class H,Energy,1898.HK,EQ,
China Unicom (Hong Kong) Limited,Communication Services,0762.HK,EQ,
Foshan Haitian Flavouring and Food Company Ltd. Class H,Consumer Staples,3288.HK,EQ,
Techtronic Industries Co. Ltd.,Consumer Discretionary,0669.HK,EQ,
Haier Smart Home Co. Ltd. Class H,Consumer Discretionary,6690.HK,EQ,
China Everbright Bank Co. Ltd. Class H,Financials,6818.HK,EQ,
ANTA Sports Products Ltd.,Consumer Staples,2020.HK,EQ,
Aluminum Corporation of China Limited Class H,Industrials,2600.HK,EQ,
Kuaishou Technology Class B,Industrials,1024.HK,EQ,
ZTE Corporation Class H,Technology,0763.HK,EQ,
Zhejiang Sanhua Intelligent Controls Co. Ltd.,Industrials,2050.HK,EQ,
Geely Automobile Holdings Limited,Consumer Discretionary,0175.HK,EQ,
CSC Financial Co. Ltd. Class H,Financials,6066.HK,EQ,
MTR Corporation Limited,Industrials,0066.HK,EQ,
S.F. Holding Co. Ltd. Class H,Industrials,6936.HK,EQ,
Huatai Securities Co. Ltd. Class H,Financials,6886.HK,EQ,
CLP Holdings Limited,Utilities,0002.HK,EQ,
New China Life Insurance Co. Ltd. Class H,Financials,1336.HK,EQ,
Muyuan Foods Group Co Ltd Class H,Materials,2714.HK,EQ,
CRRC Corporation Limited Class H,Industrials,1766.HK,EQ,
Sany Heavy Industry Co. Ltd. Class H,Industrials,6031.HK,EQ,
Hansoh Pharmaceutical Group Company Limited,Health Care,3692.HK,EQ,
China Minsheng Banking Corp. Ltd. Class H,Financials,1988.HK,EQ,
MiniMax Group Inc,Technology,0100.HK,EQ,
China Tower Corp. Ltd. Class H,Communication Services,0788.HK,EQ,
China Overseas Land & Investment Limited,Financials,0688.HK,EQ,
China Merchants Securities Co. Ltd. Class H,Financials,6099.HK,EQ,
CK Asset Holdings Limited,Financials,1113.HK,EQ,
GF Securities Co. Ltd. Class H,Financials,1776.HK,EQ,
Chery Automobile Co. Ltd. Class H,Consumer Discretionary,9973.HK,EQ,
Fuyao Glass Industry Group Co. Ltd. Class H,Consumer Discretionary,3606.HK,EQ,
Kingboard Laminates Holdings Limited,Industrials,1888.HK,EQ,
