Company Name,Industry,Symbol,Series,ISIN Code
Tencent Holdings,Technology,0700.HK,EQ,
Alibaba Group,Technology,9988.HK,EQ,
Meituan,Technology,3690.HK,EQ,
Xiaomi Corporation,Technology,1810.HK,EQ,
JD.com,Technology,9618.HK,EQ,
Baidu,Technology,9888.HK,EQ,
NetEase,Technology,9999.HK,EQ,
Kuaishou Technology,Technology,1024.HK,EQ,
Lenovo Group,Technology,0992.HK,EQ,
SMIC,Technology,0981.HK,EQ,
HSBC Holdings,Financials,0005.HK,EQ,
AIA Group,Financials,1299.HK,EQ,
Ping An Insurance,Financials,2318.HK,EQ,
China Construction Bank,Financials,0939.HK,EQ,
ICBC,Financials,1398.HK,EQ,
Bank of China,Financials,3988.HK,EQ,
Hong Kong Exchanges,Financials,0388.HK,EQ,
China Life Insurance,Financials,2628.HK,EQ,
Bank of Communications,Financials,3328.HK,EQ,
Standard Chartered,Financials,2888.HK,EQ,
CNOOC,Energy,0883.HK,EQ,
PetroChina,Energy,0857.HK,EQ,
Sinopec,Energy,0386.HK,EQ,
China Shenhua Energy,Energy,1088.HK,EQ,
CK Hutchison,ConsumerDisc,0001.HK,EQ,
CK Asset Holdings,RealEstate,1113.HK,EQ,
Sun Hung Kai Properties,RealEstate,0016.HK,EQ,
Link REIT,RealEstate,0823.HK,EQ,
Henderson Land,RealEstate,0012.HK,EQ,
New World Development,RealEstate,0017.HK,EQ,
Wharf Holdings,RealEstate,0004.HK,EQ,
China Resources Land,RealEstate,1109.HK,EQ,
Longfor Group,RealEstate,0960.HK,EQ,
Country Garden,RealEstate,2007.HK,EQ,
BYD Company,ConsumerDisc,1211.HK,EQ,
Geely Automobile,ConsumerDisc,0175.HK,EQ,
Li Auto,ConsumerDisc,2015.HK,EQ,
Galaxy Entertainment,ConsumerDisc,0027.HK,EQ,
Sands China,ConsumerDisc,1928.HK,EQ,
Budweiser APAC,Consumer Staples,1876.HK,EQ,
Nongfu Spring,Consumer Staples,9633.HK,EQ,
Mengniu Dairy,Consumer Staples,2319.HK,EQ,
WH Group,Consumer Staples,0288.HK,EQ,
Hengan International,Consumer Staples,1044.HK,EQ,
Sino Biopharmaceutical,Healthcare,1177.HK,EQ,
Wuxi Biologics,Healthcare,2269.HK,EQ,
Hansoh Pharmaceutical,Healthcare,3692.HK,EQ,
CSPC Pharmaceutical,Healthcare,1093.HK,EQ,
CLP Holdings,Utilities,0002.HK,EQ,
Power Assets,Utilities,0006.HK,EQ,
China Mobile,CommServices,0941.HK,EQ,
China Unicom,CommServices,0762.HK,EQ,
Hong Kong & China Gas,Utilities,0003.HK,EQ,
MTR Corporation,Industrials,0066.HK,EQ,
Swire Pacific,Industrials,0019.HK,EQ,
