Company Name,Industry,Symbol,Series,ISIN Code
China Mobile,Communication Services,0941.HK,EQ,HK0941009539
China Telecom Corp. Ltd. Class H,Communication Services,0728.HK,EQ,CNE1000002V2
China Unicom,Communication Services,0762.HK,EQ,HK0000049939
ZTE Corporation,Communication Services,0763.HK,EQ,CNE1000004Y2
China Tower Corp. Ltd. Class H,Communication Services,0788.HK,EQ,CNE100006V65
HKT Trust and HKT Ltd,Communication Services,6823.HK,EQ,HK0000093390
PCCW Limited,Communication Services,0008.HK,EQ,HK0008011667
Weibo Corporation,Communication Services,9898.HK,EQ,KYG9515T1085
CITIC Telecom International Holdings Limited,Communication Services,1883.HK,EQ,HK1883037637
HKBN Ltd.,Communication Services,1310.HK,EQ,KYG451581055
SmarTone Telecommunications Holdings Limited,Communication Services,0315.HK,EQ,BMG8219Z1059
Hutchison Telecommunications Hong Kong Holdings Limited,Communication Services,0215.HK,EQ,KYG4672G1064
APT Satellite Holdings Limited,Communication Services,1045.HK,EQ,BMG0438M1064
Phoenix Media Investment (Holdings) Limited,Communication Services,2008.HK,EQ,KYG706261255
Great Wall Terroir Holdings Limited,Communication Services,0524.HK,EQ,BMG4080L2009
Jiande International Holdings Ltd.,Communication Services,0865.HK,EQ,KYG5139V1077
China Changbaishan International Holdings Limited,Communication Services,0989.HK,EQ,BMG464012076
Chuanglian Holdings Limited,Communication Services,2371.HK,EQ,KYG2114J1269
ISP Global Limited,Communication Services,8487.HK,EQ,KYG4970A1085
Directel Holdings Limited,Communication Services,8337.HK,EQ,KYG276801183
