Company Name,Industry,Symbol,Series,ISIN Code
FAST RETAILING CO.  LTD.Shs Unsponsored Hong Kong Depositary Receipt Repr 1/100th Sh,Consumer Discretionary,6288.HK,EQ,US31188H2004
BYD Co Ltd,Consumer Discretionary,1211.HK,EQ,CNE100000296
Midea Group Co. Ltd. Class H,Consumer Discretionary,0300.HK,EQ,CNE100006M58
CK Hutchison,Consumer Discretionary,0001.HK,EQ,KYG217651051
Trip.com Group Ltd,Consumer Discretionary,9961.HK,EQ,KYG9066F1019
Lens Technology Co. Ltd. Class H,Consumer Discretionary,6613.HK,EQ,CNE1000070N6
Pop Mart International Group Limited,Consumer Discretionary,9992.HK,EQ,KYG7170M1033
Haier Smart Home Co.  Ltd. Class H,Consumer Discretionary,6690.HK,EQ,CNE1000048K8
Anta Sports Products Ltd,Consumer Discretionary,2020.HK,EQ,KYG040111059
Geely Automobile,Consumer Discretionary,0175.HK,EQ,KYG3777B1032
Chery Automobile Co. Ltd. Class H,Consumer Discretionary,9973.HK,EQ,CNE1000073Z4
Fuyao Glass Industry Group Co.  Ltd. Class H,Consumer Discretionary,3606.HK,EQ,CNE100001TR7
Great Wall Motor Co.  Ltd. Class H,Consumer Discretionary,2333.HK,EQ,CNE100000338
Galaxy Entertainment,Consumer Discretionary,0027.HK,EQ,HK0027032686
China Tourism Group Duty Free Corporation Limited Class H,Consumer Discretionary,1880.HK,EQ,CNE100004YZ4
Chow Tai Fook Jewellery,Consumer Discretionary,1929.HK,EQ,KYG211461085
Yum China Holdings,Consumer Discretionary,9987.HK,EQ,US98850P1093
Sands China,Consumer Discretionary,1928.HK,EQ,KYG7800X1079
Li Auto Inc,Consumer Discretionary,2015.HK,EQ,KYG5479M1050
Xpeng Inc,Consumer Discretionary,9868.HK,EQ,KYG982AW1003
H World Group Limited,Consumer Discretionary,1179.HK,EQ,KYG465871120
MIXUE Group Class H,Consumer Discretionary,2097.HK,EQ,CNE100006T36
Seres Group Co. Ltd. Class H,Consumer Discretionary,9927.HK,EQ,CNE1000076H5
NIO Inc,Consumer Discretionary,9866.HK,EQ,KYG6525F1028
Laopu Gold Co. Ltd. Class H,Consumer Discretionary,6181.HK,EQ,CNE100006JG0
Haidilao International,Consumer Discretionary,6862.HK,EQ,KYG4290A1013
Shenzhou International,Consumer Discretionary,2313.HK,EQ,KYG8087W1015
New Oriental Education & Technology Group  Inc.,Consumer Discretionary,9901.HK,EQ,KYG6470A1168
Guangzhou Automobile Group Co.  Ltd. Class H,Consumer Discretionary,2238.HK,EQ,CNE100000Q35
