Company Name,Industry,Symbol,Series,ISIN Code
Nongfu Spring Co. Ltd. Class H,Consumer Staples,9633.HK,EQ,
Foshan Haitian Flavouring and Food Company Ltd. Class H,Consumer Staples,3288.HK,EQ,
ANTA Sports Products Ltd.,Consumer Staples,2020.HK,EQ,
WH Group Ltd. (HK),Consumer Staples,0288.HK,EQ,
Eastroc Beverage (Group) Co. Ltd. Class H,Consumer Staples,9980.HK,EQ,
Swire Pacific Limited Class B,Consumer Staples,0087.HK,EQ,
Swire Pacific Limited Class A,Consumer Staples,0019.HK,EQ,
Prada S.p.A.,Consumer Staples,1913.HK,EQ,
Budweiser Brewing Co. APAC Ltd.,Consumer Staples,1876.HK,EQ,
Tsingtao Brewery Co. Ltd. Class H,Consumer Staples,0168.HK,EQ,
China Resources Beer (Holdings) Co. Ltd.,Consumer Staples,0291.HK,EQ,
Tingyi (Cayman Islands) Holding Corp.,Consumer Staples,0322.HK,EQ,
Shenzhou International Group Holdings Limited,Consumer Staples,2313.HK,EQ,
China Mengniu Dairy Company Limited,Consumer Staples,2319.HK,EQ,
Smoore International Holdings Limited,Consumer Staples,6969.HK,EQ,
Want Want China Holdings Limited,Consumer Staples,0151.HK,EQ,
Bosideng International Holdings Limited,Consumer Staples,3998.HK,EQ,
Li Ning Company Limited,Consumer Staples,2331.HK,EQ,
Mao Geping Cosmetics Co. Ltd. Class H,Consumer Staples,1318.HK,EQ,
Uni-President China Holdings Ltd.,Consumer Staples,0220.HK,EQ,
Anjoy Foods Group Co. Ltd. Class H,Consumer Staples,2648.HK,EQ,
China Feihe Limited,Consumer Staples,6186.HK,EQ,
Giant Biogene Holding Co. Ltd.,Consumer Staples,2367.HK,EQ,
Hengan International Group Co. Ltd.,Consumer Staples,1044.HK,EQ,
ZJLD Group Inc.,Consumer Staples,6979.HK,EQ,
Yue Yuen Industrial (Holdings) Limited,Consumer Staples,0551.HK,EQ,
China Resources Beverage (Holdings) Company Limited,Consumer Staples,2460.HK,EQ,
Weilong Delicious Global Holdings Limited,Consumer Staples,9985.HK,EQ,
Star Shine Holdings Group Limited,Consumer Staples,1440.HK,EQ,
Blue Moon Group Holdings Ltd.,Consumer Staples,6993.HK,EQ,
Yantai North Andre Juice Co. Ltd. Class H,Consumer Staples,2218.HK,EQ,
Crystal International Group Limited,Consumer Staples,2232.HK,EQ,
Softcare Limited,Consumer Staples,2698.HK,EQ,
China Tobacco International (HK) Co. Ltd.,Consumer Staples,6055.HK,EQ,
Shanghai Chicmax Cosmetics Co. Ltd. Class H,Consumer Staples,2145.HK,EQ,
Fufeng Group Limited,Consumer Staples,0546.HK,EQ,
Yihai International Holding Ltd.,Consumer Staples,1579.HK,EQ,
China Youran Dairy Group Limited,Consumer Staples,9858.HK,EQ,
Xtep International Holdings Limited,Consumer Staples,1368.HK,EQ,
Huabao International Holdings Limited,Consumer Staples,0336.HK,EQ,
Stella International Holdings Limited,Consumer Staples,1836.HK,EQ,
361 Degrees International Ltd.,Consumer Staples,1361.HK,EQ,
JNBY Design Limited,Consumer Staples,3306.HK,EQ,
China Foods Limited,Consumer Staples,0506.HK,EQ,
Nissin Foods Co. Ltd.,Consumer Staples,1475.HK,EQ,
Vitasoy International Holdings Limited,Consumer Staples,0345.HK,EQ,
Shanghai Forest Cabin Cosmetics Group Co. Ltd. Class H,Consumer Staples,2657.HK,EQ,
China Lilang Ltd.,Consumer Staples,1234.HK,EQ,
C.banner International Holdings Ltd.,Consumer Staples,1028.HK,EQ,
Xiamen Yan Palace Bird's Nest Industry Co. Ltd. Class H,Consumer Staples,1497.HK,EQ,
Natural Food International Holding Ltd.,Consumer Staples,1837.HK,EQ,
Tenfu (Cayman) Holdings Co. Ltd.,Consumer Staples,6868.HK,EQ,
