Company Name,Industry,Symbol,Series,ISIN Code
PetroChina Co Ltd,Energy,0857.HK,EQ,CNE1000003W8
CNOOC Ltd,Energy,0883.HK,EQ,HK0883013259
China Shenhua Energy Co Ltd,Energy,1088.HK,EQ,CNE1000002R0
China Petroleum & Chemical Corp,Energy,0386.HK,EQ,CNE1000002Q2
China Coal Energy Co Ltd,Energy,1898.HK,EQ,CNE100000528
Yanzhou Coal Mining Co Ltd,Energy,1171.HK,EQ,CNE1000004Q8
Yancoal Australia Ltd.,Energy,3668.HK,EQ,AU000000YAL0
Sinopec Shanghai Petrochemical Co. Ltd. Class H,Energy,0338.HK,EQ,CNE1000004C8
Kinetic Development Group Limited,Energy,1277.HK,EQ,KYG525931039
Shougang Fushan Resources Group Limited,Energy,0639.HK,EQ,HK0639031506
United Energy Group Limited,Energy,0467.HK,EQ,BMG9231L1081
China Risun Group Ltd.,Energy,1907.HK,EQ,KYG2120H1065
Mongolian Mining Corporation,Energy,0975.HK,EQ,KYG6264V1361
China Qinfa Group Ltd.,Energy,0866.HK,EQ,KYG2159E1070
CITIC Resources Holdings Limited,Energy,1205.HK,EQ,BMG2155Y1075
Anton Oilfield Services Group,Energy,3337.HK,EQ,KYG039991024
Productive Technologies Company Limited,Energy,0650.HK,EQ,KYG7255N1097
Tian Lun Gas Holdings Limited,Energy,1600.HK,EQ,KYG843961031
E-Commodities Holdings Limited,Energy,1733.HK,EQ,VGG2921V1067
Perennial Energy Holdings Ltd.,Energy,2798.HK,EQ,KYG7011M1069
Taung Gold International Limited,Energy,0621.HK,EQ,BMG8697W2028
E&P Global Holdings Limited,Energy,1142.HK,EQ,KYG813461764
China Energy Development Holdings Limited,Energy,0228.HK,EQ,KYG2153W1116
SPT Energy Group  Inc.,Energy,1251.HK,EQ,KYG8405W1069
SouthGobi Resources Ltd.,Energy,1878.HK,EQ,CA8443751059
Henan JinMa Energy Co.  Ltd. Class H,Energy,6885.HK,EQ,CNE100002QZ4
EPI (Holdings) Limited,Energy,0689.HK,EQ,BMG3155U1523
Yanchang Petroleum International Limited,Energy,0346.HK,EQ,BMG9833W1221
Jiangsu Innovative Ecological New Materials Ltd.,Energy,2116.HK,EQ,KYG5140A1004
Hidili Industry International Development Limited,Energy,1393.HK,EQ,KYG444031069
CHK Oil Limited,Energy,0632.HK,EQ,BMG2123V1101
JX Energy Ltd.,Energy,3395.HK,EQ,CA71535Q1072
Sunshine Oilsands Ltd.,Energy,2012.HK,EQ,CA8678423044
China CBM Group Co. Ltd.,Energy,8270.HK,EQ,BMG2152N2038
Nan Nan Resources Enterprise Limited,Energy,1229.HK,EQ,BMG6390D1092
Mongolia Energy Corporation Limited,Energy,0276.HK,EQ,BMG6260K1595
Feishang Anthracite Resources Ltd.,Energy,1738.HK,EQ,VGG3375A1194
MIE Holdings Corp.,Energy,1555.HK,EQ,KYG611571061
Enviro Energy International Holdings Limited,Energy,1102.HK,EQ,KYG315661390
Kaisun Holdings Limited,Energy,8203.HK,EQ,KYG8310R1276
Grand Ocean Advanced Resources Co.  Ltd.,Energy,0065.HK,EQ,KYG4064U1013
Du Du Holdings Limited,Energy,8250.HK,EQ,KYG8133P1182
Green Leader Holdings Group Limited,Energy,0061.HK,EQ,BMG4165P1187
