Company Name,Industry,Symbol,Series,ISIN Code
Industrial and Commercial Bank of China Limited Class H,Financials,1398.HK,EQ,
Agricultural Bank of China Limited Class H,Financials,1288.HK,EQ,
HSBC Holdings Plc,Financials,0005.HK,EQ,
China Construction Bank Corporation Class H,Financials,0939.HK,EQ,
Bank of China Limited Class H,Financials,3988.HK,EQ,
China Merchants Bank Co. Ltd. Class H,Financials,3968.HK,EQ,
Ping An Insurance (Group) Company of China Ltd. Class H,Financials,2318.HK,EQ,
China Life Insurance Co. Ltd. Class H,Financials,2628.HK,EQ,
AIA Group Limited,Financials,1299.HK,EQ,
Bank of Communications Co. Ltd. Class H,Financials,3328.HK,EQ,
Manulife Financial Corporation,Financials,0945.HK,EQ,
Hong Kong Exchanges & Clearing Ltd.,Financials,0388.HK,EQ,
BOC Hong Kong (Holdings) Limited,Financials,2388.HK,EQ,
Postal Savings Bank of China Co. Ltd. Class H,Financials,1658.HK,EQ,
China CITIC Bank Corporation Ltd Class H,Financials,0998.HK,EQ,
Standard Chartered PLC,Financials,2888.HK,EQ,
CITIC Securities Co. Ltd. Class H,Financials,6030.HK,EQ,
CITIC Limited,Financials,0267.HK,EQ,
Sun Hung Kai Properties Limited,Financials,0016.HK,EQ,
China Pacific Insurance (Group) Co. Ltd. Class H,Financials,2601.HK,EQ,
PICC Property & Casualty Co. Ltd. Class H,Financials,2328.HK,EQ,
People's Insurance Co. (Group) of China Ltd. Class H,Financials,1339.HK,EQ,
Guotai Haitong Securities Co. Ltd. Class H,Financials,2611.HK,EQ,
China Resources Land Limited,Financials,1109.HK,EQ,
Prudential plc,Financials,2378.HK,EQ,
China Everbright Bank Co. Ltd. Class H,Financials,6818.HK,EQ,
CSC Financial Co. Ltd. Class H,Financials,6066.HK,EQ,
Huatai Securities Co. Ltd. Class H,Financials,6886.HK,EQ,
New China Life Insurance Co. Ltd. Class H,Financials,1336.HK,EQ,
China Minsheng Banking Corp. Ltd. Class H,Financials,1988.HK,EQ,
China Overseas Land & Investment Limited,Financials,0688.HK,EQ,
China Merchants Securities Co. Ltd. Class H,Financials,6099.HK,EQ,
CK Asset Holdings Limited,Financials,1113.HK,EQ,
GF Securities Co. Ltd. Class H,Financials,1776.HK,EQ,
KE Holdings Inc. Class A,Financials,2423.HK,EQ,
China International Capital Corp. Ltd. Class H,Financials,3908.HK,EQ,
Henderson Land Development Co. Ltd.,Financials,0012.HK,EQ,
China Galaxy Securities Co. Ltd. Class H,Financials,6881.HK,EQ,
Swire Properties Limited,Financials,1972.HK,EQ,
Shenwan Hongyuan Group Co. Ltd. Class H,Financials,6806.HK,EQ,
Sino Land Co. Ltd.,Financials,0083.HK,EQ,
Link Real Estate Investment Trust,Financials,0823.HK,EQ,
China Resources Mixc Lifestyle Services Ltd.,Financials,1209.HK,EQ,
China Zheshang Bank Co. Ltd. Class H,Financials,2016.HK,EQ,
Chongqing Rural Commercial Bank Co. Ltd. Class H,Financials,3618.HK,EQ,
Orient Securities Company Limited Class H,Financials,3958.HK,EQ,
Huishang Bank Corporation Limited Class H,Financials,3698.HK,EQ,
China Taiping Insurance Holdings Co. Ltd.,Financials,0966.HK,EQ,
Wharf Real Estate Investment Company Limited,Financials,1997.HK,EQ,
Everbright Securities Company Limited Class H,Financials,6178.HK,EQ,
Wharf (Holdings) Ltd.,Financials,0004.HK,EQ,
Guolian Minsheng Securities Company Limited Class H,Financials,1456.HK,EQ,
Longfor Group Holdings Ltd.,Financials,0960.HK,EQ,
China Reinsurance (Group) Corp. Class H,Financials,1508.HK,EQ,
BOC Aviation Limited,Financials,2588.HK,EQ,
China CITIC Financial Asset Management Co. Ltd. Class H,Financials,2799.HK,EQ,
China Vanke Co. Ltd Class H,Financials,2202.HK,EQ,
Bank of Chongqing Co. Ltd. Class H,Financials,1963.HK,EQ,
Sunshine Insurance Group Co. Ltd.,Financials,6963.HK,EQ,
Hang Lung Properties Limited,Financials,0101.HK,EQ,
China Cinda Asset Management Co. Ltd. Class H,Financials,1359.HK,EQ,
FWD Group Holdings Limited,Financials,1828.HK,EQ,
Legend Holdings Corporation Class H,Financials,3396.HK,EQ,
Bank of East Asia Ltd.,Financials,0023.HK,EQ,
Far East Horizon Limited,Financials,3360.HK,EQ,
C&D International Investment Group Ltd.,Financials,1908.HK,EQ,
Bank of Qingdao Co. Ltd. Class H,Financials,3866.HK,EQ,
Fosun International Limited,Financials,0656.HK,EQ,
GoFintech Quantum Innovation Limited,Financials,0290.HK,EQ,
Kerry Properties Limited,Financials,0683.HK,EQ,
