Company Name,Industry,Symbol,Series,ISIN Code
Jiangsu Hengrui Pharmaceuticals Co. Ltd. Class H,Health Care,1276.HK,EQ,
WuXi AppTec Co. Ltd. Class H,Health Care,2359.HK,EQ,
BeOne Medicines Ltd.,Health Care,6160.HK,EQ,
Hansoh Pharmaceutical Group Company Limited,Health Care,3692.HK,EQ,
Wuxi Biologics (Cayman) Inc.,Health Care,2269.HK,EQ,
Innovent Biologics Inc.,Health Care,1801.HK,EQ,
Sichuan Kelun-Biotech Biopharmaceutical Co. Ltd. Class H,Health Care,6990.HK,EQ,
Akeso Inc.,Health Care,9926.HK,EQ,
CSPC Pharmaceutical Group Limited,Health Care,1093.HK,EQ,
Sino Biopharmaceutical Limited,Health Care,1177.HK,EQ,
Shanghai Pharmaceuticals Holding Co. Ltd. Class H,Health Care,2607.HK,EQ,
Shanghai Fosun Pharmaceutical (Group) Co. Ltd. Class H,Health Care,2196.HK,EQ,
RemeGen Co. Ltd. Class H,Health Care,9995.HK,EQ,
Asymchem Laboratories (Tianjin) Co. Ltd. Class H,Health Care,6821.HK,EQ,
Pharmaron Beijing Co. Ltd. Class H,Health Care,3759.HK,EQ,
3SBio Inc.,Health Care,1530.HK,EQ,
Guangzhou Baiyunshan Pharmaceutical Holdings Company Limited Class H,Health Care,0874.HK,EQ,
Hangzhou Tigermed Consulting Co. Ltd. Class H,Health Care,3347.HK,EQ,
Shanghai Henlius Biotech Inc. Class H,Health Care,2696.HK,EQ,
XtalPi Holdings Limited,Health Care,2228.HK,EQ,
Shanghai Junshi Biosciences Co. Ltd. Class H,Health Care,1877.HK,EQ,
China Resources Pharmaceutical Group Ltd.,Health Care,3320.HK,EQ,
Livzon Pharmaceutical Group Inc Class H,Health Care,1513.HK,EQ,
Genscript Biotech Corporation,Health Care,1548.HK,EQ,
Shanghai MicroPort MedBot (Group) Co. Ltd. Class H,Health Care,2252.HK,EQ,
China Medical System Holdings Ltd.,Health Care,0867.HK,EQ,
JOINN Laboratories (China) Co. Ltd. Class H,Health Care,6127.HK,EQ,
Simcere Pharmaceutical Group Limited,Health Care,2096.HK,EQ,
InSilico Medicine Cayman TopCo,Health Care,3696.HK,EQ,
Shanghai Conant Optical Co. Ltd. Class H,Health Care,2276.HK,EQ,
Sunshine Lake Pharma Co. Ltd. Class H,Health Care,6887.HK,EQ,
Shenzhen Edge Medical Co. Ltd. Class H,Health Care,2675.HK,EQ,
Ping An Healthcare and Technology Company Limited,Health Care,1833.HK,EQ,
Grand Pharmaceutical Group Limited,Health Care,0512.HK,EQ,
United Laboratories International Holdings Ltd.,Health Care,3933.HK,EQ,
Duality Biotherapeutics Inc.,Health Care,9606.HK,EQ,
Keymed Biosciences Inc.,Health Care,2162.HK,EQ,
InnoCare Pharma Ltd.,Health Care,9969.HK,EQ,
HUTCHMED (China) Limited,Health Care,0013.HK,EQ,
Shandong Weigao Group Medical Polymer Co. Ltd. Class H,Health Care,1066.HK,EQ,
Fujian Haixi Pharmaceuticals Co. Ltd. Class H,Health Care,2637.HK,EQ,
Shenzhen Hepalink Pharmaceutical Group Co. Ltd. Class H,Health Care,9989.HK,EQ,
Zai Lab Ltd.,Health Care,9688.HK,EQ,
Nanjing Leads Biolabs Co. Ltd. Class H,Health Care,9887.HK,EQ,
MicroPort Scientific Corp.,Health Care,0853.HK,EQ,
Ascentage Pharma Group International,Health Care,6855.HK,EQ,
Mabwell (Shanghai) Bioscience Co. Ltd. Class H,Health Care,2493.HK,EQ,
Angelalign Technology Inc.,Health Care,6699.HK,EQ,
Consun Pharmaceutical Group Ltd.,Health Care,1681.HK,EQ,
Ascletis Pharma Inc.,Health Care,1672.HK,EQ,
Vigonvita Life Sciences Co. Ltd. Class H,Health Care,2630.HK,EQ,
Genfleet Therapeutics (Shanghai) Inc. Class H,Health Care,2595.HK,EQ,
Everest Medicines Ltd.,Health Care,1952.HK,EQ,
CanSino Biologics Inc. Class H,Health Care,6185.HK,EQ,
TransThera Sciences (Nanjing). Inc.,Health Care,2617.HK,EQ,
CARsgen Therapeutics Holdings Ltd.,Health Care,2171.HK,EQ,
HBM Holdings Ltd.,Health Care,2142.HK,EQ,
Suzhou Ribo Life Science Co. Ltd. Class H,Health Care,6938.HK,EQ,
Sihuan Pharmaceutical Holdings Group Ltd.,Health Care,0460.HK,EQ,
Shandong Xinhua Pharmaceutical Company Limited Class H,Health Care,0719.HK,EQ,
CF PharmTech. Inc. Class H,Health Care,2652.HK,EQ,
China Traditional Chinese Medicine Holdings Co. Ltd.,Health Care,0570.HK,EQ,
CStone Pharmaceuticals,Health Care,2616.HK,EQ,
Fameglow Holdings Limited,Health Care,8603.HK,EQ,
Luye Pharma Group Ltd.,Health Care,2186.HK,EQ,
Health and Happiness (H&H) International Holdings Limited,Health Care,1112.HK,EQ,
LifeTech Scientific Corporation,Health Care,1302.HK,EQ,
SSY Group Limited,Health Care,2005.HK,EQ,
Lepu Biopharma Co. Ltd. Class H,Health Care,2157.HK,EQ,
Zylox-Tonbridge Medical Technology Co. Ltd. Class H,Health Care,2190.HK,EQ,
Alphamab Oncology,Health Care,9966.HK,EQ,
Cofoe Medical Technology Co. Ltd. Class H,Health Care,1187.HK,EQ,
CK Life Sciences International (Holdings) Inc.,Health Care,0775.HK,EQ,
Bayzed Health Group Inc.,Health Care,2609.HK,EQ,
Shanghai INT Medical Instruments Co. Ltd. Class H,Health Care,1501.HK,EQ,
Abbisko Cayman Limited,Health Care,2256.HK,EQ,
AK Medical Holdings Ltd.,Health Care,1789.HK,EQ,
China Shineway Pharmaceutical Group Limited,Health Care,2877.HK,EQ,
Jinxin Fertility Group Ltd.,Health Care,1951.HK,EQ,
Beijing Chunlizhengda Medical Instruments Co. Ltd. Class H,Health Care,1858.HK,EQ,
Beijing Tong Ren Tang Chinese Medicine Co. Ltd.,Health Care,3613.HK,EQ,
Hygeia Healthcare Holdings Co. Ltd.,Health Care,6078.HK,EQ,
China Isotope & Radiation Corp.,Health Care,1763.HK,EQ,
