Company Name,Industry,Symbol,Series,ISIN Code
Contemporary Amperex Technology Co.  Limited Class H,Industrials,3750.HK,EQ,CNE100006WS8
CMOC Group Limited Class H,Industrials,3993.HK,EQ,CNE100000114
Weichai Power Co.  Ltd. Class H,Industrials,2338.HK,EQ,CNE1000004L9
COSCO SHIPPING Holdings Co.  Ltd. Class H,Industrials,1919.HK,EQ,CNE1000002J7
Techtronic Industries,Industrials,0669.HK,EQ,HK0669013440
Kingboard Laminates Holdings Limited,Industrials,1888.HK,EQ,KYG5257K1076
MTR Corporation,Industrials,0066.HK,EQ,HK0066009694
Zhejiang Sanhua Intelligent Controls Co.  Ltd.,Industrials,2050.HK,EQ,CNE100006Z79
S.F. Holding Co.  Ltd. Class H,Industrials,6936.HK,EQ,CNE100006NF4
CRRC Corporation Limited Class H,Industrials,1766.HK,EQ,CNE100000BG0
Sany Heavy Industry Co.  Ltd. Class H,Industrials,6031.HK,EQ,CNE1000075S4
Air China Limited Class H,Industrials,0753.HK,EQ,CNE1000001S0
ZTO Express (Cayman)  Inc. Class A,Industrials,2057.HK,EQ,KYG9897K1058
China Railway Group Ltd,Industrials,0390.HK,EQ,CNE1000007Z2
Dongfang Electric Corporation Limited Class H,Industrials,1072.HK,EQ,CNE100000304
Shanghai Electric Group Company Limited Class H,Industrials,2727.HK,EQ,CNE100000437
Sinotruk Hong Kong Ltd.,Industrials,3808.HK,EQ,HK3808041546
China Communications Construction Co,Industrials,1800.HK,EQ,CNE1000002F5
Swire Pacific,Industrials,0019.HK,EQ,HK0019000162
COSCO SHIPPING Energy Transportation Co.  Ltd. Class H,Industrials,1138.HK,EQ,CNE1000002S8
China Southern Airlines Company Limited Class H,Industrials,1055.HK,EQ,CNE1000002T6
China Railway Construction Corporation Limited Class H,Industrials,1186.HK,EQ,CNE100000981
Goldwind Science & Technology Co. Ltd. Class H,Industrials,2208.HK,EQ,CNE100000PP1
China Eastern Airlines Corporation Limited Class H,Industrials,0670.HK,EQ,CNE1000002K5
SITC International Holdings Co.  Ltd.,Industrials,1308.HK,EQ,KYG8187G1055
JD Logistics  Inc.,Industrials,2618.HK,EQ,KYG5074S1012
Orient Overseas,Industrials,0316.HK,EQ,BMG677491539
J&T Global Express Limited,Industrials,1519.HK,EQ,KYG4990A1040
China Energy Engineering Corp. Ltd. Class H,Industrials,3996.HK,EQ,CNE1000023C8
