Company Name,Industry,Symbol,Series,ISIN Code
Zijin Mining Group Co. Ltd. Class H,Materials,2899.HK,EQ,
Zijin Gold International Company Limited,Materials,2259.HK,EQ,
China Hongqiao Group Ltd.,Materials,1378.HK,EQ,
Muyuan Foods Group Co Ltd Class H,Materials,2714.HK,EQ,
Jiangxi Copper Company Limited Class H,Materials,0358.HK,EQ,
Ganfeng Lithium Group Co. Ltd. Class H,Materials,1772.HK,EQ,
Shandong Gold Mining Co. Ltd. Class H,Materials,1787.HK,EQ,
Anhui Conch Cement Company Limited Class H,Materials,0914.HK,EQ,
Tianqi Lithium Corp. Class H,Materials,9696.HK,EQ,
MMG Ltd.,Materials,1208.HK,EQ,
Zhaojin Mining Industry Co. Ltd. Class H,Materials,1818.HK,EQ,
Kingboard Holdings Limited,Materials,0148.HK,EQ,
Chifeng Jilong Gold Mining Group Limited Class H,Materials,6693.HK,EQ,
SICC Co. Ltd. Class H,Materials,2631.HK,EQ,
United Company RUSAL international PJSC,Materials,0486.HK,EQ,
China Nonferrous Mining Corp. Ltd.,Materials,1258.HK,EQ,
China Gold International Resources Corp. Ltd.,Materials,2099.HK,EQ,
China International Marine Containers (Group) Co. Ltd Class H,Materials,2039.HK,EQ,
Wanguo Gold Group Limited,Materials,3939.HK,EQ,
Huaxin Building Materials Group Co Ltd Class H,Materials,6655.HK,EQ,
Chuangxin Industries Holdings Limited,Materials,2788.HK,EQ,
Jiaxin International Resources Investment Limited,Materials,3858.HK,EQ,
China National Building Material Co. Ltd. Class H,Materials,3323.HK,EQ,
Nine Dragons Paper Holdings Ltd.,Materials,2689.HK,EQ,
Flat Glass Group Co. Ltd. Class H,Materials,6865.HK,EQ,
Dongyue Group Limited,Materials,0189.HK,EQ,
GCL Technology Holdings Limited,Materials,3800.HK,EQ,
CGN Mining Co. Ltd.,Materials,1164.HK,EQ,
Maanshan Iron & Steel Co. Ltd. Class H,Materials,0323.HK,EQ,
Lingbao Gold Group Company Limited Class H,Materials,3330.HK,EQ,
Angang Steel Co. Ltd. Class H,Materials,0347.HK,EQ,
Jiangsu Lopal Tech Group Co. Ltd. Class H,Materials,2465.HK,EQ,
Impro Precision Industries Limited,Materials,1286.HK,EQ,
BBMG Corporation Class H,Materials,2009.HK,EQ,
Chongqing Iron & Steel Co. Ltd. Class H,Materials,1053.HK,EQ,
Lee & Man Paper Manufacturing Limited,Materials,2314.HK,EQ,
China XLX Fertiliser Ltd.,Materials,1866.HK,EQ,
West China Cement Ltd.,Materials,2233.HK,EQ,
Sinofert Holdings Limited,Materials,0297.HK,EQ,
Billion Industrial Holdings Ltd.,Materials,2299.HK,EQ,
Tongguan Gold Group Ltd.,Materials,0340.HK,EQ,
