Company Name,Industry,Symbol,Series,ISIN Code
Sun Hung Kai Properties,Real Estate,0016.HK,EQ,HK0016000132
China Resources Land Ltd,Real Estate,1109.HK,EQ,KYG2108Y1052
China Overseas Land & Investment,Real Estate,0688.HK,EQ,HK0688002218
CK Asset Holdings,Real Estate,1113.HK,EQ,KYG2177B1014
Henderson Land,Real Estate,0012.HK,EQ,HK0012000102
Sino Land,Real Estate,0083.HK,EQ,HK0083000502
Link REIT,Real Estate,0823.HK,EQ,HK0823032773
Longfor Group Holdings Ltd,Real Estate,0960.HK,EQ,KYG5635P1090
Wharf Holdings,Real Estate,0004.HK,EQ,HK0004000045
China Vanke Co Ltd,Real Estate,2202.HK,EQ,CNE100001SR9
Hang Lung Properties,Real Estate,0101.HK,EQ,HK0101000591
New World Development,Real Estate,0017.HK,EQ,HK0000608585
Hysan Development,Real Estate,0014.HK,EQ,HK0014000126
Country Garden Holdings Co Ltd,Real Estate,2007.HK,EQ,KYG245241032
