Company Name,Industry,Symbol,Series,ISIN Code
Tencent Holdings Ltd,Technology,0700.HK,EQ,KYG875721634
Alibaba Group Holding Ltd,Technology,9988.HK,EQ,KYG017191142
SMIC,Technology,0981.HK,EQ,KYG8020E1199
Xiaomi Corporation,Technology,1810.HK,EQ,KYG9830T1067
NetEase Inc,Technology,9999.HK,EQ,KYG6427A1022
Knowledge Atlas Technology Joint Stock Company Limited Class H,Technology,2513.HK,EQ,CNE100007DH9
Meituan,Technology,3690.HK,EQ,KYG596691041
GigaDevice Semiconductor Inc. Class H,Technology,3986.HK,EQ,CNE100007DJ5
Victory Giant Technology (HuiZhou) Co.  Ltd. Class H,Technology,2476.HK,EQ,CNE100007JY1
Baidu Inc,Technology,9888.HK,EQ,KYG070341048
Yangtze Optical Fibre and Cable Joint Stock Ltd Co Class H,Technology,6869.HK,EQ,CNE100001T72
Montage Technology Co.  Ltd. Class H,Technology,6809.HK,EQ,CNE100007DX6
Hua Hong Grace Semiconductor Limited,Technology,1347.HK,EQ,HK0000218211
Lenovo Group,Technology,0992.HK,EQ,HK0992009065
JD.com Inc,Technology,9618.HK,EQ,KYG8208B1014
Kuaishou Technology,Technology,1024.HK,EQ,KYG532631028
Shanghai Iluvatar CoreX Semiconductor Co.  Ltd. Class H,Technology,9903.HK,EQ,CNE100007DV0
MiniMax Group  Inc,Technology,0100.HK,EQ,KYG6181S1093
Omnivision Integrated Circuits Group  Inc. Class H,Technology,0501.HK,EQ,CNE100007DG1
Shanghai Biren Technology Co.  Ltd. Class H,Technology,6082.HK,EQ,CNE100007DD8
Tencent Music Entertainment Group Class A,Technology,1698.HK,EQ,KYG875771134
Huaqin Co.  Ltd. Class H,Technology,3296.HK,EQ,CNE100007KJ0
Sunny Optical Technology Group,Technology,2382.HK,EQ,KYG8586D1097
ASMPT,Technology,0522.HK,EQ,KYG0535Q1331
Horizon Robotics Class B,Technology,9660.HK,EQ,KYG4602S1057
Delton Technology (Guangzhou) Inc. Class H,Technology,1989.HK,EQ,CNE100007HC1
