Company Name,Industry,Symbol,Series,ISIN Code
CGN Power Co. Ltd. Class H,Utilities,1816.HK,EQ,
CLP Holdings Limited,Utilities,0002.HK,EQ,
Huaneng Power International Inc. Class H,Utilities,0902.HK,EQ,
CK Infrastructure Holdings Limited,Utilities,1038.HK,EQ,
Datang International Power Generation Co. Ltd. Class H,Utilities,0991.HK,EQ,
China Longyuan Power Group Corporation Ltd Class H,Utilities,0916.HK,EQ,
Hong Kong & China Gas Co. Ltd.,Utilities,0003.HK,EQ,
Power Assets Holdings Limited,Utilities,0006.HK,EQ,
China Resources Power Holdings Co. Ltd.,Utilities,0836.HK,EQ,
Huadian Power International Corp. Ltd. Class H,Utilities,1071.HK,EQ,
KunLun Energy Co. Ltd.,Utilities,0135.HK,EQ,
ENN Energy Holdings Limited,Utilities,2688.HK,EQ,
HK Electric Investments & HK Electric Investments Ltd.,Utilities,2638.HK,EQ,
Guangdong Investment Limited,Utilities,0270.HK,EQ,
China Power International Development Ltd,Utilities,2380.HK,EQ,
China Resources Gas Group Limited,Utilities,1193.HK,EQ,
China Gas Holdings Limited,Utilities,0384.HK,EQ,
Beijing Enterprises Holdings Limited,Utilities,0392.HK,EQ,
China Suntien Green Energy Corporation Limited Class H,Utilities,0956.HK,EQ,
Beijing Jingneng Clean Energy Co. Ltd. Class H,Utilities,0579.HK,EQ,
Shanghai Dazhong Public Utilities (Group) Co. Ltd. Class H,Utilities,1635.HK,EQ,
Dynagreen Environmental Protection Group Co. Ltd. Class H,Utilities,1330.HK,EQ,
Towngas Smart Energy Company Limited,Utilities,1083.HK,EQ,
China Datang Corp. Renewable Power Co. Ltd. Class H,Utilities,1798.HK,EQ,
CGN New Energy Holdings Co. Ltd.,Utilities,1811.HK,EQ,
Xinyi Energy Holdings Limited,Utilities,3868.HK,EQ,
China Water Affairs Group Limited,Utilities,0855.HK,EQ,
Zhongyu Energy Holdings Limited,Utilities,3633.HK,EQ,
Concord New Energy Group Limited,Utilities,0182.HK,EQ,
Shandong Hi-Speed New Energy Group Limited,Utilities,1250.HK,EQ,
China HK Power Smart Energy Group Limited,Utilities,0931.HK,EQ,
Shanghai REFIRE Group Ltd. Class H,Utilities,2570.HK,EQ,
Tianjin Development Holdings Limited,Utilities,0882.HK,EQ,
Sichuan Energy Investment Development Co. Ltd. Class H,Utilities,1713.HK,EQ,
Beijing Energy International Holding Co. Ltd.,Utilities,0686.HK,EQ,
China Everbright Greentech Ltd.,Utilities,1257.HK,EQ,
GCL New Energy Holdings Limited,Utilities,0451.HK,EQ,
Binhai Investment Co. Ltd.,Utilities,2886.HK,EQ,
China Gas Industry Investment Holdings Co.Ltd.,Utilities,1940.HK,EQ,
JiaXing Gas Group Co. Ltd. Class H,Utilities,9908.HK,EQ,
China Ruifeng Renewable Energy Holdings Limited.,Utilities,0527.HK,EQ,
Henan Jinyuan Hydrogenated Chemicals Co. Ltd. Class H,Utilities,2502.HK,EQ,
China Oil & Gas Group Ltd.,Utilities,0603.HK,EQ,
Beijing Gas Blue Sky Holdings Ltd,Utilities,6828.HK,EQ,
Beijing Enterprises Environment Group Limited,Utilities,0154.HK,EQ,
Jilin Province Chuncheng Heating Company Limited Class H,Utilities,1853.HK,EQ,
Kunming Dianchi Water Treatment Co. Ltd. Class H,Utilities,3768.HK,EQ,
Luzhou Xinglu Water (Group) Co. Ltd. Class H,Utilities,2281.HK,EQ,
China Renewable Energy Investment Limited,Utilities,0987.HK,EQ,
EverChina Int'l Holdings Company Ltd,Utilities,0202.HK,EQ,
United Strength Power Holdings Ltd.,Utilities,2337.HK,EQ,
Puxing Energy Ltd.,Utilities,0090.HK,EQ,
Chinese People Holdings Co. Ltd.,Utilities,0681.HK,EQ,
Hao Bai International (Cayman) Limited,Utilities,8431.HK,EQ,
Kong Sun Holdings Limited,Utilities,0295.HK,EQ,
Tianjin Jinran Public Utilities Co. Ltd. Class H,Utilities,1265.HK,EQ,
JY Gas Ltd.,Utilities,1407.HK,EQ,
Xinda Investment Holdings Limited,Utilities,1281.HK,EQ,
Sino Gas Holdings Group Limited,Utilities,1759.HK,EQ,
China Water Industry Group Limited,Utilities,1129.HK,EQ,
Tianjin Tianbao Energy Co. Ltd. Class H,Utilities,1671.HK,EQ,
Taizhou Water Group Co. Ltd. Class H,Utilities,1542.HK,EQ,
TL Natural Gas Holdings Limited,Utilities,8536.HK,EQ,
Sun Kong Holdings Limited,Utilities,8631.HK,EQ,
