Company Name,Industry,Symbol,Series,ISIN Code
PT Bank Central Asia Tbk,Financials,BBCA.JK,EQ,ID1000109507
PT Barito Renewables Energy Tbk,Utilities,BREN.JK,EQ,ID1000198500
PT DCI Indonesia Tbk,Technology,DCII.JK,EQ,ID1000158603
PT Bank Rakyat Indonesia (Persero) Tbk Class B,Financials,BBRI.JK,EQ,ID1000118201
PT Bank Mandiri (Persero) Tbk,Financials,BMRI.JK,EQ,ID1000095003
PT Bayan Resources Tbk,Energy,BYAN.JK,EQ,ID1000111701
PT Telkom Indonesia (Persero) Tbk Class B,Communication Services,TLKM.JK,EQ,ID1000129000
PT Ekamas Mora Republik Tbk,Communication Services,MORA.JK,EQ,ID1000170608
PT Amman Mineral Internasional Tbk,Materials,AMMN.JK,EQ,ID1000191109
PT Astra International Tbk,Technology,ASII.JK,EQ,ID1000122807
PT Sejahteraraya Anugrahjaya Tbk,Health Care,SRAJ.JK,EQ,ID1000118706
PT Indoritel Makmur Internasional Tbk,Communication Services,DNET.JK,EQ,ID1000063605
PT Barito Pacific Tbk,Materials,BRPT.JK,EQ,ID1000085707
PT Sinar Mas Multiartha Tbk Class A,Financials,SMMA.JK,EQ,ID1000094501
PT Bank Negara Indonesia (Persero) Tbk Class B,Financials,BBNI.JK,EQ,ID1000096605
PT Dian Swastatika Sentosa Tbk,Energy,DSSA.JK,EQ,ID1000113400
PT Chandra Asri Pacific Tbk,Materials,TPIA.JK,EQ,ID1000090301
PT Merdeka Gold Resources Tbk,Materials,EMAS.JK,EQ,ID1000211600
PT Pantai Indah Kapuk Dua Tbk,Consumer Staples,PANI.JK,EQ,ID1000145303
PT Bank Permata Tbk Class A,Financials,BNLI.JK,EQ,ID1000098205
PT Maha Properti Indonesia Tbk,Financials,MPRO.JK,EQ,ID1000146301
PT Impack Pratama Industri Tbk,Industrials,IMPC.JK,EQ,ID1000133002
PT Bank Syariah Indonesia (Persero) Tbk,Financials,BRIS.JK,EQ,ID1000142904
PT Chandra Daya Investasi Tbk.,Utilities,CDIA.JK,EQ,ID1000210701
PT United Tractors Tbk,Energy,UNTR.JK,EQ,ID1000058407
PT Petrindo Jaya Kreasi Tbk,Materials,CUAN.JK,EQ,ID1000187206
PT Indofood CBP Sukses Makmur Tbk,Consumer Staples,ICBP.JK,EQ,ID1000116700
PT Capital Financial Indonesia Tbk,Financials,CASA.JK,EQ,ID1000137508
PT Hanjaya Mandala Sampoerna Tbk,Consumer Staples,HMSP.JK,EQ,ID1000074008
PT Bumi Resources Minerals Tbk Class A,Materials,BRMS.JK,EQ,ID1000117609
PT ANTAM (Persero) Tbk,Materials,ANTM.JK,EQ,ID1000106602
PT Alamtri Resources Indonesia Tbk,Energy,ADRO.JK,EQ,ID1000111305
PT Merdeka Copper Gold Tbk,Materials,MDKA.JK,EQ,ID1000134406
PT Indosat Tbk Class B,Communication Services,ISAT.JK,EQ,ID1000097405
PT Unilever Indonesia Tbk,Consumer Staples,UNVR.JK,EQ,ID1000095706
Pt Adaro Andalan Indonesia Tbk,Energy,AADI.JK,EQ,ID1000207509
PT Alamtri Minerals Indonesia Tbk,Energy,ADMR.JK,EQ,ID1000165608
PT Charoen Pokphand Indonesia Tbk,Materials,CPIN.JK,EQ,ID1000117708
PT Indofood Sukses Makmur Tbk,Consumer Staples,INDF.JK,EQ,ID1000057003
PT GoTo Gojek Tokopedia Tbk,Technology,GOTO.JK,EQ,ID1000166903
PT Sumber Alfaria Trijaya,Consumer Discretionary,AMRT.JK,EQ,ID1000128705
PT Bumi Resources Tbk Class A,Materials,BUMI.JK,EQ,ID1000068703
PT Trimegah Bangun Persada Tbk,Materials,NCKL.JK,EQ,ID1000188006
PT Vale Indonesia Tbk,Materials,INCO.JK,EQ,ID1000109309
PT XLSMART Telecom Sejahtera Tbk,Communication Services,EXCL.JK,EQ,ID1000102502
PT Merdeka Battery Materials Tbk,Materials,MBMA.JK,EQ,ID1000188303
PT Transcoal Pacific,Industrials,TCPI.JK,EQ,ID1000144009
PT Bank Mega Tbk,Financials,MEGA.JK,EQ,ID1000052400
PT Dayamitra Telekomunikasi Tbk,Communication Services,MTEL.JK,EQ,ID1000164205
PT Global Digital Niaga Tbk,Consumer Discretionary,BELI.JK,EQ,ID1000176001
PT Bank Danamon Indonesia Tbk Class A,Financials,BDMN.JK,EQ,ID1000094204
PT Bank CIMB Niaga Tbk Class A,Financials,BNGA.JK,EQ,ID1000098007
PT Mayora Indah Tbk,Consumer Staples,MYOR.JK,EQ,ID1000060007
PT Perusahaan Gas Negara (Persero) Tbk Class B,Energy,PGAS.JK,EQ,ID1000111602
PT Petrosea Tbk,Industrials,PTRO.JK,EQ,ID1000122401
PT Indah Kiat Pulp & Paper Tbk,Materials,INKP.JK,EQ,ID1000062201
PT Pradiksi Gunatama Tbk,Materials,PGUN.JK,EQ,ID1000156409
PT Golden Energy Mines Tbk,Energy,GEMS.JK,EQ,ID1000121106
PT Pertamina Geothermal Energy Tbk,Utilities,PGEO.JK,EQ,ID1000186505
PT Cisarua Mountain Dairy Tbk,Industrials,CMRY.JK,EQ,ID1000164700
PT Tower Bersama Infrastructure Tbk,Financials,TBIG.JK,EQ,ID1000116908
PT MNC Digital Entertainment Tbk,Consumer Discretionary,MSIN.JK,EQ,ID1000143605
PT Kalbe Farma Tbk,Health Care,KLBF.JK,EQ,ID1000125107
PT Energi Mega Persada Tbk,Energy,ENRG.JK,EQ,ID1000098304
PT Elang Mahkota Teknologi Tbk,Consumer Discretionary,EMTK.JK,EQ,ID1000113905
PT Medco Energi Internasional Tbk,Energy,MEDC.JK,EQ,ID1000053705
PT Bukit Asam (Persero) Tbk,Energy,PTBA.JK,EQ,ID1000094006
PT Siloam International Hospitals Tbk Reg-S,Health Care,SILO.JK,EQ,ID1000129208
PT Gudang Garam Tbk,Consumer Staples,GGRM.JK,EQ,ID1000068604
PT Triputra Agro Persada Tbk,Materials,TAPG.JK,EQ,ID1000160302
PT Bank OCBC NISP Tbk,Financials,NISP.JK,EQ,ID1000094402
PT VKTR Teknologi Mobilitas Tbk,Consumer Discretionary,VKTR.JK,EQ,ID1000190309
PT FAP Agri Tbk,Consumer Staples,FAPA.JK,EQ,ID1000158405
PT Multipolar Technology Tbk,Technology,MLPT.JK,EQ,ID1000128408
PT Archi Indonesia Tbk,Materials,ARCI.JK,EQ,ID1000161003
PT Indo Tambangraya Megah Tbk,Energy,ITMG.JK,EQ,ID1000108509
PT Mitra Adiperkasa Tbk,Consumer Discretionary,MAPI.JK,EQ,ID1000099807
PT AKR Corporindo Tbk,Industrials,AKRA.JK,EQ,ID1000106701
PT Bank Ina Perdana Tbk,Financials,BINA.JK,EQ,ID1000130404
PT Timah (Persero) Tbk,Materials,TINS.JK,EQ,ID1000111800
PT Bank SMBC Indonesia Tbk,Financials,BTPN.JK,EQ,ID1000118508
PT Japfa Comfeed Indonesia Tbk Class A,Materials,JPFA.JK,EQ,ID1000126907
PT Mitra Keluarga Karyasehat Tbk,Health Care,MIKA.JK,EQ,ID1000135700
PT Daya Intiguna Yasa Tbk,Consumer Discretionary,MDIY.JK,EQ,ID1000207608
PT Garuda Indonesia (Persero) Tbk Class B,Industrials,GIAA.JK,EQ,ID1000118300
PT Metropolitan Kentjana Tbk,Financials,MKPI.JK,EQ,ID1000112808
PT Bank Pan Indonesia Tbk,Financials,PNBN.JK,EQ,ID1000092703
PT Jasa Marga (Persero) Tbk Class B,Industrials,JSMR.JK,EQ,ID1000108103
PT Sarana Menara Nusantara Tbk,Financials,TOWR.JK,EQ,ID1000128804
PT MD Entertainment Tbk,Consumer Discretionary,FILM.JK,EQ,ID1000144900
PT Allo Bank Indonesia Tbk,Financials,BBHI.JK,EQ,ID1000135304
PT Avia Avian Tbk,Materials,AVIA.JK,EQ,ID1000165004
PT Bangun Kosambi Sukses Tbk,Financials,CBDK.JK,EQ,ID1000208309
PT Saratoga Investama Sedaya Tbk,Financials,SRTG.JK,EQ,ID1000127707
PT MAP Aktif Adiperkasa Tbk,Consumer Discretionary,MAPA.JK,EQ,ID1000144108
PT Bank Tabungan Negara (Persero) Tbk,Financials,BBTN.JK,EQ,ID1000113707
PT Bakrie & Brothers Tbk Class A,Industrials,BNBR.JK,EQ,ID1000110000
PT Panca Anugrah Wisesa Tbk,Consumer Discretionary,MGLV.JK,EQ,ID1000160609
PT Darma Henwa Tbk,Energy,DEWA.JK,EQ,ID1000107303
PT Bukit Uluwatu Villa Tbk,Consumer Discretionary,BUVA.JK,EQ,ID1000116007
PT Pabrik Kertas Tjiwi Kimia Tbk,Materials,TKIM.JK,EQ,ID1000060403
PT Bank Sinarmas Tbk,Financials,BSIM.JK,EQ,ID1000117807
PT Soho Global Health Tbk,Health Care,SOHO.JK,EQ,ID1000157506
PT Krom Bank Indonesia Tbk,Financials,BBSI.JK,EQ,ID1000157100
PT Indocement Tunggal Prakarsa Tbk,Materials,INTP.JK,EQ,ID1000061302
PT Bank Maybank Indonesia Tbk Class A,Financials,BNII.JK,EQ,ID1000099302
PT Jaya Real Property Tbk,Financials,JRPT.JK,EQ,ID1000128903
PT Ultrajaya Milk Industry & Trading Co. Tbk,Consumer Staples,ULTJ.JK,EQ,ID1000063100
