Company Name,Industry,Symbol,Series,ISIN Code
PT Sumber Alfaria Trijaya,Consumer Discretionary,AMRT.JK,EQ,ID1000128705
PT Global Digital Niaga Tbk,Consumer Discretionary,BELI.JK,EQ,ID1000176001
PT MNC Digital Entertainment Tbk,Consumer Discretionary,MSIN.JK,EQ,ID1000143605
PT Elang Mahkota Teknologi Tbk,Consumer Discretionary,EMTK.JK,EQ,ID1000113905
PT VKTR Teknologi Mobilitas Tbk,Consumer Discretionary,VKTR.JK,EQ,ID1000190309
PT Mitra Adiperkasa Tbk,Consumer Discretionary,MAPI.JK,EQ,ID1000099807
PT Daya Intiguna Yasa Tbk,Consumer Discretionary,MDIY.JK,EQ,ID1000207608
PT MD Entertainment Tbk,Consumer Discretionary,FILM.JK,EQ,ID1000144900
PT MAP Aktif Adiperkasa Tbk,Consumer Discretionary,MAPA.JK,EQ,ID1000144108
PT Panca Anugrah Wisesa Tbk,Consumer Discretionary,MGLV.JK,EQ,ID1000160609
PT Bukit Uluwatu Villa Tbk,Consumer Discretionary,BUVA.JK,EQ,ID1000116007
PT Surya Citra Media Tbk,Consumer Discretionary,SCMA.JK,EQ,ID1000125305
PT Ancara Logistics Indonesia Tbk,Consumer Discretionary,ALII.JK,EQ,ID1000202807
PT Bukalapak.com Tbk,Consumer Discretionary,BUKA.JK,EQ,ID1000162001
PT Cita Mineral Investindo Tbk,Consumer Discretionary,CITA.JK,EQ,ID1000082803
PT Hartadinata Abadi Tbk,Consumer Discretionary,HRTA.JK,EQ,ID1000139405
PT Midi Utama Indonesia Tbk,Consumer Discretionary,MIDI.JK,EQ,ID1000117302
PT Indonesian Paradise Property Tbk,Consumer Discretionary,INPP.JK,EQ,ID1000100001
PT Nusantara Sejahtera Raya Tbk,Consumer Discretionary,CNMA.JK,EQ,ID1000193709
PT Citra Putra Realty Tbk,Consumer Discretionary,CLAY.JK,EQ,ID1000147903
PT Fore Kopi Indonesia Tbk,Consumer Discretionary,FORE.JK,EQ,ID1000210008
PT Aspirasi Hidup Indonesia Tbk,Consumer Discretionary,ACES.JK,EQ,ID1000125503
PT Olympus Strategic Indonesia Tbk,Consumer Discretionary,NATO.JK,EQ,ID1000148000
PT Singaraja Putra Tbk,Consumer Discretionary,SINI.JK,EQ,ID1000151905
PT Gajah Tunggal Tbk,Consumer Discretionary,GJTL.JK,EQ,ID1000086002
PT Apollo Global Interactive Tbk,Consumer Discretionary,BOGA.JK,EQ,ID1000138100
PT MDS Retailing Tbk Class A,Consumer Discretionary,LPPF.JK,EQ,ID1000113301
PT Indomobil Sukses Internasional Tbk,Consumer Discretionary,IMAS.JK,EQ,ID1000123003
PT Indonesia Prima Property Tbk,Consumer Discretionary,OMRE.JK,EQ,ID1000075401
PT Map Boga Adiperkasa Tbk,Consumer Discretionary,MAPB.JK,EQ,ID1000139702
PT Jakarta Setiabudi Internasional Tbk,Consumer Discretionary,JSPT.JK,EQ,ID1000082001
PT Paninvest Tbk,Consumer Discretionary,PNIN.JK,EQ,ID1000094907
PT Sanurhasta Mitra Tbk.,Consumer Discretionary,MINA.JK,EQ,ID1000138506
PT Graha Layar Prima Tbk Class C,Consumer Discretionary,BLTZ.JK,EQ,ID1000131402
PT Duta Intidaya Tbk,Consumer Discretionary,DAYA.JK,EQ,ID1000137300
PT Intermedia Capital Tbk,Consumer Discretionary,MDIA.JK,EQ,ID1000131303
PT Ramayana Lestari Sentosa Tbk,Consumer Discretionary,RALS.JK,EQ,ID1000099500
PT MNC Asia Holding Tbk,Consumer Discretionary,BHIT.JK,EQ,ID1000064207
PT Global Mediacom Tbk,Consumer Discretionary,BMTR.JK,EQ,ID1000105604
PT Red Planet Indonesia Tbk,Consumer Discretionary,PSKT.JK,EQ,ID1000087802
PT Caturkarda Depo Bangunan Tbk,Consumer Discretionary,DEPO.JK,EQ,ID1000164304
PT Pollux Hotels Group Tbk,Consumer Discretionary,POLI.JK,EQ,ID1000147606
PT Putra Mandiri Jembar Tbk,Consumer Discretionary,PMJS.JK,EQ,ID1000153000
PT DFI Retail Nusantara Tbk,Consumer Discretionary,HERO.JK,EQ,ID1000122708
PT Integra Indocabinet Tbk,Consumer Discretionary,WOOD.JK,EQ,ID1000139504
PT Sona Topas Tourism Industry Tbk,Consumer Discretionary,SONA.JK,EQ,ID1000052202
PT MNC Vision Networks Tbk Class A,Consumer Discretionary,IPTV.JK,EQ,ID1000150402
PT Industri dan Perdagangan Bintraco Dharma Tbk,Consumer Discretionary,CARS.JK,EQ,ID1000138308
PT Sinar Eka Selaras Tbk,Consumer Discretionary,ERAL.JK,EQ,ID1000194301
PT Tripar Multivision Plus Tbk,Consumer Discretionary,RAAM.JK,EQ,ID1000188808
PT Multipolar Tbk Class A,Consumer Discretionary,MLPL.JK,EQ,ID1000115207
PT Arthavest Tbk,Consumer Discretionary,ARTA.JK,EQ,ID1000093305
PT Fast Food Indonesia Tbk,Consumer Discretionary,FAST.JK,EQ,ID1000063209
PT Supra Boga Lestari Tbk,Consumer Discretionary,RANC.JK,EQ,ID1000122906
PT Hotel Sahid Jaya International Tbk,Consumer Discretionary,SHID.JK,EQ,ID1000068505
PT Bali Bintang Sejahtera Tbk,Consumer Discretionary,BOLA.JK,EQ,ID1000148901
PT Kentanix Supra International Tbk,Consumer Discretionary,KSIX.JK,EQ,ID1000208408
PT Perdana Bangun Pusaka Tbk,Consumer Discretionary,KONI.JK,EQ,ID1000079809
PT Pikko Land Development Tbk,Consumer Discretionary,RODA.JK,EQ,ID1000075203
PT Pembangunan Jaya Ancol Tbk,Consumer Discretionary,PJAA.JK,EQ,ID1000103807
PT Indo Boga Sukses Tbk,Consumer Discretionary,IBOS.JK,EQ,ID1000167406
PT Panorama Sentrawisata Tbk,Consumer Discretionary,PANR.JK,EQ,ID1000109705
