Company Name,Industry,Symbol,Series,ISIN Code
Bayan Resources,Energy,BYAN.JK,EQ,ID1000111701
PT Dian Swastatika Sentosa Tbk,Energy,DSSA.JK,EQ,ID1000113400
Barito Pacific,Energy,BRPT.JK,EQ,ID1000085707
Pt Adaro Andalan Indonesia Tbk,Energy,AADI.JK,EQ,ID1000207509
PT Alamtri Minerals Indonesia Tbk,Energy,ADMR.JK,EQ,ID1000165608
Adaro Energy,Energy,ADRO.JK,EQ,ID1000111305
PT Golden Energy Mines Tbk,Energy,GEMS.JK,EQ,ID1000121106
PT Energi Mega Persada Tbk,Energy,ENRG.JK,EQ,ID1000098304
Pertamina Geothermal,Energy,PGEO.JK,EQ,ID1000186505
Medco Energi,Energy,MEDC.JK,EQ,ID1000053705
Bukit Asam,Energy,PTBA.JK,EQ,ID1000094006
Indo Tambangraya,Energy,ITMG.JK,EQ,ID1000108509
AKR Corporindo,Energy,AKRA.JK,EQ,ID1000106701
PT Darma Henwa Tbk,Energy,DEWA.JK,EQ,ID1000107303
PT Prima Andalan Mandiri Tbk,Energy,MCOL.JK,EQ,ID1000162902
Indika Energy,Energy,INDY.JK,EQ,ID1000110901
PT Baramulti Suksessarana Tbk,Energy,BSSR.JK,EQ,ID1000125701
Harum Energy,Energy,HRUM.JK,EQ,ID1000116601
Surya Esa Perkasa,Energy,ESSA.JK,EQ,ID1000122203
PT Astrindo Nusantara Infrastruktur Tbk,Energy,BIPI.JK,EQ,ID1000114101
PT ABM Investama Tbk,Energy,ABMM.JK,EQ,ID1000121502
PT Golden Eagle Energy Tbk,Energy,SMMT.JK,EQ,ID1000100704
PT Super Energy Tbk,Energy,SURE.JK,EQ,ID1000145709
PT Elnusa Tbk,Energy,ELSA.JK,EQ,ID1000109606
PT TBS Energi Utama Tbk,Energy,TOBA.JK,EQ,ID1000123409
PT Dwi Guna Laksana Tbk,Energy,DWGL.JK,EQ,ID1000141302
PT Samindo Resources Tbk,Energy,MYOH.JK,EQ,ID1000120900
PT Mandiri Herindo Adiperkasa Tbk,Energy,MAHA.JK,EQ,ID1000192503
PT Mitrabara Adiperdana Tbk,Energy,MBAP.JK,EQ,ID1000132400
PT Sunindo Pratama Tbk,Energy,SUNI.JK,EQ,ID1000181209
PT BUMA Internasional Grup Tbk,Energy,DOID.JK,EQ,ID1000110505
PT Sumber Energi Andalan Tbk,Energy,ITMA.JK,EQ,ID1000089105
PT Resource Alam Indonesia Tbk,Energy,KKGI.JK,EQ,ID1000114309
PT Atlas Resources Tbk,Energy,ARII.JK,EQ,ID1000121205
PT Garda Tujuh Buana Tbk,Energy,GTBO.JK,EQ,ID1000113004
PT Royaltama Mulia Kontraktorindo Tbk,Energy,RMKO.JK,EQ,ID1000193105
PT Exploitasi Energi Indonesia Tbk Class A,Energy,CNKO.JK,EQ,ID1000096209
PT Black Diamond Resources Tbk,Energy,COAL.JK,EQ,ID1000172802
PT Alfa Energi Investama Tbk,Energy,FIRE.JK,EQ,ID1000139009
PT Sigma Energy Compressindo Tbk,Energy,SICO.JK,EQ,ID1000167000
