Company Name,Industry,Symbol,Series,ISIN Code
PT Bank Central Asia Tbk,Financials,BBCA.JK,EQ,ID1000109507
PT Bank Rakyat Indonesia (Persero) Tbk Class B,Financials,BBRI.JK,EQ,ID1000118201
PT Bank Mandiri (Persero) Tbk,Financials,BMRI.JK,EQ,ID1000095003
PT Sinar Mas Multiartha Tbk Class A,Financials,SMMA.JK,EQ,ID1000094501
PT Bank Negara Indonesia (Persero) Tbk Class B,Financials,BBNI.JK,EQ,ID1000096605
PT Bank Permata Tbk Class A,Financials,BNLI.JK,EQ,ID1000098205
PT Maha Properti Indonesia Tbk,Financials,MPRO.JK,EQ,ID1000146301
PT Bank Syariah Indonesia (Persero) Tbk,Financials,BRIS.JK,EQ,ID1000142904
PT Capital Financial Indonesia Tbk,Financials,CASA.JK,EQ,ID1000137508
PT Bank Mega Tbk,Financials,MEGA.JK,EQ,ID1000052400
PT Bank Danamon Indonesia Tbk Class A,Financials,BDMN.JK,EQ,ID1000094204
PT Bank CIMB Niaga Tbk Class A,Financials,BNGA.JK,EQ,ID1000098007
PT Tower Bersama Infrastructure Tbk,Financials,TBIG.JK,EQ,ID1000116908
PT Bank OCBC NISP Tbk,Financials,NISP.JK,EQ,ID1000094402
PT Bank Ina Perdana Tbk,Financials,BINA.JK,EQ,ID1000130404
PT Bank SMBC Indonesia Tbk,Financials,BTPN.JK,EQ,ID1000118508
PT Metropolitan Kentjana Tbk,Financials,MKPI.JK,EQ,ID1000112808
PT Bank Pan Indonesia Tbk,Financials,PNBN.JK,EQ,ID1000092703
PT Sarana Menara Nusantara Tbk,Financials,TOWR.JK,EQ,ID1000128804
PT Allo Bank Indonesia Tbk,Financials,BBHI.JK,EQ,ID1000135304
PT Bangun Kosambi Sukses Tbk,Financials,CBDK.JK,EQ,ID1000208309
PT Saratoga Investama Sedaya Tbk,Financials,SRTG.JK,EQ,ID1000127707
PT Bank Tabungan Negara (Persero) Tbk,Financials,BBTN.JK,EQ,ID1000113707
PT Bank Sinarmas Tbk,Financials,BSIM.JK,EQ,ID1000117807
PT Krom Bank Indonesia Tbk,Financials,BBSI.JK,EQ,ID1000157100
PT Bank Maybank Indonesia Tbk Class A,Financials,BNII.JK,EQ,ID1000099302
PT Jaya Real Property Tbk,Financials,JRPT.JK,EQ,ID1000128903
PT Jaya Sukses Makmur Sentosa Tbk,Financials,RISE.JK,EQ,ID1000144801
PT Bank Jago Tbk,Financials,ARTO.JK,EQ,ID1000136708
PT Pakuwon Jati Tbk,Financials,PWON.JK,EQ,ID1000122500
