Company Name,Industry,Symbol,Series,ISIN Code
PT Sejahteraraya Anugrahjaya Tbk,Health Care,SRAJ.JK,EQ,ID1000118706
Kalbe Farma,Health Care,KLBF.JK,EQ,ID1000125107
PT Siloam International Hospitals Tbk Reg-S,Health Care,SILO.JK,EQ,ID1000129208
Mitra Keluarga Karyasehat,Health Care,MIKA.JK,EQ,ID1000135700
PT Soho Global Health Tbk,Health Care,SOHO.JK,EQ,ID1000157506
PT Metro Healthcare Indonesia Tbk,Health Care,CARE.JK,EQ,ID1000154909
PT Medikaloka Hermina Tbk,Health Care,HEAL.JK,EQ,ID1000143100
Sido Muncul,Health Care,SIDO.JK,EQ,ID1000130305
PT Famon Awal Bros Sedaya Tbk,Health Care,PRAY.JK,EQ,ID1000175904
PT Jayamas Medica Industri Tbk,Health Care,OMED.JK,EQ,ID1000176209
PT Sarana Meditama Metropolitan Tbk,Health Care,SAME.JK,EQ,ID1000126303
PT Kimia Farma (Persero) Tbk Class B,Health Care,KAEF.JK,EQ,ID1000070303
PT Prodia Widyahusada Tbk,Health Care,PRDA.JK,EQ,ID1000138001
PT Pyridam Farma Tbk,Health Care,PYFA.JK,EQ,ID1000075609
PT Murni Sadar Tbk,Health Care,MTMH.JK,EQ,ID1000167307
PT Darya-Varia Laboratoria Tbk,Health Care,DVLA.JK,EQ,ID1000117203
PT Merck Tbk,Health Care,MERK.JK,EQ,ID1000136609
PT Bundamedik Tbk,Health Care,BMHS.JK,EQ,ID1000161201
PT Charlie Hospital Semarang Tbk,Health Care,RSCH.JK,EQ,ID1000197304
PT WIR Asia Tbk,Health Care,WIRG.JK,EQ,ID1000166804
PT Diastika Biotekindo Tbk,Health Care,CHEK.JK,EQ,ID1000211402
PT Diagnos Laboratorium Utama Tbk,Health Care,DGNS.JK,EQ,ID1000158702
PT Ikapharmindo Putramas Tbk,Health Care,IKPM.JK,EQ,ID1000199409
PT Royal Prima Tbk,Health Care,PRIM.JK,EQ,ID1000143209
Pt Cipta Sarana Medika Tbk.,Health Care,DKHH.JK,EQ,ID1000210305
PT Hetzer Medical Indonesia Tbk,Health Care,MEDS.JK,EQ,ID1000171309
PT Kedoya Adyaraya Tbk,Health Care,RSGK.JK,EQ,ID1000163009
PT Abadi Lestari Indonesia Tbk,Health Care,RLCO.JK,EQ,ID1000212509
