Company Name,Industry,Symbol,Series,ISIN Code
PT Impack Pratama Industri Tbk,Industrials,IMPC.JK,EQ,ID1000133002
United Tractors,Industrials,UNTR.JK,EQ,ID1000058407
PT Transcoal Pacific,Industrials,TCPI.JK,EQ,ID1000144009
PT Petrosea Tbk,Industrials,PTRO.JK,EQ,ID1000122401
PT Garuda Indonesia (Persero) Tbk Class B,Industrials,GIAA.JK,EQ,ID1000118300
PT Bakrie & Brothers Tbk Class A,Industrials,BNBR.JK,EQ,ID1000110000
Jasa Marga,Industrials,JSMR.JK,EQ,ID1000108103
PT Arkora Hydro Tbk,Industrials,ARKO.JK,EQ,ID1000168909
PT Pelayaran Nasional Ekalya Purnamasari Tbk,Industrials,ELPI.JK,EQ,ID1000170905
PT Astra Otoparts Tbk,Industrials,AUTO.JK,EQ,ID1000119704
PT Tempo Scan Pacific Tbk,Industrials,TSPC.JK,EQ,ID1000104508
PT RMK Energy Tbk,Industrials,RMKE.JK,EQ,ID1000164908
PT Selamat Sempurna Tbk,Industrials,SMSM.JK,EQ,ID1000095409
PT Citra Marga Nusaphala Persada Tbk,Industrials,CMNP.JK,EQ,ID1000070402
PT Surya Semesta Internusa Tbk,Industrials,SSIA.JK,EQ,ID1000119902
PT Panin Financial Tbk,Industrials,PNLF.JK,EQ,ID1000095607
PT Temas Tbk,Industrials,TMAS.JK,EQ,ID1000103203
PT Garuda Maintenance Facility Aero Asia Tbk,Industrials,GMFI.JK,EQ,ID1000140601
PT Enseval Putera Megatrading Tbk,Industrials,EPMT.JK,EQ,ID1000096506
PT Buana Lintas Lautan Tbk,Industrials,BULL.JK,EQ,ID1000133705
PT Bhakti Multi Artha Tbk,Industrials,BHAT.JK,EQ,ID1000155807
PT Bali Towerindo Sentra Tbk,Industrials,BALI.JK,EQ,ID1000135106
PT Samudera Indonesia Tbk,Industrials,SMDR.JK,EQ,ID1000075906
PT Citra Tubindo Tbk,Industrials,CTBN.JK,EQ,ID1000112303
PT Mitrabahtera Segara Sejati Tbk,Industrials,MBSS.JK,EQ,ID1000118607
PT Media Nusantara Citra Tbk,Industrials,MNCN.JK,EQ,ID1000106206
PT Dharma Polimetal Tbk,Industrials,DRMA.JK,EQ,ID1000165509
PT Batavia Prosperindo Internasional Tbk,Industrials,BPII.JK,EQ,ID1000132004
PT Tigaraksa Satria Tbk,Industrials,TGKA.JK,EQ,ID1000102106
PT Jasuindo Tiga Perkasa Tbk,Industrials,JTPE.JK,EQ,ID1000120603
PT Mitra Pinasthika Mustika Tbk,Industrials,MPMX.JK,EQ,ID1000127202
PT Blue Bird Tbk,Industrials,BIRD.JK,EQ,ID1000132707
PT Sillo Maritime Perdana Tbk,Industrials,SHIP.JK,EQ,ID1000137102
PT Cahaya Aero Services Tbk,Industrials,CASS.JK,EQ,ID1000121403
PT Hexindo Adiperkasa Tbk,Industrials,HEXA.JK,EQ,ID1000102205
PT Total Bangun Persada Tbk,Industrials,TOTL.JK,EQ,ID1000104003
PT Satu Visi Putra Tbk,Industrials,VISI.JK,EQ,ID1000203409
PT Multi Medika Internasional Tbk,Industrials,MMIX.JK,EQ,ID1000178700
PT Multikarya Asia Pasifik Raya Tbk,Industrials,MKAP.JK,EQ,ID1000203102
PT Daaz Bara Lestari Tbk,Industrials,DAAZ.JK,EQ,ID1000206808
PT Intra Golflink Resorts Tbk,Industrials,GOLF.JK,EQ,ID1000205107
PT Batulicin Nusantara Maritim Tbk,Industrials,BESS.JK,EQ,ID1000154701
PT Paragon Karya Perkasa Tbk,Industrials,PKPK.JK,EQ,ID1000106404
PT Arwana Citramulia Tbk,Industrials,ARNA.JK,EQ,ID1000128309
PT Habco Trans Maritima Tbk,Industrials,HATM.JK,EQ,ID1000169402
PT Medela Potentia Tbk,Industrials,MDLA.JK,EQ,ID1000209901
PT Soechi Lines Tbk,Industrials,SOCI.JK,EQ,ID1000132905
PT Bukaka Teknik Utama Tbk,Industrials,BUKK.JK,EQ,ID1000080807
PT Nusantara Pelabuhan Handal Tbk,Industrials,PORT.JK,EQ,ID1000138209
PT Surya Toto Indonesia Tbk,Industrials,TOTO.JK,EQ,ID1000132509
PT Adi Sarana Armada Tbk,Industrials,ASSA.JK,EQ,ID1000125800
PT Humpuss Maritim Internasional Tbk,Industrials,HUMI.JK,EQ,ID1000194905
PT Wintermar Offshore Marine Tbk,Industrials,WINS.JK,EQ,ID1000117500
PT Indonesia Kendaraan Terminal Tbk,Industrials,IPCC.JK,EQ,ID1000144306
PT Paramita Bangun Sarana Tbk,Industrials,PBSA.JK,EQ,ID1000137904
PT GTS Internasional,Industrials,GTSI.JK,EQ,ID1000163306
PT MNC Energy Investments Tbk,Industrials,IATA.JK,EQ,ID1000104409
PT Kirana Megatara Tbk,Industrials,KMTR.JK,EQ,ID1000139306
PT Supreme Cable Manufacturing & Commerce Tbk,Industrials,SCCO.JK,EQ,ID1000080906
PT Garuda Metalindo Tbk,Industrials,BOLT.JK,EQ,ID1000134604
PT Indospring Tbk,Industrials,INDS.JK,EQ,ID1000072002
PT Fortune Indonesia  Tbk,Industrials,FORU.JK,EQ,ID1000080203
PT Jasa Armada Indonesia Tbk,Industrials,IPCM.JK,EQ,ID1000141708
PT Maharaksa Biru Energi Tbk,Industrials,OASA.JK,EQ,ID1000137607
PT Ketrosden Triasmitra Tbk,Industrials,KETR.JK,EQ,ID1000176704
PT IMC Pelita Logistik Tbk,Industrials,PSSI.JK,EQ,ID1000141203
PT Catur Sentosa Adiprana Tbk,Industrials,CSAP.JK,EQ,ID1000108301
PT Menthobi Karyatama Raya Tbk,Industrials,MKTR.JK,EQ,ID1000176308
PT Surya Pertiwi Tbk,Industrials,SPTO.JK,EQ,ID1000143001
PT Berkah Prima Perkasa Tbk,Industrials,BLUE.JK,EQ,ID1000149800
PT Dana Brata Luhur Tbk,Industrials,TEBE.JK,EQ,ID1000152200
PT Trans Power Marine Tbk,Industrials,TPMA.JK,EQ,ID1000126600
PT Adhi Karya (Persero) Tbk,Industrials,ADHI.JK,EQ,ID1000097207
PT KMI Wire & Cable Tbk Class A,Industrials,KBLI.JK,EQ,ID1000071806
PT Pancaran Samudera Transport Tbk,Industrials,PSAT.JK,EQ,ID1000210800
PT Acset Indonusa Tbk,Industrials,ACST.JK,EQ,ID1000127509
PT PP (Persero) Tbk,Industrials,PTPP.JK,EQ,ID1000114002
PT Hoffmen Cleanindo Tbk,Industrials,KING.JK,EQ,ID1000185705
PT Homeco Victoria Makmur Tbk,Industrials,LIVE.JK,EQ,ID1000203003
PT Digital Mediatama Maxima Tbk,Industrials,DMMX.JK,EQ,ID1000151806
PT Jaya Konstruksi Manggala Pratama Tbk,Industrials,JKON.JK,EQ,ID1000129307
PT Lautan Luas Tbk,Industrials,LTLS.JK,EQ,ID1000133507
PT Trimitra Trans Persada Tbk,Industrials,BLOG.JK,EQ,ID1000210909
PT Futura Energi Global Tbk,Industrials,FUTR.JK,EQ,ID1000186604
PT Aracord Nusantara Group Tbk,Industrials,RONY.JK,EQ,ID1000155609
PT Segar Kumala Indonesia Tbk,Industrials,BUAH.JK,EQ,ID1000171200
PT Nusa Raya Cipta Tbk,Industrials,NRCA.JK,EQ,ID1000127608
PT Berlian Laju Tanker Tbk,Industrials,BLTA.JK,EQ,ID1000099906
PT Era Media Sejahtera Tbk,Industrials,DOOH.JK,EQ,ID1000188600
PT PP Presisi Tbk,Industrials,PPRE.JK,EQ,ID1000141005
PT Bekasi Fajar Industrial Estate Tbk,Industrials,BEST.JK,EQ,ID1000122609
PT Tembaga Mulia Semanan Tbk,Industrials,TBMS.JK,EQ,ID1000066400
PT Pelayaran Nasional Bina Buana Raya Tbk,Industrials,BBRM.JK,EQ,ID1000126204
PT Multi Garam Utama Tbk,Industrials,FOLK.JK,EQ,ID1000194202
PT Pratama Widya Tbk,Industrials,PTPW.JK,EQ,ID1000154107
PT Voksel Electric Tbk,Industrials,VOKS.JK,EQ,ID1000083900
PT Bintang Samudera Mandiri Lines Tbk,Industrials,BSML.JK,EQ,ID1000165400
PT AirAsia Indonesia Tbk,Industrials,CMPP.JK,EQ,ID1000132608
PT Autopedia Sukses Lestari Tbk,Industrials,ASLC.JK,EQ,ID1000165806
PT Shield On Service Tbk,Industrials,SOSS.JK,EQ,ID1000146608
PT Pelayaran Tamarin Samudra Tbk,Industrials,TAMU.JK,EQ,ID1000138803
PT Wijaya Karya Beton Tbk,Industrials,WTON.JK,EQ,ID1000131105
PT Nusa Konstruksi Enjiniring Tbk,Industrials,DGIK.JK,EQ,ID1000108806
PT Imago Mulia Persada Tbk,Industrials,LFLO.JK,EQ,ID1000160005
PT MDTV Media Technologies Tbk,Industrials,NETV.JK,EQ,ID1000165905
PT Mitra Investindo Tbk Class A,Industrials,MITI.JK,EQ,ID1000131709
PT Indonesia Pondasi Raya Tbk,Industrials,IDPR.JK,EQ,ID1000136401
PT Sumber Mineral Global Abadi Tbk,Industrials,SMGA.JK,EQ,ID1000201809
PT Asia Pramulia Tbk,Industrials,ASPR.JK,EQ,ID1000211006
PT Berdikari Pondasi Perkasa Tbk,Industrials,BDKR.JK,EQ,ID1000187008
PT Logindo Samudramakmur Tbk,Industrials,LEAD.JK,EQ,ID1000134000
PT UBC Medical Indonesia Tbk,Industrials,LABS.JK,EQ,ID1000205305
PT Penta Valent Tbk,Industrials,PEVE.JK,EQ,ID1000183601
PT Itama Ranoraya Tbk,Industrials,IRRA.JK,EQ,ID1000151707
PT Bakrie Sumatera Plantations Tbk,Industrials,UNSP.JK,EQ,ID1000099708
PT Bumi Benowo Sukses Sejahtera Tbk,Industrials,BBSS.JK,EQ,ID1000155500
PT Wijaya Karya Bangunan Gedung Tbk,Industrials,WEGE.JK,EQ,ID1000141104
PT Apexindo Pratama Duta Tbk,Industrials,APEX.JK,EQ,ID1000091309
PT Dua Putra Utama Makmur Tbk,Industrials,DPUM.JK,EQ,ID1000136203
PT Hasnur Internasional Shipping Tbk,Industrials,HAIS.JK,EQ,ID1000162605
PT Pelayaran Nelly Dwi Putri Tbk,Industrials,NELY.JK,EQ,ID1000125206
PT Galva Technologies Tbk,Industrials,GLVA.JK,EQ,ID1000153109
PT Multi Hanna Kreasindo Tbk,Industrials,MHKI.JK,EQ,ID1000203706
PT Jembo Cable Co. Tbk,Industrials,JECC.JK,EQ,ID1000074305
PT Kurniamitra Duta Sentosa Tbk,Industrials,KMDS.JK,EQ,ID1000157704
PT Rig Tenders Indonesia Tbk,Industrials,RIGS.JK,EQ,ID1000098809
PT Personel Alih Daya Tbk,Industrials,PADA.JK,EQ,ID1000178908
PT Prima Multi Usaha Indonesia Tbk,Industrials,PMUI.JK,EQ,ID1000211303
PT Tira Austenite Tbk,Industrials,TIRA.JK,EQ,ID1000061005
PT Haloni Jane Tbk,Industrials,HALO.JK,EQ,ID1000184708
PT Ecocare Indo Pasifik Tbk,Industrials,HYGN.JK,EQ,ID1000202906
PT Grahaprima Suksesmandiri Tbk,Industrials,GTRA.JK,EQ,ID1000187701
PT Newport Marine Services Tbk,Industrials,BOAT.JK,EQ,ID1000206907
PT Bintang Mitra Semestaraya Tbk,Industrials,BMSR.JK,EQ,ID1000079908
PT Mutuagung Lestari Tbk,Industrials,MUTU.JK,EQ,ID1000194806
PT Communication Cable Systems Indonesia Tbk,Industrials,CCSI.JK,EQ,ID1000149008
PT Kobexindo Tractors Tbk,Industrials,KOBX.JK,EQ,ID1000123508
PT Kabelindo Murni Tbk Class A,Industrials,KBLM.JK,EQ,ID1000073802
PT Dyandra Media International Tbk,Industrials,DYAN.JK,EQ,ID1000126808
PT Ulima Nitra Tbk,Industrials,UNIQ.JK,EQ,ID1000159502
PT Atlantis Subsea Indonesia Tbk,Industrials,ATLA.JK,EQ,ID1000203607
PT Xolare Rcr Energy Tbk,Industrials,SOLA.JK,EQ,ID1000204001
PT Multi Indocitra Tbk,Industrials,MICE.JK,EQ,ID1000102809
PT MPX Logistics International Tbk,Industrials,MPXL.JK,EQ,ID1000188907
PT Carsurin Tbk,Industrials,CRSN.JK,EQ,ID1000191208
PT Cipta Perdana Lancar Tbk,Industrials,PART.JK,EQ,ID1000204902
PT Ateliers Mecaniques D'Indonesie Tbk,Industrials,AMIN.JK,EQ,ID1000136302
PT Harapan Duta Pertiwi Tbk,Industrials,HOPE.JK,EQ,ID1000160500
PT Sumber Sinergi Makmur Tbk,Industrials,IOTF.JK,EQ,ID1000198401
PT Adiwarna Anugerah Abadi Tbk,Industrials,NAIK.JK,EQ,ID1000207103
PT Koka Indonesia Tbk,Industrials,KOKA.JK,EQ,ID1000198609
PT Intikeramik Alamasri Industri Tbk,Industrials,IKAI.JK,EQ,ID1000076201
PT Steady Safe Tbk,Industrials,SAFE.JK,EQ,ID1000067309
PT Pelayaran Kurnia Lautan Semesta Tbk,Industrials,KLAS.JK,EQ,ID1000190002
PT Perma Plasindo Tbk,Industrials,BINO.JK,EQ,ID1000164403
PT Millennium Pharmacon International Tbk,Industrials,SDPC.JK,EQ,ID1000072804
PT Asia Sejahtera Mina Tbk,Industrials,AGAR.JK,EQ,ID1000152507
PT Sinergi Multi Lestarindo Tbk,Industrials,SMLE.JK,EQ,ID1000201205
PT Intraco Penta Tbk,Industrials,INTA.JK,EQ,ID1000119209
PT Harta Djaya Karya Tbk,Industrials,MEJA.JK,EQ,ID1000202302
PT Putra Rajawali Kencana Tbk,Industrials,PURA.JK,EQ,ID1000153901
PT Phapros Tbk,Industrials,PEHA.JK,EQ,ID1000147507
PT Mustika Ratu Tbk,Industrials,MRAT.JK,EQ,ID1000092604
PT Mitra Pack Tbk,Industrials,PTMP.JK,EQ,ID1000187107
PT Arita Prima Indonesia Tbk,Industrials,APII.JK,EQ,ID1000129406
PT Satria Antaran Prima Tbk,Industrials,SAPX.JK,EQ,ID1000145600
PT Lion Metal Works Tbk,Industrials,LION.JK,EQ,ID1000135403
PT Chitose Internasional Tbk,Industrials,CINT.JK,EQ,ID1000131907
PT Meratus Jasa Prima Tbk,Industrials,KARW.JK,EQ,ID1000079205
PT Indo Straits Tbk,Industrials,PTIS.JK,EQ,ID1000120009
PT Brigit Biofarmaka Teknologi Tbk,Industrials,OBAT.JK,EQ,ID1000208705
PT Guna Timur Raya Tbk,Industrials,TRUK.JK,EQ,ID1000143308
PT Jaya Trishindo Tbk,Industrials,HELI.JK,EQ,ID1000142201
PT Gaya Abadi Sempurna Tbk,Industrials,SLIS.JK,EQ,ID1000151608
PT WEHA Transportasi Indonesia Tbk,Industrials,WEHA.JK,EQ,ID1000105901
PT Sidomulyo Selaras Tbk,Industrials,SDMU.JK,EQ,ID1000120108
PT Ginting Jaya Energi Tbk,Industrials,WOWS.JK,EQ,ID1000152002
PT Radiant Utama Interinsco Tbk,Industrials,RUIS.JK,EQ,ID1000103708
PT Express Transindo Utama Tbk,Industrials,TAXI.JK,EQ,ID1000125404
PT Yelooo Integra Datanet Tbk,Industrials,YELO.JK,EQ,ID1000146400
PT Mitra Pedagang Indonesia Tbk,Industrials,MPIX.JK,EQ,ID1000203201
PT LCK Global Kedaton Tbk,Industrials,LCKM.JK,EQ,ID1000141906
PT Mitra Energi Persada Tbk,Industrials,KOPI.JK,EQ,ID1000131501
PT Jasa Berdikari Logistics Tbk,Industrials,LAJU.JK,EQ,ID1000183809
PT Sinergi Inti Plastindo Tbk,Industrials,ESIP.JK,EQ,ID1000152101
PT Semacom Integrated Tbk,Industrials,SEMA.JK,EQ,ID1000165707
PT Mitra Angkasa Sejahtera Tbk,Industrials,BAUT.JK,EQ,ID1000166002
PT Gema Grahasarana Tbk,Industrials,GEMA.JK,EQ,ID1000092505
PT Capitol Nusantara Indonesia Tbk,Industrials,CANI.JK,EQ,ID1000130503
PT Merry Riana Edukasi Tbk,Industrials,MERI.JK,EQ,ID1000211204
PT Nanotech Indonesia Global Tbk,Industrials,NANO.JK,EQ,ID1000166606
