Company Name,Industry,Symbol,Series,ISIN Code
PT DCI Indonesia Tbk,Technology,DCII.JK,EQ,ID1000158603
PT Astra International Tbk,Technology,ASII.JK,EQ,ID1000122807
PT GoTo Gojek Tokopedia Tbk,Technology,GOTO.JK,EQ,ID1000166903
PT Multipolar Technology Tbk,Technology,MLPT.JK,EQ,ID1000128408
PT Solusi Sinergi Digital Tbk,Technology,WIFI.JK,EQ,ID1000158504
PT ITSEC Asia Tbk,Technology,CYBR.JK,EQ,ID1000194707
PT Metrodata Electronics Tbk,Technology,MTDL.JK,EQ,ID1000055007
PT Mastersystem Infotama Tbk,Technology,MSTI.JK,EQ,ID1000199102
PT Astra Graphia Tbk,Technology,ASGR.JK,EQ,ID1000066103
PT Folago Global Nusantara Tbk,Technology,IRSX.JK,EQ,ID1000184401
PT Sat Nusapersada Tbk,Technology,PTSN.JK,EQ,ID1000107808
PT Anabatic Technologies Tbk,Technology,ATIC.JK,EQ,ID1000134505
PT NFC Indonesia Tbk,Technology,NFCX.JK,EQ,ID1000144504
PT Pelita Teknologi Global Tbk,Technology,CHIP.JK,EQ,ID1000184906
PT Tera Data Indonusa Tbk,Technology,AXIO.JK,EQ,ID1000169204
PT Sumi Indo Kabel Tbk,Technology,IKBI.JK,EQ,ID1000083009
PT Dunia Virtual Online Tbk,Technology,AREA.JK,EQ,ID1000203508
PT Bahtera Bumi Raya Tbk,Technology,PGJO.JK,EQ,ID1000153208
PT Era Digital Media Tbk,Technology,AWAN.JK,EQ,ID1000188105
PT Trimegah Karya Pratama Tbk,Technology,UVCR.JK,EQ,ID1000161904
PT Venteny Fortuna International Tbk,Technology,VTNY.JK,EQ,ID1000179500
PT Data Sinergitama Jaya Tbk,Technology,ELIT.JK,EQ,ID1000181506
PT Informasi Teknologi Indonesia Tbk,Technology,JATI.JK,EQ,ID1000188501
PT Telefast Indonesia Tbk,Technology,TFAS.JK,EQ,ID1000151103
PT Geoprima Solusi Tbk,Technology,GPSO.JK,EQ,ID1000162704
PT Star Pacific Tbk Class A,Technology,LPLI.JK,EQ,ID1000100902
PT.Cashlez Worldwide Indonesia Tbk,Technology,CASH.JK,EQ,ID1000155906
PT Topindo Solusi Komunika Tbk,Technology,TOSK.JK,EQ,ID1000202203
PT Teknologi Karya Digital Nusa Tbk,Technology,TRON.JK,EQ,ID1000187404
PT Megalestari Epack Sentosaraya Tbk,Technology,EPAC.JK,EQ,ID1000156102
PT M Cash Integrasi Tbk,Technology,MCAS.JK,EQ,ID1000140908
PT Multi Prima Sejahtera Tbk,Technology,LPIN.JK,EQ,ID1000086408
PT Zyrexindo Mandiri Buana Tbk,Technology,ZYRX.JK,EQ,ID1000159908
PT Distribusi Voucher Nusantara Tbk,Technology,DIVA.JK,EQ,ID1000147002
PT Global Sukses Solusi Tbk,Technology,RUNS.JK,EQ,ID1000163405
PT Utama Radar Cahaya Tbk,Technology,RCCC.JK,EQ,ID1000170004
PT Arkadia Digital Media Tbk,Technology,DIGI.JK,EQ,ID1000145402
PT Tanah Laut Tbk,Technology,INDX.JK,EQ,ID1000102007
PT Techno9 Indonesia Tbk,Technology,NINE.JK,EQ,ID1000178601
PT Wira Global Solusi Tbk,Technology,WGSH.JK,EQ,ID1000164502
