Company Name,Industry,Symbol,Series,ISIN Code
PT Barito Renewables Energy Tbk,Utilities,BREN.JK,EQ,ID1000198500
PT Chandra Daya Investasi Tbk.,Utilities,CDIA.JK,EQ,ID1000210701
PT Pertamina Geothermal Energy Tbk,Utilities,PGEO.JK,EQ,ID1000186505
PT Rukun Raharja Tbk,Utilities,RAJA.JK,EQ,ID1000094105
PT Cikarang Listrindo Tbk,Utilities,POWR.JK,EQ,ID1000137201
PT Kencana Energi Lestari Tbk,Utilities,KEEN.JK,EQ,ID1000150907
PT Hero Global Investment Tbk,Utilities,HGII.JK,EQ,ID1000208507
PT Indah Prakasa Sentosa Tbk,Utilities,INPS.JK,EQ,ID1000142508
PT Citra Nusantara Gemilang Tbk,Utilities,CGAS.JK,EQ,ID1000201106
PT Leyand International Tbk,Utilities,LAPD.JK,EQ,ID1000071004
PT Megapower Makmur Tbk,Utilities,MPOW.JK,EQ,ID1000139900
