Company Name,Industry,Symbol,Series,ISIN Code
UltraTech Cement Ltd.,Construction Materials,ULTRACEMCO,EQ,INE481G01011
Grasim Industries Ltd.,Construction Materials,GRASIM,EQ,INE047A01021
Ambuja Cements Ltd.,Construction Materials,AMBUJACEM,EQ,INE079A01024
Shree Cement Ltd.,Construction Materials,SHREECEM,EQ,INE070A01015
J.K. Cement Ltd.,Construction Materials,JKCEMENT,EQ,INE823G01014
Dalmia Bharat Ltd.,Construction Materials,DALBHARAT,EQ,INE00R701025
ACC Ltd.,Construction Materials,ACC,EQ,INE012A01025
The Ramco Cements Ltd.,Construction Materials,RAMCOCEM,EQ,INE331A01037
JSW Cement Ltd.,Construction Materials,JSWCEMENT,EQ,INE718I01012
Nuvoco Vistas Corporation Ltd.,Construction Materials,NUVOCO,EQ,INE118D01016
India Cements Ltd.,Construction Materials,INDIACEM,EQ,INE383A01012
JK Lakshmi Cement Ltd.,Construction Materials,JKLAKSHMI,EQ,INE786A01032
Star Cement Ltd.,Construction Materials,STARCEMENT,EQ,INE460H01021
Birla Corporation Ltd.,Construction Materials,BIRLACORPN,EQ,INE340A01012
Prism Johnson Ltd.,Construction Materials,PRSMJOHNSN,EQ,INE010A01011
Orient Cement Ltd.,Construction Materials,ORIENTCEM,EQ,INE876N01018
