Company Name,Industry,Symbol,Series,ISIN Code
ACME Solar Holdings Ltd.,Power,ACMESOLAR,EQ,INE622W01025
ASK Automotive Ltd.,Automobile and Auto Components,ASKAUTOLTD,EQ,INE491J01022
AXISCADES Technologies Ltd.,Capital Goods,AXISCADES,EQ,INE555B01013
Aadhar Housing Finance Ltd.,Financial Services,AADHARHFC,EQ,INE883F01010
Aarti Drugs Ltd.,Healthcare,AARTIDRUGS,EQ,INE767A01016
Aarti Industries Ltd.,Chemicals,AARTIIND,EQ,INE769A01020
Aarti Pharmalabs Ltd.,Healthcare,AARTIPHARM,EQ,INE0LRU01027
Aavas Financiers Ltd.,Financial Services,AAVAS,EQ,INE216P01012
Action Construction Equipment Ltd.,Capital Goods,ACE,EQ,INE731H01025
Acutaas Chemicals Ltd.,Healthcare,ACUTAAS,EQ,INE00FF01025
Aditya Birla Fashion and Retail Ltd.,Consumer Services,ABFRL,EQ,INE647O01011
Aditya Birla Lifestyle Brands Ltd.,Consumer Services,ABLBL,EQ,INE14LE01019
Aditya Birla Real Estate Ltd.,Realty,ABREL,EQ,INE055A01016
Aditya Birla Sun Life AMC Ltd.,Financial Services,ABSLAMC,EQ,INE404A01024
Aditya Infotech Ltd.,Capital Goods,CPPLUS,EQ,INE819V01029
Aditya Vision Ltd.,Consumer Services,AVL,EQ,INE679V01027
Advanced Enzyme Tech Ltd.,Healthcare,ADVENZYMES,EQ,INE837H01020
Aegis Logistics Ltd.,Oil Gas & Consumable Fuels,AEGISLOG,EQ,INE208C01025
Aegis Vopak Terminals Ltd.,Oil Gas & Consumable Fuels,AEGISVOPAK,EQ,INE0INX01018
Aequs Ltd.,Capital Goods,AEQUS,EQ,INE947N01017
Aether Industries Ltd.,Chemicals,AETHER,EQ,INE0BWX01014
Afcons Infrastructure Ltd.,Construction,AFCONS,EQ,INE101I01011
Affle 3i Ltd.,Information Technology,AFFLE,EQ,INE00WC01027
Ahluwalia Contracts (India) Ltd.,Construction,AHLUCONT,EQ,INE758C01029
Akums Drugs and Pharmaceuticals Ltd.,Healthcare,AKUMS,EQ,INE09XN01023
Akzo Nobel India Ltd.,Consumer Durables,AKZOINDIA,EQ,INE133A01011
Alembic Pharmaceuticals Ltd.,Healthcare,APLLTD,EQ,INE901L01018
Alivus Life Sciences Ltd.,Healthcare,ALIVUS,EQ,INE03Q201024
Alkyl Amines Chemicals Ltd.,Chemicals,ALKYLAMINE,EQ,INE150B01039
Allied Blenders and Distillers Ltd.,Fast Moving Consumer Goods,ABDL,EQ,INE552Z01027
Alok Industries Ltd.,Textiles,ALOKINDS,EQ,INE270A01029
