Company Name,Industry,SYMBOL,SERIES,ISIN
20 MICRONS LIMITED,Chemicals,20MICRONS,EQ,INE144J01027
,,3IINFOTECH,EQ,INE748C01020
,,8KMILES,EQ,INE650K01013
A2Z INFRA ENGINEERING LIMITED,Construction & Engineering,A2ZINFRA,EQ,INE619I01012
AARTI DRUGS LIMITED,Pharmaceuticals,AARTIDRUGS,EQ,INE767A01016
,,AARVEEDEN,EQ,INE273D01019
ABAN OFFSHORE LIMITED,Oil & Gas Related Equipment and Services,ABAN,EQ,INE421A01028
,,ABGSHIP,EQ,INE067H01016
,,ABIRLANUVO,EQ,INE069A01017
ACCELYA SOLUTIONS INDIA LIMITED,Software & IT Services,ACCELYA,EQ,INE793A01012
,,ACROPETAL,EQ,INE055L01013
ADANI POWER LIMITED,Electrical Utilities & IPPs,ADANIPOWER,EQ,INE814H01011
ADF FOODS LIMITED,Food & Tobacco,ADFFOODS,EQ,INE982B01019
,,ADHUNIK,EQ,INE400H01019
"ANALOG DEVICES, INC.",Semiconductors & Semiconductor Equipment,ADI,EQ,INE959A01019
,,ADLABS,EQ,INE172N01012
,,ADORWELD,EQ,INE045A01017
ALLIED DIGITAL SERVICES LIMITED,Software & IT Services,ADSL,EQ,INE102I01027
ADVANI HOTELS AND RESORTS (INDIA) LIMITED,Hotels & Entertainment Services,ADVANIHOTR,EQ,INE199C01026
,,ADVANTA,EQ,INE517H01028
AFLAC INCORPORATED,Insurance,AFL,EQ,INE020G01017
AGARWAL INDUSTRIAL CORPORATION LIMITED,Chemicals,AGARIND,EQ,INE204E01012
,,AGCNET,EQ,INE676A01019
AGRI-TECH (INDIA) LIMITED,Food & Tobacco,AGRITECH,EQ,INE449G01018
,,AGRODUTCH,EQ,INE135B01014
Asian Hotels (East) Limited,Hotels & Entertainment Services,AHLEAST,EQ,INE926K01017
AHLUWALIA CONTRACTS (INDIA) LIMITED,Construction & Engineering,AHLUCONT,EQ,INE758C01029
ASIAN HOTELS (WEST) LIMITED,Hotels & Entertainment Services,AHLWEST,EQ,INE915K01010
ASHAPURA INTIMATES FASHION LIMITED,Textiles & Apparel,AIFL,EQ,INE428O01016
L'Air Liquide Societe Anonyme pour l'Etude et l'Exploitation des Procedes Georges Claude SA,Chemicals,AIL,EQ,INE878A01011
AJMERA REALTY & INFRA INDIA LIMITED,Real Estate Operations,AJMERA,EQ,INE298G01027
AKSH OPTIFIBRE LIMITED,Communications & Networking,AKSHOPTFBR,EQ,INE523B01011
Alankit Limited,Software & IT Services,ALANKIT,EQ,INE914E01032
,,ALBK,EQ,INE428A01015
ALCHEMIST LIMITED,Chemicals,ALCHEM,EQ,INE964B01033
ALEMBIC LIMITED,Real Estate Operations,ALEMBICLTD,EQ,INE426A01027
ALICON CASTALLOY LIMITED,Metals & Mining,ALICON,EQ,INE062D01024
ALKALI METALS LTD.,Chemicals,ALKALI,EQ,INE773I01017
ALKYL AMINES CHEMICALS LIMITED,Chemicals,ALKYLAMINE,EQ,INE150B01021
