Company Name,Industry,Symbol,Series,ISIN Code
AU Small Finance Bank Ltd.,Financial Services,AUBANK,EQ,INE949L01017
Ashok Leyland Ltd.,Capital Goods,ASHOKLEY,EQ,INE208A01029
Aurobindo Pharma Ltd.,Healthcare,AUROPHARMA,EQ,INE406A01037
BSE Ltd.,Financial Services,BSE,EQ,INE118H01025
Bharat Forge Ltd.,Automobile and Auto Components,BHARATFORG,EQ,INE465A01025
Bharat Heavy Electricals Ltd.,Capital Goods,BHEL,EQ,INE257A01026
Dixon Technologies (India) Ltd.,Consumer Durables,DIXON,EQ,INE935N01020
Fortis Healthcare Ltd.,Healthcare,FORTIS,EQ,INE061F01013
Hero MotoCorp Ltd.,Automobile and Auto Components,HEROMOTOCO,EQ,INE158A01026
Hindustan Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,HINDPETRO,EQ,INE094A01015
Indian Bank,Financial Services,INDIANB,EQ,INE562A01011
Indus Towers Ltd.,Telecommunication,INDUSTOWER,EQ,INE121J01017
IndusInd Bank Ltd.,Financial Services,INDUSINDBK,EQ,INE095A01012
Info Edge (India) Ltd.,Consumer Services,NAUKRI,EQ,INE663F01032
Life Insurance Corporation of India,Financial Services,LICI,EQ,INE0J1Y01017
Lupin Ltd.,Healthcare,LUPIN,EQ,INE326A01037
Marico Ltd.,Fast Moving Consumer Goods,MARICO,EQ,INE196A01026
One 97 Communications Ltd.,Financial Services,PAYTM,EQ,INE982J01020
PB Fintech Ltd.,Financial Services,POLICYBZR,EQ,INE417T01026
Persistent Systems Ltd.,Information Technology,PERSISTENT,EQ,INE262H01021
Polycab India Ltd.,Capital Goods,POLYCAB,EQ,INE455K01017
SRF Ltd.,Chemicals,SRF,EQ,INE647A01010
Suzlon Energy Ltd.,Capital Goods,SUZLON,EQ,INE040H01021
Swiggy Ltd.,Consumer Services,SWIGGY,EQ,INE00H001014
Yes Bank Ltd.,Financial Services,YESBANK,EQ,INE528G01035
