Company Name,Industry,Symbol,Series,ISIN Code
360 ONE WAM Ltd.,Financial Services,360ONE,EQ,INE466L01038
AU Small Finance Bank Ltd.,Financial Services,AUBANK,EQ,INE949L01017
Aditya Birla Capital Ltd.,Financial Services,ABCAPITAL,EQ,INE674K01013
Angel One Ltd.,Financial Services,ANGELONE,EQ,INE732I01013
BSE Ltd.,Financial Services,BSE,EQ,INE118H01025
Bandhan Bank Ltd.,Financial Services,BANDHANBNK,EQ,INE545U01014
Bank of India,Financial Services,BANKINDIA,EQ,INE084A01016
Central Depository Services (India) Ltd.,Financial Services,CDSL,EQ,INE736A01011
Computer Age Management Services Ltd.,Financial Services,CAMS,EQ,INE596I01020
Federal Bank Ltd.,Financial Services,FEDERALBNK,EQ,INE171A01029
HDFC Asset Management Company Ltd.,Financial Services,HDFCAMC,EQ,INE127D01025
Housing & Urban Development Corporation Ltd.,Financial Services,HUDCO,EQ,INE031A01017
ICICI Prudential Life Insurance Company Ltd.,Financial Services,ICICIPRULI,EQ,INE726G01019
IDFC First Bank Ltd.,Financial Services,IDFCFIRSTB,EQ,INE092T01019
Indian Bank,Financial Services,INDIANB,EQ,INE562A01011
Indian Energy Exchange Ltd.,Financial Services,IEX,EQ,INE022Q01020
IndusInd Bank Ltd.,Financial Services,INDUSINDBK,EQ,INE095A01012
L&T Finance Ltd.,Financial Services,LTF,EQ,INE498L01015
LIC Housing Finance Ltd.,Financial Services,LICHSGFIN,EQ,INE115A01026
Manappuram Finance Ltd.,Financial Services,MANAPPURAM,EQ,INE522D01027
Max Financial Services Ltd.,Financial Services,MFSL,EQ,INE180A01020
Multi Commodity Exchange of India Ltd.,Financial Services,MCX,EQ,INE745G01043
Muthoot Finance Ltd.,Financial Services,MUTHOOTFIN,EQ,INE414G01012
One 97 Communications Ltd.,Financial Services,PAYTM,EQ,INE982J01020
PB Fintech Ltd.,Financial Services,POLICYBZR,EQ,INE417T01026
PNB Housing Finance Ltd.,Financial Services,PNBHOUSING,EQ,INE572E01012
RBL Bank Ltd.,Financial Services,RBLBANK,EQ,INE976G01028
SBI Cards and Payment Services Ltd.,Financial Services,SBICARD,EQ,INE018E01016
Union Bank of India,Financial Services,UNIONBANK,EQ,INE692A01016
Yes Bank Ltd.,Financial Services,YESBANK,EQ,INE528G01035
