Company Name,Industry,Symbol,Series,ISIN Code
Abbott India Ltd.,Healthcare,ABBOTINDIA,EQ,INE358A01014
Ajanta Pharmaceuticals Ltd.,Healthcare,AJANTPHARM,EQ,INE031B01049
Alkem Laboratories Ltd.,Healthcare,ALKEM,EQ,INE540L01014
Aster DM Healthcare Ltd.,Healthcare,ASTERDM,EQ,INE914M01019
Aurobindo Pharma Ltd.,Healthcare,AUROPHARMA,EQ,INE406A01037
Biocon Ltd.,Healthcare,BIOCON,EQ,INE376G01013
Cohance Lifesciences Ltd.,Healthcare,COHANCE,EQ,INE03QK01018
Dr. Lal Path Labs Ltd.,Healthcare,LALPATHLAB,EQ,INE600L01024
Fortis Healthcare Ltd.,Healthcare,FORTIS,EQ,INE061F01013
Gland Pharma Ltd.,Healthcare,GLAND,EQ,INE068V01023
Glaxosmithkline Pharmaceuticals Ltd.,Healthcare,GLAXO,EQ,INE159A01016
Glenmark Pharmaceuticals Ltd.,Healthcare,GLENMARK,EQ,INE935A01035
Global Health Ltd.,Healthcare,MEDANTA,EQ,INE474Q01031
Granules India Ltd.,Healthcare,GRANULES,EQ,INE101D01020
Ipca Laboratories Ltd.,Healthcare,IPCALAB,EQ,INE571A01038
J.B. Chemicals & Pharmaceuticals Ltd.,Healthcare,JBCHEPHARM,EQ,INE572A01036
Krishna Institute of Medical Sciences Ltd.,Healthcare,KIMS,EQ,INE967H01025
Laurus Labs Ltd.,Healthcare,LAURUSLABS,EQ,INE947Q01028
Lupin Ltd.,Healthcare,LUPIN,EQ,INE326A01037
Mankind Pharma Ltd.,Healthcare,MANKIND,EQ,INE634S01028
NATCO Pharma Ltd.,Healthcare,NATCOPHARM,EQ,INE987B01026
Narayana Hrudayalaya Ltd.,Healthcare,NH,EQ,INE410P01011
Neuland Laboratories Ltd.,Healthcare,NEULANDLAB,EQ,INE794A01010
Onesource Specialty Pharma Ltd.,Healthcare,ONESOURCE,EQ,INE013P01021
Pfizer Ltd.,Healthcare,PFIZER,EQ,INE182A01018
Piramal Pharma Ltd.,Healthcare,PPLPHARMA,EQ,INE0DK501011
Poly Medicure Ltd.,Healthcare,POLYMED,EQ,INE205C01021
Sai Life Sciences Ltd.,Healthcare,SAILIFE,EQ,INE570L01029
Syngene International Ltd.,Healthcare,SYNGENE,EQ,INE398R01022
Wockhardt Ltd.,Healthcare,WOCKPHARMA,EQ,INE049B01025
