Company Name,Industry,Symbol,Series,ISIN Code
Affle 3i Ltd.,Information Technology,AFFLE,EQ,INE00WC01027
Bharti Hexacom Ltd.,Telecommunication,BHARTIHEXA,EQ,INE343G01021
Coforge Ltd.,Information Technology,COFORGE,EQ,INE591G01025
Cyient Ltd.,Information Technology,CYIENT,EQ,INE136B01020
HFCL Ltd.,Telecommunication,HFCL,EQ,INE548A01028
Hexaware Technologies Ltd.,Information Technology,HEXT,EQ,INE093A01041
Indus Towers Ltd.,Telecommunication,INDUSTOWER,EQ,INE121J01017
Intellect Design Arena Ltd.,Information Technology,INTELLECT,EQ,INE306R01017
KPIT Technologies Ltd.,Information Technology,KPITTECH,EQ,INE04I401011
L&T Technology Services Ltd.,Information Technology,LTTS,EQ,INE010V01017
MphasiS Ltd.,Information Technology,MPHASIS,EQ,INE356A01018
Oracle Financial Services Software Ltd.,Information Technology,OFSS,EQ,INE881D01027
Persistent Systems Ltd.,Information Technology,PERSISTENT,EQ,INE262H01021
Sagility Ltd.,Information Technology,SAGILITY,EQ,INE0W2G01015
Sonata Software Ltd.,Information Technology,SONATSOFTW,EQ,INE269A01021
Tata Communications Ltd.,Telecommunication,TATACOMM,EQ,INE151A01013
Tata Elxsi Ltd.,Information Technology,TATAELXSI,EQ,INE670A01012
Tata Technologies Ltd.,Information Technology,TATATECH,EQ,INE142M01025
Vodafone Idea Ltd.,Telecommunication,IDEA,EQ,INE669E01016
Zensar Technolgies Ltd.,Information Technology,ZENSARTECH,EQ,INE520A01027
