Company Name,Industry,Symbol,Series,ISIN Code
20 Microns Limited,Chemicals,20MICRONS,EQ,INE144J01027
21st Century Management Services Limited,Services,21STCENMGM,EQ,INE253B01015
360 ONE WAM Ltd.,Financial Services,360ONE,EQ,INE466L01038
3i Infotech Limited,Information Technology,3IINFOLTD,EQ,INE748C01038
3M India Ltd.,Diversified,3MINDIA,EQ,INE470A01017
3P Land Holdings Limited,Realty,3PLAND,EQ,INE105C01023
5Paisa Capital Limited,Financial Services,5PAISA,EQ,INE618L01018
5Paisa Capital Limited-RE,Financial Services,5PAISA-RE,BE,INE618L20018
63 moons technologies limited,Information Technology,63MOONS,EQ,INE111B01023
A2Z Infra Engineering Limited,Capital Goods,A2ZINFRA,BE,INE619I01012
AAA Technologies Limited,Information Technology,AAATECH,EQ,INE0D0U01013
Aadhar Housing Finance Ltd.,Financial Services,AADHARHFC,EQ,INE883F01010
Aakash Exploration Services Limited,Oil Gas & Consumable Fuels,AAKASH,BE,INE087Z01024
Aarey Drugs & Pharmaceuticals Limited,Healthcare,AAREYDRUGS,EQ,INE198H01019
Aarnav Fashions Limited,Textiles,AARNAV,EQ,INE750R01016
Aaron Industries Limited,Capital Goods,AARON,EQ,INE721Z01010
Aartech Solonics Limited,Capital Goods,AARTECH,EQ,INE01C001026
Aarti Drugs Ltd.,Healthcare,AARTIDRUGS,EQ,INE767A01016
Aarti Industries Ltd.,Chemicals,AARTIIND,EQ,INE769A01020
Aarti Pharmalabs Ltd.,Healthcare,AARTIPHARM,EQ,INE0LRU01027
Aarti Surfactants Limited,Chemicals,AARTISURF,EQ,INE09EO01013
Aarvi Encon Limited,Capital Goods,AARVI,EQ,INE754X01016
Aavas Financiers Ltd.,Financial Services,AAVAS,EQ,INE216P01012
ABB India Ltd.,Capital Goods,ABB,EQ,INE117A01022
Abbott India Ltd.,Healthcare,ABBOTINDIA,EQ,INE358A01014
Aditya Birla Capital Ltd.,Financial Services,ABCAPITAL,EQ,INE674K01013
A B Cotspin India Limited,Textiles,ABCOTS,EQ,INE08PH01015
Allied Blenders and Distillers Ltd.,Fast Moving Consumer Goods,ABDL,EQ,INE552Z01027
Aditya Birla Fashion and Retail Ltd.,Consumer Services,ABFRL,EQ,INE647O01011
A B Infrabuild Limited,Construction,ABINFRA,EQ,INE00YB01025
Aditya Birla Lifestyle Brands Ltd.,Consumer Services,ABLBL,EQ,INE14LE01019
