Company Name,Industry,Symbol,Series,ISIN Code
UniCredit S.p.A.,Financials,UCG.MI,EQ,
Intesa Sanpaolo S.p.A.,Financials,ISP.MI,EQ,
Enel SpA,Utilities,ENEL.MI,EQ,
Ferrari NV,Consumer Discretionary,RACE.MI,EQ,
Eni S.p.A.,Energy,ENI.MI,EQ,
Assicurazioni Generali S.p.A.,Financials,G.MI,EQ,
STMicroelectronics NV,Technology,STMMI.MI,EQ,
Prysmian S.p.A.,Industrials,PRY.MI,EQ,
Poste Italiane SpA,Industrials,PST.MI,EQ,
Leonardo SpA,Technology,LDO.MI,EQ,
Tenaris S.A.,Materials,TEN.MI,EQ,
Banca Monte dei Paschi di Siena S.p.A.,Financials,BMPS.MI,EQ,
BPER Banca S.p.A.,Financials,BPE.MI,EQ,
Stellantis N.V.,Consumer Discretionary,STLAM.MI,EQ,
Snam S.p.A.,Utilities,SRG.MI,EQ,
Terna S.p.A.,Utilities,TRN.MI,EQ,
Technoprobe SpA,Technology,TPRO.MI,EQ,
Banco BPM SpA,Financials,BAMI.MI,EQ,
Mediobanca - Banca di Credito Finanziario S.p.A.,Financials,MB.MI,EQ,
Telecom Italia S.p.A.,Communication Services,TIT.MI,EQ,
UNIPOL ASSICURAZIONI SPA,Financials,UNI.MI,EQ,
Moncler SpA,Consumer Staples,MONC.MI,EQ,
Banca Mediolanum SpA,Financials,BMED.MI,EQ,
FinecoBank SpA,Financials,FBK.MI,EQ,
Italgas SpA,Utilities,IG.MI,EQ,
Recordati S.p.A.,Health Care,REC.MI,EQ,
Edison SpA,Utilities,EDNR.MI,EQ,
Saipem S.p.A.,Industrials,SPM.MI,EQ,
Buzzi Spa,Materials,BZU.MI,EQ,
A2A S.p.A.,Utilities,A2A.MI,EQ,
Davide Campari-Milano N.V.,Consumer Staples,CPR.MI,EQ,
Lottomatica Group S.P.A.,Consumer Discretionary,LTMC.MI,EQ,
Pirelli & C. S.p.A.,Consumer Discretionary,PIRC.MI,EQ,
Banca Generali S.p.A.,Financials,BGN.MI,EQ,
Infrastrutture Wireless Italiane S.p.A.,Communication Services,INW.MI,EQ,
Brembo N.V.,Industrials,BRE.MI,EQ,
Brunello Cucinelli S.p.A.,Consumer Staples,BC.MI,EQ,
Hera S.p.A.,Utilities,HER.MI,EQ,
SOL S.p.A.,Materials,SOL.MI,EQ,
De'Longhi S.p.A.,Consumer Discretionary,DLG.MI,EQ,
