Company Name,Industry,Symbol,Series,ISIN Code
Enel,Utilities,ENEL.MI,EQ,
Eni,Energy,ENI.MI,EQ,
Intesa Sanpaolo,Financials,ISP.MI,EQ,
UniCredit,Financials,UCG.MI,EQ,
Ferrari,ConsumerDisc,RACE.MI,EQ,
Stellantis,ConsumerDisc,STLAM.MI,EQ,
Generali,Financials,G.MI,EQ,
Assicurazioni Generali,Financials,GASI.MI,EQ,
Snam,Utilities,SRG.MI,EQ,
Terna,Utilities,TRN.MI,EQ,
Saipem,Energy,SPM.MI,EQ,
Tenaris,Energy,TEN.MI,EQ,
Prysmian,Industrials,PRY.MI,EQ,
Leonardo,Industrials,LDO.MI,EQ,
Moncler,ConsumerDisc,MONC.MI,EQ,
Banco BPM,Financials,BAMI.MI,EQ,
Mediobanca,Financials,MB.MI,EQ,
Banca Mediolanum,Financials,BMED.MI,EQ,
FinecoBank,Financials,FBK.MI,EQ,
Poste Italiane,Financials,PST.MI,EQ,
Unipol,Financials,UNI.MI,EQ,
Telecom Italia,CommServices,TIT.MI,EQ,
Recordati,Healthcare,REC.MI,EQ,
DiaSorin,Healthcare,DIA.MI,EQ,
Amplifon,Healthcare,AMP.MI,EQ,
Campari,Consumer Staples,CPR.MI,EQ,
Pirelli,ConsumerDisc,PIRC.MI,EQ,
Interpump Group,Industrials,IP.MI,EQ,
Brembo,ConsumerDisc,BRE.MI,EQ,
Buzzi,Materials,BZU.MI,EQ,
Inwit,CommServices,INW.MI,EQ,
Italgas,Utilities,IG.MI,EQ,
A2A,Utilities,A2A.MI,EQ,
Hera,Utilities,HER.MI,EQ,
Iveco Group,Industrials,IVG.MI,EQ,
Banca Popolare Sondrio,Financials,BPSO.MI,EQ,
BPER Banca,Financials,BPE.MI,EQ,
Nexi,Technology,NEXI.MI,EQ,
Azimut Holding,Financials,AZM.MI,EQ,
ERG,Utilities,ERG.MI,EQ,
