Company Name,Industry,Symbol,Series,ISIN Code
Ferrari NV,Consumer Discretionary,RACE.MI,EQ,
Stellantis N.V.,Consumer Discretionary,STLAM.MI,EQ,
Lottomatica Group S.P.A.,Consumer Discretionary,LTMC.MI,EQ,
Pirelli & C. S.p.A.,Consumer Discretionary,PIRC.MI,EQ,
De'Longhi S.p.A.,Consumer Discretionary,DLG.MI,EQ,
Iveco Group NV,Consumer Discretionary,IVG.MI,EQ,
Technogym S.p.A,Consumer Discretionary,TGYM.MI,EQ,
MFE-MediaForEurope NV Class A,Consumer Discretionary,MFEA.MI,EQ,
MFE-MediaForEurope NV Class B,Consumer Discretionary,MFEB.MI,EQ,
OVS S.p.A.,Consumer Discretionary,OVS.MI,EQ,
Rai Way SpA,Consumer Discretionary,RWAY.MI,EQ,
Sanlorenzo S.p.A.,Consumer Discretionary,SL.MI,EQ,
Ferretti S.p.A.,Consumer Discretionary,YACHT.MI,EQ,
Juventus Football Club S.p.A.,Consumer Discretionary,JUVE.MI,EQ,
Piaggio & C. S.p.a.,Consumer Discretionary,PIA.MI,EQ,
Arnoldo Mondadori Editore S.p.A.,Consumer Discretionary,MN.MI,EQ,
RCS MediaGroup S.p.A.,Consumer Discretionary,RCS.MI,EQ,
Cairo Communication S.p.A.,Consumer Discretionary,CAI.MI,EQ,
FOPE S.p.A.,Consumer Discretionary,FPE.MI,EQ,
Caltagirone Editore S.p.A.,Consumer Discretionary,CED.MI,EQ,
IMMSI Societa per Azioni,Consumer Discretionary,IMS.MI,EQ,
Sabaf S.p.A.,Consumer Discretionary,SAB.MI,EQ,
Emak S.p.A.,Consumer Discretionary,EM.MI,EQ,
Dexelance,Consumer Discretionary,DEX.MI,EQ,
Somec S.p.A.,Consumer Discretionary,SOM.MI,EQ,
Piquadro S.p.A,Consumer Discretionary,PQ.MI,EQ,
B&C Speakers S.p.A.,Consumer Discretionary,BEC.MI,EQ,
Societa Sportiva Lazio S.p.A.,Consumer Discretionary,SSL.MI,EQ,
iGrandiViaggi S.p.A.,Consumer Discretionary,IGV.MI,EQ,
Edil San Felice S.P.A.,Consumer Discretionary,ESF.MI,EQ,
Elica S.p.A.,Consumer Discretionary,ELC.MI,EQ,
Italian Sea Group S.p.A.,Consumer Discretionary,TISG.MI,EQ,
Gentili Mosconi-s.P.A.,Consumer Discretionary,GM.MI,EQ,
Pininfarina S.p.A.,Consumer Discretionary,PINF.MI,EQ,
Cellularline SpA,Consumer Discretionary,CELL.MI,EQ,
Class Editori S.p.A.,Consumer Discretionary,CLE.MI,EQ,
Talea Group S.p.A.,Consumer Discretionary,TALEA.MI,EQ,
Acquazzurra S.p.A.,Consumer Discretionary,ACQ.MI,EQ,
EdiliziAcrobatica SpA,Consumer Discretionary,EDAC.MI,EQ,
Pasquarelli Auto SpA,Consumer Discretionary,PSQ.MI,EQ,
IDNTT SA,Consumer Discretionary,IDNTT.MI,EQ,
Leone Film Group SpA,Consumer Discretionary,LFG.MI,EQ,
Bellini Nautica S.P.A.,Consumer Discretionary,BELL.MI,EQ,
Pozzi Milano S.P.A.,Consumer Discretionary,POZ.MI,EQ,
Giocamondo Study S.P.A.,Consumer Discretionary,GMS.MI,EQ,
Lucisano Media Group S.p.A.,Consumer Discretionary,LMG.MI,EQ,
Vincenzo Zucchi S.p.A.,Consumer Discretionary,ZUC.MI,EQ,
Notorious Pictures S.p.A.,Consumer Discretionary,NPI.MI,EQ,
Poligrafici Printing S.p.A.,Consumer Discretionary,POPR.MI,EQ,
Farmacosmo S.P.A.,Consumer Discretionary,COSMO.MI,EQ,
Caleffi S.p.A.,Consumer Discretionary,CLF.MI,EQ,
Simone S.P.A.,Consumer Discretionary,SMN.MI,EQ,
Xenia Hotellerie Solution S.P.A. Societa' Benefit,Consumer Discretionary,XHS.MI,EQ,
Radici Pietro Industries & Brands SpA,Consumer Discretionary,RAD.MI,EQ,
Deodato.Gallery S.P.A.,Consumer Discretionary,ART.MI,EQ,
Longino & Cardenal SpA,Consumer Discretionary,LON.MI,EQ,
Renovalo S.p.A.,Consumer Discretionary,RNV.MI,EQ,
Giglio.com SpA,Consumer Discretionary,GCOM.MI,EQ,
Societa Editoriale Il Fatto SpA,Consumer Discretionary,SEIF.MI,EQ,
Mondo TV S.p.A.,Consumer Discretionary,MTV.MI,EQ,
Gismondi 1754 S.p.A.,Consumer Discretionary,GIS.MI,EQ,
DESTINATION ITALIA S.P.A.,Consumer Discretionary,DIT.MI,EQ,
Gambero Rosso SpA,Consumer Discretionary,GAMB.MI,EQ,
Estrima S.p.A.,Consumer Discretionary,ESTM.MI,EQ,
Vivenda Group S.p.A.,Consumer Discretionary,VVG.MI,EQ,
TrenDevice S.p.A.,Consumer Discretionary,TD.MI,EQ,
OPS Retail S.p.A.,Consumer Discretionary,OPR.MI,EQ,
Soges Group SpA,Consumer Discretionary,SOGES.MI,EQ,
Piu Medical S.P.A.,Consumer Discretionary,PMED.MI,EQ,
GT Talent Group Class B,Consumer Discretionary,GT.MI,EQ,
Kaleon S.p.A.,Consumer Discretionary,KLN.MI,EQ,
Markbass S.P.A.,Consumer Discretionary,MARK.MI,EQ,
