Company Name,Industry,Symbol,Series,ISIN Code
Moncler SpA,Consumer Staples,MONC.MI,EQ,
Davide Campari-Milano N.V.,Consumer Staples,CPR.MI,EQ,
Brunello Cucinelli S.p.A.,Consumer Staples,BC.MI,EQ,
Salvatore Ferragamo S.p.A.,Consumer Staples,SFER.MI,EQ,
Intercos S.p.A.,Consumer Staples,ICOS.MI,EQ,
Italmobiliare S.p.A.,Consumer Staples,ITM.MI,EQ,
NewPrinces S.p.A.,Consumer Staples,NWL.MI,EQ,
Italian Wine Brands S.p.A.,Consumer Staples,IWB.MI,EQ,
Masi Agricola SpA,Consumer Staples,MASI.MI,EQ,
Valsoia SpA,Consumer Staples,VLS.MI,EQ,
Geox S.p.A.,Consumer Staples,GEO.MI,EQ,
Culti Milano SpA,Consumer Staples,CULT.MI,EQ,
Centrale del Latte d'Italia S.p.A.,Consumer Staples,CLI.MI,EQ,
Pattern S.P.A,Consumer Staples,PTR.MI,EQ,
Ratti S.p.A.,Consumer Staples,RAT.MI,EQ,
Aeffe S.p.A.,Consumer Staples,AEF.MI,EQ,
CSP International Fashion Group SpA,Consumer Staples,CSP.MI,EQ,
Misitano and Stracuzzi S.p.A.,Consumer Staples,MS.MI,EQ,
High Quality Food SpA,Consumer Staples,HQF.MI,EQ,
Monnalisa SpA,Consumer Staples,MNL.MI,EQ,
