Company Name,Industry,Symbol,Series,ISIN Code
Recordati S.p.A.,Health Care,REC.MI,EQ,
DiaSorin S.p.A.,Health Care,DIA.MI,EQ,
El.En. S.p.A.,Health Care,ELN.MI,EQ,
PharmaNutra S.p.A.,Health Care,PHN.MI,EQ,
Safilo Group S.p.A.,Health Care,SFL.MI,EQ,
Philogen SpA,Health Care,PHIL.MI,EQ,
Garofalo Health Care S.P.A.,Health Care,GHC.MI,EQ,
Fine Foods & Pharmaceuticals N.T.M. SpA,Health Care,FF.MI,EQ,
Enervit S.p.A.,Health Care,ENV.MI,EQ,
Svas Biosana S.p.A.,Health Care,SVS.MI,EQ,
I.M.D. International Medical Devices S.P.A.,Health Care,IMD.MI,EQ,
Helyx Industries S.p.A.,Health Care,HLX.MI,EQ,
Arterra Bioscience SpA,Health Care,ARBS.MI,EQ,
Eukedos SpA,Health Care,EUK.MI,EQ,
Ivision Tech S.P.A.,Health Care,IVN.MI,EQ,
Laboratorio Farmaceutico Erfo SpA,Health Care,ERFO.MI,EQ,
International Care Company S.p.A,Health Care,ICC.MI,EQ,
Predict S.P.A. Class B,Health Care,PRE.MI,EQ,
Otofarma S.P.A.,Health Care,OTO.MI,EQ,
