Company Name,Industry,Symbol,Series,ISIN Code
Prysmian S.p.A.,Industrials,PRY.MI,EQ,
Poste Italiane SpA,Industrials,PST.MI,EQ,
Saipem S.p.A.,Industrials,SPM.MI,EQ,
Brembo N.V.,Industrials,BRE.MI,EQ,
MAIRE S.p.A.,Industrials,MAIRE.MI,EQ,
Danieli & C.Officine Meccaniche SPA Az. di risp. Non Conv.,Industrials,DANR.MI,EQ,
Danieli & C. Officine Meccaniche S.p.A.,Industrials,DAN.MI,EQ,
Nexi S.p.A.,Industrials,NEXI.MI,EQ,
Fincantieri S.p.A.,Industrials,FCT.MI,EQ,
Reply S.p.A.,Industrials,REY.MI,EQ,
Interpump Group S.p.A.,Industrials,IP.MI,EQ,
Carel Industries SpA,Industrials,CRL.MI,EQ,
Amplifon SpA,Industrials,AMP.MI,EQ,
ENAV S.p.A.,Industrials,ENAV.MI,EQ,
Webuild SpA Az. di risp. Non conv.,Industrials,WBDR.MI,EQ,
Webuild SpA,Industrials,WBD.MI,EQ,
SeSa S.p.A.,Industrials,SES.MI,EQ,
LU-VE S.p.A.,Industrials,LUVE.MI,EQ,
Comer Industries SpA,Industrials,COM.MI,EQ,
Moltiply Group S.p.A.,Industrials,MOL.MI,EQ,
Ariston Holding NV,Industrials,ARIS.MI,EQ,
Rosetti Marino S.p.A.,Industrials,YRM.MI,EQ,
I.CO.P. S.p.A.,Industrials,ICOP.MI,EQ,
d'Amico International Shipping S.A.,Industrials,DIS.MI,EQ,
Next Geosolutions Europe SpA,Industrials,NXT.MI,EQ,
CIR S.p.A. - Compagnie Industriali Riunite,Industrials,CIR.MI,EQ,
SBE-Varvit S.p.A. Class A,Industrials,VARV.MI,EQ,
Fiera Milano SpA,Industrials,FM.MI,EQ,
MARR SpA,Industrials,MARR.MI,EQ,
F.I.L.A. - Fabbrica Italiana Lapis ed Affini S.p.A.,Industrials,FILA.MI,EQ,
GPI SpA,Industrials,GPI.MI,EQ,
Italian Exhibition Group SpA,Industrials,IEG.MI,EQ,
Reway Group SpA,Industrials,RWY.MI,EQ,
Toscana Aeroporti S.p.A.,Industrials,TYA.MI,EQ,
Esprinet S.p.A.,Industrials,PRT.MI,EQ,
Aeroporto Guglielmo Marconi di Bologna S.p.A.,Industrials,ADB.MI,EQ,
BasicNet S.p.A.,Industrials,BAN.MI,EQ,
Orsero SpA,Industrials,ORS.MI,EQ,
Sogefi S.p.A.,Industrials,SGF.MI,EQ,
Fiere Internazionali Di Bologna S.P.A.,Industrials,BF.MI,EQ,
FNM S.p.A.,Industrials,FNM.MI,EQ,
EuroGroup Laminations S.p.A,Industrials,EGLA.MI,EQ,
A.B.P. Nocivelli S.p.A.,Industrials,ABP.MI,EQ,
Adventure SpA,Industrials,ADV.MI,EQ,
Tesmec S.p.A.,Industrials,TES.MI,EQ,
Biesse S.p.A.,Industrials,BSS.MI,EQ,
Racing Force SpA,Industrials,RFG.MI,EQ,
Redelfi S.p.A.,Industrials,RDF.MI,EQ,
Altea Green Power S.p.A.,Industrials,AGP.MI,EQ,
Recupero Etico Sostenibile S.p.A,Industrials,RES.MI,EQ,
Novamarine S.P.A.,Industrials,NOVA.MI,EQ,
Indel B S.p.A.,Industrials,INDB.MI,EQ,
Lindbergh S.p.A.,Industrials,LDB.MI,EQ,
Star7 S.p.A,Industrials,STAR7.MI,EQ,
Trevi Finanziaria Industriale S.p.A.,Industrials,TFIN.MI,EQ,
OMER S.p.a.,Industrials,OMER.MI,EQ,
ILPRA SpA,Industrials,ILP.MI,EQ,
PLC S.p.A.,Industrials,PLC.MI,EQ,
Haiki+ S.P.A.,Industrials,HIK.MI,EQ,
ESPE S.p.A.,Industrials,ESPE.MI,EQ,
E-novia S.P.A.,Industrials,E9IA.MI,EQ,
Erredue S.P.A.,Industrials,RDUE.MI,EQ,
Casta Diva Group S.p.A.,Industrials,CDG.MI,EQ,
Circle SpA,Industrials,CIRC.MI,EQ,
IRCE S.p.A.,Industrials,IRC.MI,EQ,
TPS S.p.A.,Industrials,TPS.MI,EQ,
Franchetti S.P.A.,Industrials,FCH.MI,EQ,
SIT S.p.A.,Industrials,SIT.MI,EQ,
Valtecne S.p.A.,Industrials,VLT.MI,EQ,
DBA Group SpA,Industrials,DBA.MI,EQ,
Ubaldi Costruzioni SpA,Industrials,UBA.MI,EQ,
Promotica S.P.A.,Industrials,PMT.MI,EQ,
H-Farm SpA,Industrials,FARM.MI,EQ,
