Company Name,Industry,Symbol,Series,ISIN Code
Tenaris S.A.,Materials,TEN.MI,EQ,
Buzzi Spa,Materials,BZU.MI,EQ,
SOL S.p.A.,Materials,SOL.MI,EQ,
Cementir Holding N.V.,Materials,CEM.MI,EQ,
Industrie De Nora SpA,Materials,DNR.MI,EQ,
B.F. S.p.A.,Materials,BFG.MI,EQ,
Caltagirone S.p.A.,Materials,CALT.MI,EQ,
Zignago Vetro SpA,Materials,ZV.MI,EQ,
KME Group S.p.A. Azioni di risp nominativa,Materials,KMER.MI,EQ,
KME Group S.p.A.,Materials,KME.MI,EQ,
Franchi Umberto Marmi SpA,Materials,FUM.MI,EQ,
Aquafil SpA,Materials,ECNL.MI,EQ,
MAGIS S.p.A.,Materials,MGS.MI,EQ,
Neodecortech SpA,Materials,NDT.MI,EQ,
Industrie Chimiche Forestali SpA,Materials,ICF.MI,EQ,
Green Oleo S.P.A.,Materials,GRN.MI,EQ,
G.M. Leather S.P.A.,Materials,GML.MI,EQ,
Saccheria F.Lli Franceschetti - S.P.A.,Materials,SAC.MI,EQ,
Grifal SpA,Materials,GRAL.MI,EQ,
Vinext S.P.A.,Materials,VNXT.MI,EQ,
