Company Name,Industry,Symbol,Series,ISIN Code
STMicroelectronics NV,Technology,STMMI.MI,EQ,
Leonardo SpA,Technology,LDO.MI,EQ,
Technoprobe SpA,Technology,TPRO.MI,EQ,
Avio SpA,Technology,AVIO.MI,EQ,
Cembre S.p.A.,Technology,CMB.MI,EQ,
WIIT SpA,Technology,WIIT.MI,EQ,
Officina Stellare S.p.A.,Technology,OS.MI,EQ,
GVS S.p.A,Technology,GVS.MI,EQ,
Tinexta SpA,Technology,TNXT.MI,EQ,
TXT e-solutions S.p.A.,Technology,TXT.MI,EQ,
SECO S.p.A.,Technology,IOT.MI,EQ,
Datalogic S.p.A.,Technology,DAL.MI,EQ,
Powersoft S.p.A.,Technology,PWS.MI,EQ,
CY4Gate SpA,Technology,CY4.MI,EQ,
Expert.ai S.p.A.,Technology,EXAI.MI,EQ,
Sys-dat S.P.A.,Technology,SYS.MI,EQ,
Digital Bros S.p.A.,Technology,DIB.MI,EQ,
Gefran S.p.A.,Technology,GE.MI,EQ,
DHH S.p.A,Technology,DHH.MI,EQ,
Eurotech S.p.A.,Technology,ETH.MI,EQ,
Mare Engineering Group SpA,Technology,MARE.MI,EQ,
Fae Technology S.P.A,Technology,FAE.MI,EQ,
Matica Fintec S.p.A.,Technology,MFT.MI,EQ,
Cyberoo S.p.A.,Technology,CYB.MI,EQ,
Doxee S.p.A.,Technology,DOX.MI,EQ,
Energy SpA,Technology,ENY.MI,EQ,
Tecno S.p.A. Societa Benefit,Technology,TCG.MI,EQ,
Creactives Group S.p.A.,Technology,CREG.MI,EQ,
Homizy S.p.A.,Technology,HZY.MI,EQ,
Olidata S.p.A.,Technology,OLI.MI,EQ,
Metriks AI S.P.A. Societa' Benefit,Technology,MTK.MI,EQ,
Maps S.p.A.,Technology,MAPS.MI,EQ,
COM.TEL SPA,Technology,CMTL.MI,EQ,
Datrix S.p.A.,Technology,DATA.MI,EQ,
Growens S.p.A.,Technology,GROW.MI,EQ,
Siav S.p.A.,Technology,SIAV.MI,EQ,
Reti SpA,Technology,RETI.MI,EQ,
Porto Aviation Group S.P.A.,Technology,PAG.MI,EQ,
Neurosoft S.A.,Technology,NRST.MI,EQ,
EdgeLab S.p.A.,Technology,ELB.MI,EQ,
Tecma Solutions SpA,Technology,TCM.MI,EQ,
Vantea Smart S.p.A.,Technology,VNT.MI,EQ,
Meglioquesto S.P.A.,Technology,MQSPA.MI,EQ,
Itway S.p.A.,Technology,ITW.MI,EQ,
Softlab S.p.A.,Technology,SFT.MI,EQ,
Yakkyo S.P.A.,Technology,YKY.MI,EQ,
Triboo SpA,Technology,TB.MI,EQ,
Aatech S.P.A. Societa' Benefit,Technology,AAT.MI,EQ,
Neosperience SpA,Technology,NSP.MI,EQ,
Rocket Sharing Company S.p.A.,Technology,RKT.MI,EQ,
Impianti S.P.A,Technology,MPT.MI,EQ,
Cleanbnb S.P.A.,Technology,CBB.MI,EQ,
UCapital24 SpA Class A,Technology,U24.MI,EQ,
SosTravel.com S.p.A.,Technology,SOS.MI,EQ,
Cloudia Research S.p.A.,Technology,AGAIN.MI,EQ,
Finanza.tech S.p.A.,Technology,FTC.MI,EQ,
Alfonsino SpA,Technology,ALFO.MI,EQ,
Crowdfundme SpA,Technology,CFM.MI,EQ,
Ops Italia S.p.A,Technology,OPS.MI,EQ,
Ops eCom S.p.A.,Technology,OEC.MI,EQ,
gAIn360 SpA,Technology,GAIN.MI,EQ,
Techno Electrical Management Equipment Solutions SpA,Technology,TLM.MI,EQ,
