Company Name,Industry,Symbol,Series,ISIN Code
Enel SpA,Utilities,ENEL.MI,EQ,
Snam S.p.A.,Utilities,SRG.MI,EQ,
Terna S.p.A.,Utilities,TRN.MI,EQ,
Italgas SpA,Utilities,IG.MI,EQ,
Edison SpA,Utilities,EDNR.MI,EQ,
A2A S.p.A.,Utilities,A2A.MI,EQ,
Hera S.p.A.,Utilities,HER.MI,EQ,
Acea S.p.A.,Utilities,ACE.MI,EQ,
ERG S.p.A.,Utilities,ERG.MI,EQ,
Iren S.p.A.,Utilities,IRE.MI,EQ,
Alerion Clean Power S.p.A.,Utilities,ARN.MI,EQ,
Ascopiave S.p.A.,Utilities,ASC.MI,EQ,
Acinque S.p.A.,Utilities,AC5.MI,EQ,
eVISO SpA,Utilities,EVISO.MI,EQ,
Seri Industrial S.p.A.,Utilities,SERI.MI,EQ,
Distribuzione Elettrica Adriatica S.p.A.,Utilities,DEA.MI,EQ,
Iniziative Bresciane S.p.A.,Utilities,IB.MI,EQ,
Ecosuntek S.p.A.,Utilities,ECK.MI,EQ,
Energy Time S.P.A.,Utilities,ET.MI,EQ,
Frendy Energy SpA,Utilities,FRE.MI,EQ,
ESI S.p.A.,Utilities,ESIGM.MI,EQ,
