Company Name,Industry,Symbol,Series,ISIN Code
Kioxia Holdings Corporation,Technology,285A.T,EQ,
SoftBank Group Corp.,Communication Services,9984.T,EQ,
Mitsubishi UFJ Financial Group Inc.,Financials,8306.T,EQ,
Toyota Motor Corp.,Consumer Discretionary,7203.T,EQ,
Tokyo Electron Ltd.,Industrials,8035.T,EQ,
FAST RETAILING CO. LTD.,Consumer Discretionary,9983.T,EQ,
Hitachi Ltd.,Industrials,6501.T,EQ,
Sumitomo Mitsui Financial Group Inc.,Financials,8316.T,EQ,
Sony Group Corporation,Technology,6758.T,EQ,
Keyence Corporation,Technology,6861.T,EQ,
Mizuho Financial Group Inc.,Financials,8411.T,EQ,
Advantest Corp.,Technology,6857.T,EQ,
Murata Manufacturing Co. Ltd.,Technology,6981.T,EQ,
Mitsubishi Corporation,Industrials,8058.T,EQ,
Itochu Corporation,Industrials,8001.T,EQ,
Shin-Etsu Chemical Co Ltd,Materials,4063.T,EQ,
Recruit Holdings Co. Ltd.,Technology,6098.T,EQ,
Mitsui & Co. Ltd,Materials,8031.T,EQ,
Tokio Marine Holdings Inc.,Financials,8766.T,EQ,
Mitsubishi Heavy Industries Ltd.,Industrials,7011.T,EQ,
Mitsubishi Electric Corp.,Industrials,6503.T,EQ,
NTT Inc,Communication Services,9432.T,EQ,
Chugai Pharmaceutical Co. Ltd.,Health Care,4519.T,EQ,
Japan Post Bank Co. Ltd.,Financials,7182.T,EQ,
Japan Tobacco Inc.,Consumer Staples,2914.T,EQ,
Sumitomo Electric Industries Ltd.,Industrials,5802.T,EQ,
SoftBank Corp.,Communication Services,9434.T,EQ,
KDDI Corporation,Communication Services,9433.T,EQ,
HOYA CORPORATION,Health Care,7741.T,EQ,
Panasonic Holdings Corporation,Consumer Discretionary,6752.T,EQ,
Nintendo Co. Ltd.,Consumer Discretionary,7974.T,EQ,
Marubeni Corporation,Materials,8002.T,EQ,
Fujikura Ltd,Industrials,5803.T,EQ,
Sumitomo Corporation,Industrials,8053.T,EQ,
Renesas Electronics Corporation,Technology,6723.T,EQ,
Disco Corporation,Industrials,6146.T,EQ,
