Company Name,Industry,Symbol,Series,ISIN Code
SoftBank Group Corp.,Communication Services,9984.T,EQ,JP3436100006
Nippon Telegraph and Telephone Corporation,Communication Services,9432.T,EQ,JP3735400008
SoftBank Corp.,Communication Services,9434.T,EQ,JP3732000009
KDDI Corporation,Communication Services,9433.T,EQ,JP3496400007
Dentsu Group Inc.,Communication Services,4324.T,EQ,JP3551520004
Nippon Television Holdings Inc.,Communication Services,9404.T,EQ,JP3732200005
CyberAgent Inc.,Communication Services,4751.T,EQ,JP3311400000
Fuji Media Holdings Inc.,Communication Services,4676.T,EQ,JP3819400007
Internet Initiative Japan Inc.,Communication Services,3774.T,EQ,JP3152820001
Hakuhodo DY Holdings Inc.,Communication Services,2433.T,EQ,JP3766550002
Okinawa Cellular Telephone Company,Communication Services,9436.T,EQ,JP3194650002
U-NEXT HOLDINGS Co.Ltd.,Communication Services,9418.T,EQ,JP3944640006
Vision  Inc. ( Japan),Communication Services,9416.T,EQ,JP3800330007
IPS  Inc.,Communication Services,4390.T,EQ,JP3104910009
Japan Communications Inc.,Communication Services,9424.T,EQ,JP3729600001
ASAHI Net  Inc.,Communication Services,3834.T,EQ,JP3115800009
Fibergate  Inc.,Communication Services,9450.T,EQ,JP3802380000
BENEFIT JAPAN Co. LTD.,Communication Services,3934.T,EQ,JP3835680004
Forval Telecom  Inc.,Communication Services,9445.T,EQ,JP3802760003
BROAD ENTERPRISE CO. LTD.,Communication Services,4415.T,EQ,JP3831520006
Kandatsushinki Ltd.,Communication Services,1992.T,EQ,JP3230000006
DM Solutions Co. Ltd,Communication Services,6549.T,EQ,JP3548790009
Accrete  Inc.,Communication Services,4395.T,EQ,JP3108180005
Techfirm Holdings  Inc.,Communication Services,3625.T,EQ,JP3545400008
AI CROSS Inc,Communication Services,4476.T,EQ,JP3160030007
WirelessGate  Inc.,Communication Services,9419.T,EQ,JP3990740007
Inbound Platform Corp.,Communication Services,5587.T,EQ,JP3153350008
Geolocation Technology  Inc.,Communication Services,4018.T,EQ,JP3386740009
