Company Name,Industry,Symbol,Series,ISIN Code
Toyota Motor Corporation,Consumer Discretionary,7203.T,EQ,JP3633400001
Fast Retailing Co. Ltd.,Consumer Discretionary,9983.T,EQ,JP3802300008
Sony Group Corporation,Consumer Discretionary,6758.T,EQ,JP3435000009
Panasonic Holdings Corporation,Consumer Discretionary,6752.T,EQ,JP3866800000
Nintendo Co. Ltd.,Consumer Discretionary,7974.T,EQ,JP3756600007
Honda Motor Co. Ltd.,Consumer Discretionary,7267.T,EQ,JP3854600008
Denso Corporation,Consumer Discretionary,6902.T,EQ,JP3551500006
Bridgestone Corporation,Consumer Discretionary,5108.T,EQ,JP3830800003
Oriental Land Co. Ltd.,Consumer Discretionary,4661.T,EQ,JP3198900007
Suzuki Motor Corporation,Consumer Discretionary,7269.T,EQ,JP3397200001
Daiwa House Industry Co. Ltd.,Consumer Discretionary,1925.T,EQ,JP3505000004
Pan Pacific International Holdings Corporation,Consumer Discretionary,7532.T,EQ,JP3639650005
Bandai Namco Holdings Inc.,Consumer Discretionary,7832.T,EQ,JP3778630008
Subaru Corporation,Consumer Discretionary,7270.T,EQ,JP3814800003
Aisin Corporation,Consumer Discretionary,7259.T,EQ,JP3102000001
Rakuten Group Inc.,Consumer Discretionary,4755.T,EQ,JP3967200001
Nitori Holdings Co. Ltd.,Consumer Discretionary,9843.T,EQ,JP3756100008
Isuzu Motors Ltd.,Consumer Discretionary,7202.T,EQ,JP3137200006
Shimano Inc.,Consumer Discretionary,7309.T,EQ,JP3358000002
Isetan Mitsukoshi Holdings Ltd.,Consumer Discretionary,3099.T,EQ,JP3894900004
Zensho Holdings Co. Ltd,Consumer Discretionary,7550.T,EQ,JP3429300001
Nissan Motor Co. Ltd.,Consumer Discretionary,7201.T,EQ,JP3672400003
FOOD & LIFE COMPANIES LTD.,Consumer Discretionary,3563.T,EQ,JP3397150008
Yamaha Motor Co. Ltd.,Consumer Discretionary,7272.T,EQ,JP3942800008
The Yokohama Rubber Co. Ltd.,Consumer Discretionary,5101.T,EQ,JP3955800002
Toho Co. Ltd.,Consumer Discretionary,9602.T,EQ,JP3598600009
Sanrio Co. Ltd.,Consumer Discretionary,8136.T,EQ,JP3343200006
McDonald's Holdings Company (Japan)  Ltd.,Consumer Discretionary,2702.T,EQ,JP3750500005
SKY Perfect JSAT Corporation,Consumer Discretionary,9412.T,EQ,JP3396350005
ZOZO Inc.,Consumer Discretionary,3092.T,EQ,JP3399310006
MatsukiyoCocokara & Co.,Consumer Discretionary,3088.T,EQ,JP3869010003
TBS HOLDINGS INC.,Consumer Discretionary,9401.T,EQ,JP3588600001
USS Co. Ltd,Consumer Discretionary,4732.T,EQ,JP3944130008
Sumitomo Forestry Co.  Ltd.,Consumer Discretionary,1911.T,EQ,JP3409800004
Seibu Holdings  Inc.,Consumer Discretionary,9024.T,EQ,JP3417200007
SHIMAMURA Co.  Ltd.,Consumer Discretionary,8227.T,EQ,JP3358200008
Mazda Motor Corporation,Consumer Discretionary,7261.T,EQ,JP3868400007
Kakaku.com  Inc.,Consumer Discretionary,2371.T,EQ,JP3206000006
J. Front Retailing Co. Ltd.,Consumer Discretionary,3086.T,EQ,JP3386380004
Takashimaya Co. Ltd.,Consumer Discretionary,8233.T,EQ,JP3456000003
Skylark Holdings Co.  Ltd.,Consumer Discretionary,3197.T,EQ,JP3396210001
Mercari Inc.,Consumer Discretionary,4385.T,EQ,JP3921290007
Kobe Bussan Co.  Ltd.,Consumer Discretionary,3038.T,EQ,JP3291200008
Iida Group Holdings Co.  Ltd.,Consumer Discretionary,3291.T,EQ,JP3131090007
SEIKO GROUP CORPORATION,Consumer Discretionary,8050.T,EQ,JP3414700009
Toyo Tire Corporation,Consumer Discretionary,5105.T,EQ,JP3610600003
Yamada Holding Co.  Ltd.,Consumer Discretionary,9831.T,EQ,JP3939000000
Sumitomo Rubber Industries  Ltd.,Consumer Discretionary,5110.T,EQ,JP3404200002
Toei Animation Co.  Ltd.,Consumer Discretionary,4816.T,EQ,JP3560200002
Yamaha Corporation,Consumer Discretionary,7951.T,EQ,JP3942600002
Rinnai Corporation,Consumer Discretionary,5947.T,EQ,JP3977400005
COSMOS Pharmaceutical Corporation,Consumer Discretionary,3349.T,EQ,JP3298400007
Mitsubishi Motors Corporation,Consumer Discretionary,7211.T,EQ,JP3899800001
Kadokawa Corporation,Consumer Discretionary,9468.T,EQ,JP3214350005
Sundrug Co.  Ltd.,Consumer Discretionary,9989.T,EQ,JP3336600006
Nojima Co. Ltd.,Consumer Discretionary,7419.T,EQ,JP3761600000
Toei Company  Ltd.,Consumer Discretionary,9605.T,EQ,JP3560000006
Resorttrust  Inc.,Consumer Discretionary,4681.T,EQ,JP3974450003
BLUE ZONES HOLDINGS CO. LTD.,Consumer Discretionary,417A.T,EQ,JP3831110006
KUSURI NO AOKI HOLDINGS CO. LTD.,Consumer Discretionary,3549.T,EQ,JP3266190002
TRIAL Holdings.Inc.,Consumer Discretionary,141A.T,EQ,JP3635490000
TORIDOLL Holdings Corporation,Consumer Discretionary,3397.T,EQ,JP3636650008
TV Asahi Holdings Corporation,Consumer Discretionary,9409.T,EQ,JP3429000007
H2O Retailing Corporation,Consumer Discretionary,8242.T,EQ,JP3774600005
Park24 Co.  Ltd.,Consumer Discretionary,4666.T,EQ,JP3780100008
K'S HOLDINGS CORPORATION,Consumer Discretionary,8282.T,EQ,JP3277150003
create restaurants holdings inc.,Consumer Discretionary,3387.T,EQ,JP3269930008
ROUND ONE Corporation,Consumer Discretionary,4680.T,EQ,JP3966800009
MTG Co.  Ltd.,Consumer Discretionary,7806.T,EQ,JP3167430002
Nextage Co.  Ltd.,Consumer Discretionary,3186.T,EQ,JP3758210003
Seria Co.  Ltd.,Consumer Discretionary,2782.T,EQ,JP3423520000
Edion Corporation,Consumer Discretionary,2730.T,EQ,JP3164470001
Tomy Company  Ltd.,Consumer Discretionary,7867.T,EQ,JP3630550006
Saizeriya Co.  Ltd.,Consumer Discretionary,7581.T,EQ,JP3310500008
PAL GROUP Holdings Co.  Ltd.,Consumer Discretionary,2726.T,EQ,JP3781650001
KATITAS CO. LTD.,Consumer Discretionary,8919.T,EQ,JP3932950003
Kyoritsu Maintenance Co.  Ltd.,Consumer Discretionary,9616.T,EQ,JP3253900009
Life Corporation,Consumer Discretionary,8194.T,EQ,JP3966600003
ITOCHU ENEX CO.  LTD.,Consumer Discretionary,8133.T,EQ,JP3144000001
Nishimatsu Construction Co.  Ltd.,Consumer Discretionary,1820.T,EQ,JP3659200004
TS Tech Co.  Ltd.,Consumer Discretionary,7313.T,EQ,JP3539230007
Okumura Corporation,Consumer Discretionary,1833.T,EQ,JP3194800003
Create SD Holdings Co.  Ltd.,Consumer Discretionary,3148.T,EQ,JP3269940007
Heiwa Corporation,Consumer Discretionary,6412.T,EQ,JP3834200002
DCM Holdings Co.  Ltd.,Consumer Discretionary,3050.T,EQ,JP3548660004
Izumi Co.  Ltd.,Consumer Discretionary,8273.T,EQ,JP3138400001
Yoshinoya Holdings Co.  Ltd.,Consumer Discretionary,9861.T,EQ,JP3958000006
SAN-A CO.  LTD.,Consumer Discretionary,2659.T,EQ,JP3324500002
Yonex Co.  Ltd.,Consumer Discretionary,7906.T,EQ,JP3960000002
Ain Holdings Inc.,Consumer Discretionary,9627.T,EQ,JP3105250009
Valor Holdings Co.  Ltd.,Consumer Discretionary,9956.T,EQ,JP3778400006
Colowide Co.  Ltd.,Consumer Discretionary,7616.T,EQ,JP3305970000
Arcs Company  Limited,Consumer Discretionary,9948.T,EQ,JP3968600001
Monogatari Corporation,Consumer Discretionary,3097.T,EQ,JP3922930007
KOMERI CO.  LTD.,Consumer Discretionary,8218.T,EQ,JP3305600003
United Super Markets Holdings  Inc.,Consumer Discretionary,3222.T,EQ,JP3949450005
Fuji Co.  Ltd.,Consumer Discretionary,8278.T,EQ,JP3807400001
Tamron Co.  Ltd.,Consumer Discretionary,7740.T,EQ,JP3471800007
Ohsho Food Service Corp.,Consumer Discretionary,9936.T,EQ,JP3174300008
JVC Kenwood Corporation,Consumer Discretionary,6632.T,EQ,JP3386410009
AND ST HD Co.Ltd.,Consumer Discretionary,2685.T,EQ,JP3856000009
Ichibanya Co.  Ltd.,Consumer Discretionary,7630.T,EQ,JP3142150006
Shochiku Co.  Ltd.,Consumer Discretionary,9601.T,EQ,JP3362800009
Mitsubishi Pencil Company  Limited,Consumer Discretionary,7976.T,EQ,JP3895600009
AOKI Holdings  Inc.,Consumer Discretionary,8214.T,EQ,JP3105400000
BELC Co.  Ltd.,Consumer Discretionary,9974.T,EQ,JP3835700000
Joyful Honda Co. Ltd.,Consumer Discretionary,3191.T,EQ,JP3392920009
Aucnet  Inc.,Consumer Discretionary,3964.T,EQ,JP3172060000
IDOM Inc.,Consumer Discretionary,7599.T,EQ,JP3235700006
Kohnan Shoji Co.  Ltd.,Consumer Discretionary,7516.T,EQ,JP3283750002
ATOM Corporation,Consumer Discretionary,7412.T,EQ,JP3121900009
Tokyotokeiba Co.  Ltd.,Consumer Discretionary,9672.T,EQ,JP3586600003
Kura Sushi  Inc.,Consumer Discretionary,2695.T,EQ,JP3268200007
Fuji Kyuko Co.  Ltd.,Consumer Discretionary,9010.T,EQ,JP3810400006
Nissan Shatai Co.  Ltd.,Consumer Discretionary,7222.T,EQ,JP3672000001
KOMEDA Holdings Co.  Ltd.,Consumer Discretionary,3543.T,EQ,JP3305580007
Happinet Corporation,Consumer Discretionary,7552.T,EQ,JP3770300006
Royal Holdings Co.  Ltd.,Consumer Discretionary,8179.T,EQ,JP3983600002
Yokowo Co.  Ltd.,Consumer Discretionary,6800.T,EQ,JP3954200006
Tokyu Construction Co.  Ltd.,Consumer Discretionary,1720.T,EQ,JP3567410000
Nishimatsuya Chain Co.  Ltd.,Consumer Discretionary,7545.T,EQ,JP3659300002
Imperial Hotel Ltd,Consumer Discretionary,9708.T,EQ,JP3542800002
ARCLANDS CORPORATION,Consumer Discretionary,9842.T,EQ,JP3100100001
Doutor Nichires Holdings Co.  Ltd.,Consumer Discretionary,3087.T,EQ,JP3639100001
Aeon Hokkaido Corporation,Consumer Discretionary,7512.T,EQ,JP3860270002
HEIWADO CO.  LTD.,Consumer Discretionary,8276.T,EQ,JP3834400008
MOS FOOD SERVICES  INC.,Consumer Discretionary,8153.T,EQ,JP3922400001
Roland Corporation,Consumer Discretionary,7944.T,EQ,JP3983400007
GENDA Inc.,Consumer Discretionary,9166.T,EQ,JP3386890002
Kojima Co.  Ltd.,Consumer Discretionary,7513.T,EQ,JP3297380002
Fujita Kanko Inc.,Consumer Discretionary,9722.T,EQ,JP3816800001
Morita Holdings Corporation,Consumer Discretionary,6455.T,EQ,JP3925600003
ASKUL Corporation,Consumer Discretionary,2678.T,EQ,JP3119920001
Takamatsu Construction Group Co.  Ltd.,Consumer Discretionary,1762.T,EQ,JP3457900003
AOYAMA TRADING Co.  Ltd.,Consumer Discretionary,8219.T,EQ,JP3106200003
Maxvalu Tokai Co.  Ltd.,Consumer Discretionary,8198.T,EQ,JP3930400001
Genky DrugStores Co.  Ltd.,Consumer Discretionary,9267.T,EQ,JP3282750003
Axial Retailing  Inc.,Consumer Discretionary,8255.T,EQ,JP3772400002
Doshisha Co.  Ltd.,Consumer Discretionary,7483.T,EQ,JP3638000004
Joshin Corporation,Consumer Discretionary,8173.T,EQ,JP3393000009
TV Tokyo Holdings Corporation,Consumer Discretionary,9413.T,EQ,JP3547060008
Hiday Hidaka Corp.,Consumer Discretionary,7611.T,EQ,JP3765180009
AEON Kyushu Co.  Ltd.,Consumer Discretionary,2653.T,EQ,JP3245400001
Matsuya Foods Holdings Co.  Ltd.,Consumer Discretionary,9887.T,EQ,JP3869800007
Zojirushi Corporation,Consumer Discretionary,7965.T,EQ,JP3437400009
