Company Name,Industry,Symbol,Series,ISIN Code
Japan Tobacco Inc.,Consumer Staples,2914.T,EQ,JP3726800000
Seven & i Holdings Co. Ltd.,Consumer Staples,3382.T,EQ,JP3422950000
Ajinomoto Co. Inc.,Consumer Staples,2802.T,EQ,JP3119600009
Aeon Co. Ltd.,Consumer Staples,8267.T,EQ,JP3388200002
Asics Corporation,Consumer Staples,7936.T,EQ,JP3118000003
Kao Corporation,Consumer Staples,4452.T,EQ,JP3205800000
Asahi Group Holdings Ltd.,Consumer Staples,2502.T,EQ,JP3116000005
Kirin Holdings Co. Ltd.,Consumer Staples,2503.T,EQ,JP3258000003
Ryohin Keikaku Co. Ltd.,Consumer Staples,7453.T,EQ,JP3976300008
Unicharm Corporation,Consumer Staples,8113.T,EQ,JP3951600000
Kikkoman Corporation,Consumer Staples,2801.T,EQ,JP3240400006
Suntory Beverage & Food Ltd.,Consumer Staples,2587.T,EQ,JP3336560002
Shiseido Co. Ltd.,Consumer Staples,4911.T,EQ,JP3351600006
Meiji Holdings Co. Ltd.,Consumer Staples,2269.T,EQ,JP3918000005
Toyo Suisan Kaisha  Ltd.,Consumer Staples,2875.T,EQ,JP3613000003
Tsuruha Holdings Inc.,Consumer Staples,3391.T,EQ,JP3536150000
Nissin Foods Holdings Co. Ltd.,Consumer Staples,2897.T,EQ,JP3675600005
Yakult Honsha Co. Ltd,Consumer Staples,2267.T,EQ,JP3931600005
ABC-MART  INC.,Consumer Staples,2670.T,EQ,JP3152740001
Sapporo Holdings Ltd.,Consumer Staples,2501.T,EQ,JP3320800000
Yamazaki Baking Co.  Ltd.,Consumer Staples,2212.T,EQ,JP3935600001
Coca-Cola Bottlers Japan Holdings Inc.,Consumer Staples,2579.T,EQ,JP3293200006
Kewpie Corporation,Consumer Staples,2809.T,EQ,JP3244800003
NH Foods Ltd.,Consumer Staples,2282.T,EQ,JP3743000006
Sugi Holdings Co. Ltd,Consumer Staples,7649.T,EQ,JP3397060009
Nisshin Seifun Group Inc.,Consumer Staples,2002.T,EQ,JP3676800000
Rohto Pharmaceutical Co. Ltd,Consumer Staples,4527.T,EQ,JP3982400008
Lion Corporation,Consumer Staples,4912.T,EQ,JP3965400009
Morinaga Milk Industry Co.  Ltd.,Consumer Staples,2264.T,EQ,JP3926800008
TAKARA HOLDINGS INC.,Consumer Staples,2531.T,EQ,JP3459600007
Kobayashi Pharmaceutical Co.  Ltd.,Consumer Staples,4967.T,EQ,JP3301100008
Nissui Corporation,Consumer Staples,1332.T,EQ,JP3718800000
CALBEE  Inc.,Consumer Staples,2229.T,EQ,JP3220580009
Kotobuki Spirits Co.  Ltd.,Consumer Staples,2222.T,EQ,JP3299600001
Ezaki Glico Co.  Ltd.,Consumer Staples,2206.T,EQ,JP3161200005
House Foods Group Inc.,Consumer Staples,2810.T,EQ,JP3765400001
Goldwin Inc.,Consumer Staples,8111.T,EQ,JP3306600002
KOSE Holdings Corporation,Consumer Staples,4922.T,EQ,JP3283650004
ITO EN Ltd.,Consumer Staples,2593.T,EQ,JP3143000002
ITO EN Ltd. Preferred Class 1,Consumer Staples,25935.T,EQ,JP3143000101
Suzuken Co. Ltd,Consumer Staples,9987.T,EQ,JP3398000004
Pola Orbis Holdings Inc.,Consumer Staples,4927.T,EQ,JP3855900001
Mizuno Corporation,Consumer Staples,8022.T,EQ,JP3905200006
Itoham Yonekyu Holdings  Inc.,Consumer Staples,2296.T,EQ,JP3144500000
WACOAL HOLDINGS CORP,Consumer Staples,3591.T,EQ,JP3992400006
Pigeon Corporation,Consumer Staples,7956.T,EQ,JP3801600002
NIPPN Corporation,Consumer Staples,2001.T,EQ,JP3723000000
Kagome Co.  Ltd.,Consumer Staples,2811.T,EQ,JP3208200000
MEGMILK SNOW BRAND Co.  Ltd.,Consumer Staples,2270.T,EQ,JP3947800003
Morinaga & Co.  Ltd.,Consumer Staples,2201.T,EQ,JP3926400007
Umios Corporation,Consumer Staples,1333.T,EQ,JP3876600002
Nisshin OilliO Group  Ltd.,Consumer Staples,2602.T,EQ,JP3677200002
ARIAKE JAPAN Co.  Ltd.,Consumer Staples,2815.T,EQ,JP3125800007
Noevir Holdings Co.  Ltd.,Consumer Staples,4928.T,EQ,JP3760450001
S&B Foods Inc.,Consumer Staples,2805.T,EQ,JP3163600004
T. Hasegawa Co.  Ltd.,Consumer Staples,4958.T,EQ,JP3768500005
Prima Meat Packers Ltd.,Consumer Staples,2281.T,EQ,JP3833200003
WORLD CO. LTD.,Consumer Staples,3612.T,EQ,JP3990210001
Takasago International Corporation,Consumer Staples,4914.T,EQ,JP3454400007
Premium Water Holdings  Inc.,Consumer Staples,2588.T,EQ,JP3155450004
Onward Holdings Co.  Ltd.,Consumer Staples,8016.T,EQ,JP3203500008
Shoei Co. Ltd. (7839),Consumer Staples,7839.T,EQ,JP3360900009
Milbon Co.  Ltd.,Consumer Staples,4919.T,EQ,JP3910650005
LIFEDRINK COMPANY INC.,Consumer Staples,2585.T,EQ,JP3966680005
GIFT HOLDINGS INC.,Consumer Staples,9279.T,EQ,JP3264860002
Kameda Seika Co.  Ltd.,Consumer Staples,2220.T,EQ,JP3219800004
DyDo Group Holdings  Inc.,Consumer Staples,2590.T,EQ,JP3488400007
YAMAE GROUP HOLDINGS CO. LTD.,Consumer Staples,7130.T,EQ,JP3934350004
Shoei Foods Corporation,Consumer Staples,8079.T,EQ,JP3361200003
Bourbon Corporation,Consumer Staples,2208.T,EQ,JP3831400001
Starzen Company Limited,Consumer Staples,8043.T,EQ,JP3399100001
Riken Vitamin Co.  Ltd.,Consumer Staples,4526.T,EQ,JP3972600005
TSI Holdings Co.  Ltd.,Consumer Staples,3608.T,EQ,JP3538690003
Nitto Fuji Flour Milling Co.  Ltd.,Consumer Staples,2003.T,EQ,JP3683200004
Fujiya Co.  Ltd.,Consumer Staples,2211.T,EQ,JP3821200007
Marudai Food Co.  Ltd.,Consumer Staples,2288.T,EQ,JP3876400007
Hokkaido Coca-Cola Bottling Co.  Ltd.,Consumer Staples,2573.T,EQ,JP3847800004
KANRO Co.  Ltd.,Consumer Staples,2216.T,EQ,JP3233400005
Kyokuyo Co.  Ltd.,Consumer Staples,1301.T,EQ,JP3257200000
Orion Breweries  Ltd.,Consumer Staples,409A.T,EQ,JP3200010001
KOIKE-YA Inc.,Consumer Staples,2226.T,EQ,JP3829100001
MEITO CO. LTD.,Consumer Staples,2207.T,EQ,JP3920200007
Fujicco Co.  Ltd.,Consumer Staples,2908.T,EQ,JP3818700001
WARABEYA NICHIYO HOLDINGS Co.  Ltd.,Consumer Staples,2918.T,EQ,JP3994400004
Taiyo Kagaku Co.  Ltd.,Consumer Staples,2902.T,EQ,JP3449600000
Key Coffee Inc.,Consumer Staples,2594.T,EQ,JP3236300004
Morito Co.  Ltd.,Consumer Staples,9837.T,EQ,JP3926200001
BR 31 Ice Cream Co.  Ltd.,Consumer Staples,2268.T,EQ,JP3799600006
HONEYS HOLDINGS CO. LTD.,Consumer Staples,2792.T,EQ,JP3770080004
Sanyo Shokai Ltd.,Consumer Staples,8011.T,EQ,JP3339400008
Iwatsuka Confectionery Co.  Ltd.,Consumer Staples,2221.T,EQ,JP3152200006
Rock Field Co.  Ltd.,Consumer Staples,2910.T,EQ,JP3984200000
Nippi  Incorporated,Consumer Staples,7932.T,EQ,JP3685200002
Cota Co.  Ltd.,Consumer Staples,4923.T,EQ,JP3298900006
Hagoromo Foods Corporation,Consumer Staples,2831.T,EQ,JP3767600004
Yamami Co.,Consumer Staples,2820.T,EQ,JP3943100002
KENKO Mayonnaise Co.  Ltd.,Consumer Staples,2915.T,EQ,JP3281850002
Morozoff Limited,Consumer Staples,2217.T,EQ,JP3927600001
S.T. Corporation,Consumer Staples,4951.T,EQ,JP3162800001
Imuraya Group Co.  Ltd.,Consumer Staples,2209.T,EQ,JP3149200002
Oenon Holdings  Inc.,Consumer Staples,2533.T,EQ,JP3307400006
TENTIAL  Inc.,Consumer Staples,325A.T,EQ,JP3547500003
Artnature Inc.,Consumer Staples,7823.T,EQ,JP3100210008
Jichodo Co.  Ltd.,Consumer Staples,3597.T,EQ,JP3386400000
Shimadaya Corporation,Consumer Staples,250A.T,EQ,JP3356550008
Natori Co.  Ltd.,Consumer Staples,2922.T,EQ,JP3651060000
KIBUN FOODS INC.,Consumer Staples,2933.T,EQ,JP3241500002
I-ne CO.  LTD.,Consumer Staples,4933.T,EQ,JP3100680002
Matsuoka Corp. Ltd.,Consumer Staples,3611.T,EQ,JP3863900001
Nitta Gelatin Inc.,Consumer Staples,4977.T,EQ,JP3679870000
EAT&HOLDINGS Co.  Ltd.,Consumer Staples,2882.T,EQ,JP3130740008
Bull-Dog Sauce Co.  Ltd.,Consumer Staples,2804.T,EQ,JP3831200005
Maruichi Co.  Ltd.,Consumer Staples,8228.T,EQ,JP3871400002
Ebara Foods Industry  Inc.,Consumer Staples,2819.T,EQ,JP3165930003
King Co.  Ltd.,Consumer Staples,8118.T,EQ,JP3261200004
LOOK HOLDINGS INC,Consumer Staples,8029.T,EQ,JP3981000007
Rokko Butter Co.  Ltd.,Consumer Staples,2266.T,EQ,JP3984800007
Nihon Shokuhin Kako Co.  Ltd.,Consumer Staples,2892.T,EQ,JP3715600007
NICHIMO CO.  LTD.,Consumer Staples,8091.T,EQ,JP3664400003
STI Foods Holdings  Inc.,Consumer Staples,2932.T,EQ,JP3163130002
Nakamuraya Co.  Ltd.,Consumer Staples,2204.T,EQ,JP3646000004
Miyoshi Oil & Fat Co.  Ltd.,Consumer Staples,4404.T,EQ,JP3910400005
Daidoh Limited,Consumer Staples,3205.T,EQ,JP3488600002
Shinobu Foods Products Co.  Ltd.,Consumer Staples,2903.T,EQ,JP3354200002
St.Cousair CO. LTD.,Consumer Staples,2937.T,EQ,JP3328700004
BASE FOOD Inc.,Consumer Staples,2936.T,EQ,JP3835230008
Yoshimura Food Holdings KK,Consumer Staples,2884.T,EQ,JP3958400008
Unicafe Inc.,Consumer Staples,2597.T,EQ,JP3950820005
Atsugi Co.  Ltd.,Consumer Staples,3529.T,EQ,JP3120200005
Ichimasa Kamaboko Co.  Ltd.,Consumer Staples,2904.T,EQ,JP3142200009
Pickles Holdings Co.  Ltd.,Consumer Staples,2935.T,EQ,JP3801810007
Daisho Co.  Ltd.,Consumer Staples,2816.T,EQ,JP3483900001
Yutaka Foods Corporation,Consumer Staples,2806.T,EQ,JP3949200004
Como Co.  Ltd.,Consumer Staples,2224.T,EQ,JP3305700001
Yamato International Inc.,Consumer Staples,8127.T,EQ,JP3939600007
Pietro Co.  Ltd.,Consumer Staples,2818.T,EQ,JP3801590005
DAIREI CO.LTD.,Consumer Staples,2883.T,EQ,JP3500150002
AFC-HD AMS Life Science Co.  Ltd.,Consumer Staples,2927.T,EQ,JP3124700000
Sato Foods Industries Co.  Ltd.,Consumer Staples,2814.T,EQ,JP3322100003
SHOBIDO Corporation,Consumer Staples,7819.T,EQ,JP3360150001
FRUTA FRUTA  Inc.,Consumer Staples,2586.T,EQ,JP3828300008
Wakou Shokuhin Co.  Ltd.,Consumer Staples,2813.T,EQ,JP3993000003
AHJIKAN CO.  LTD.,Consumer Staples,2907.T,EQ,JP3119400004
Cross Plus Inc.,Consumer Staples,3320.T,EQ,JP3272700000
Nittobest Corporation,Consumer Staples,2877.T,EQ,JP3684300001
Tabio Corporation,Consumer Staples,2668.T,EQ,JP3506100001
KIMURATAN Corporation,Consumer Staples,8107.T,EQ,JP3242400004
Semba Tohka Industries Co.  Ltd,Consumer Staples,2916.T,EQ,JP3426100008
MARUSAN-AI Co.  Ltd.,Consumer Staples,2551.T,EQ,JP3874600004
AXXZIA  Inc.,Consumer Staples,4936.T,EQ,JP3108220009
Marutai Co.  Ltd.,Consumer Staples,2919.T,EQ,JP3876200001
Hayashikane Sangyo Co.  Ltd.,Consumer Staples,2286.T,EQ,JP3772200006
MOONBAT CO.  LTD.,Consumer Staples,8115.T,EQ,JP3912400003
JFLA Holdings  Inc.,Consumer Staples,3069.T,EQ,JP3120050004
HABA Laboratories  Inc.,Consumer Staples,4925.T,EQ,JP3765130004
HOUSE OF ROSE Co. Ltd.,Consumer Staples,7506.T,EQ,JP3765300003
Almado  Inc.,Consumer Staples,4932.T,EQ,JP3126480007
Liberta Co.  Ltd.,Consumer Staples,4935.T,EQ,JP3974810008
Wagokoro Co.  Ltd.,Consumer Staples,9271.T,EQ,JP3993500002
JELLY BEANS GROUP Co. Ltd.,Consumer Staples,3070.T,EQ,JP3122670007
ADJUVANT HOLDINGS CO.  LTD.,Consumer Staples,4929.T,EQ,JP3119620007
Waqoo Inc.,Consumer Staples,4937.T,EQ,JP3992050009
Shinwa-Holdings Co.  Ltd.,Consumer Staples,7118.T,EQ,JP3385700004
Ishii Food Co.  Ltd.,Consumer Staples,2894.T,EQ,JP3133600001
Charle Co.  Ltd.,Consumer Staples,9885.T,EQ,JP3359800004
C'BON COSMETICS Co.  Ltd.,Consumer Staples,4926.T,EQ,JP3347130001
Tsukamoto Corporation Co.  Ltd.,Consumer Staples,8025.T,EQ,JP3531400004
OHMORIYA Co.  Ltd.,Consumer Staples,2917.T,EQ,JP3190700009
Nichiryo Baking Co.  Ltd.,Consumer Staples,2218.T,EQ,JP3664800004
4Cs HD Co.Ltd.,Consumer Staples,3726.T,EQ,JP3163300001
Tiemco Ltd.,Consumer Staples,7501.T,EQ,JP3544990009
First Baking Co.  Ltd.,Consumer Staples,2215.T,EQ,JP3479400008
Akikawa Foods & Farms Co.  Ltd.,Consumer Staples,1380.T,EQ,JP3107400008
Asahimatsu Foods Co.  Ltd.,Consumer Staples,2911.T,EQ,JP3117000004
Delsole Corporation,Consumer Staples,2876.T,EQ,JP3385950005
Higashimaru Co.  Ltd.,Consumer Staples,2058.T,EQ,JP3783700002
Lipps Co.  Ltd.,Consumer Staples,373A.T,EQ,JP3974620001
Azearth Corporation,Consumer Staples,3161.T,EQ,JP3120070002
Seihyo Co.  Ltd.,Consumer Staples,2872.T,EQ,JP3415600000
Tokyo Soir Co.  Ltd.,Consumer Staples,8040.T,EQ,JP3582200006
KURAUDIA HOLDINGS CO. LTD.,Consumer Staples,3607.T,EQ,JP3267800005
Studio Atao Co.  Ltd.,Consumer Staples,3550.T,EQ,JP3399330004
NAIGAI Co.  Ltd.,Consumer Staples,8013.T,EQ,JP3640800003
NIHON SEIMA CO.  LTD.,Consumer Staples,3306.T,EQ,JP3723400002
Nippon Shikizai  Inc.,Consumer Staples,4920.T,EQ,JP3712200009
Yamaki Co.  Ltd.,Consumer Staples,3598.T,EQ,JP3935000004
Sokensha Co.  Ltd.,Consumer Staples,7413.T,EQ,JP3431600000
Fukutome Meat Packers Ltd.,Consumer Staples,2291.T,EQ,JP3806600007
Ivy Cosmetics Corporation,Consumer Staples,4918.T,EQ,JP3104990001
Shinozakiya  Inc.,Consumer Staples,2926.T,EQ,JP3354050001
Lapine Co.  Ltd.,Consumer Staples,8143.T,EQ,JP3968200000
UMENOYADO BREWERY CO. LTD.,Consumer Staples,559A.T,EQ,JP3159820004
