Company Name,Industry,Symbol,Series,ISIN Code
Mitsubishi UFJ Financial Group Inc.,Financials,8306.T,EQ,JP3902900004
Sumitomo Mitsui Financial Group Inc.,Financials,8316.T,EQ,JP3890350006
Mizuho Financial Group Inc.,Financials,8411.T,EQ,JP3885780001
Tokio Marine Holdings Inc.,Financials,8766.T,EQ,JP3910660004
Japan Post Bank Co. Ltd.,Financials,7182.T,EQ,JP3946750001
MS&AD Insurance Group Holdings Inc.,Financials,8725.T,EQ,JP3890310000
Japan Post Holdings Co. Ltd.,Financials,6178.T,EQ,JP3752900005
Dai-ichi Life Holdings Inc.,Financials,8750.T,EQ,JP3476480003
ORIX Corporation,Financials,8591.T,EQ,JP3200450009
Sompo Holdings Inc.,Financials,8630.T,EQ,JP3165000005
Resona Holdings Inc.,Financials,8308.T,EQ,JP3500610005
Sumitomo Mitsui Trust Holdings Inc.,Financials,8309.T,EQ,JP3892100003
Nomura Holdings Inc.,Financials,8604.T,EQ,JP3762600009
T&D Holdings Inc.,Financials,8795.T,EQ,JP3539220008
Japan Exchange Group Inc.,Financials,8697.T,EQ,JP3183200009
Daiwa Securities Group Inc.,Financials,8601.T,EQ,JP3502200003
Concordia Financial Group Ltd.,Financials,7186.T,EQ,JP3305990008
Mitsubishi HC Capital Inc.,Financials,8593.T,EQ,JP3499800005
SBI Holdings Inc.,Financials,8473.T,EQ,JP3436120004
Japan Post Insurance Co. Ltd,Financials,7181.T,EQ,JP3233250004
Chiba Bank Ltd.,Financials,8331.T,EQ,JP3511800009
Shizuoka Financial Group Inc.,Financials,5831.T,EQ,JP3351500008
Shinkin Central Bank Pfd Subs Cert,Financials,8421.T,EQ,JP3429200003
Fukuoka Financial Group Inc.,Financials,8354.T,EQ,JP3805010000
Kyoto Financial Group Inc.,Financials,5844.T,EQ,JP3252200005
SBI Shinsei Bank  Limited,Financials,8303.T,EQ,JP3729000004
Mebuki Financial Group  Inc.,Financials,7167.T,EQ,JP3117700009
Tokyo Century Corporation,Financials,8439.T,EQ,JP3424950008
Nippon Building Fund  Inc.,Financials,8951.T,EQ,JP3027670003
Hachijuni Nagano Bank  Ltd.,Financials,8359.T,EQ,JP3769000005
Daito Trust Construction Co.  Ltd.,Financials,1878.T,EQ,JP3486800000
Sony Financial Group Inc.,Financials,8729.T,EQ,JP3435350008
Iyogin Holdings Inc.,Financials,5830.T,EQ,JP3149700001
Rakuten Bank  Ltd.,Financials,5838.T,EQ,JP3967220009
Gunma Bank  Ltd.,Financials,8334.T,EQ,JP3276400003
Nomura Real Estate Holdings  Inc.,Financials,3231.T,EQ,JP3762900003
Hokuhoku Financial Group  Inc.,Financials,8377.T,EQ,JP3842400008
