Company Name,Industry,Symbol,Series,ISIN Code
Chugai Pharmaceutical Co. Ltd.,Health Care,4519.T,EQ,
HOYA CORPORATION,Health Care,7741.T,EQ,
Takeda Pharmaceutical Co. Ltd.,Health Care,4502.T,EQ,
Otsuka Holdings Co. Ltd.,Health Care,4578.T,EQ,
Daiichi Sankyo Company Limited,Health Care,4568.T,EQ,
FUJIFILM Holdings Corp,Health Care,4901.T,EQ,
Astellas Pharma Inc.,Health Care,4503.T,EQ,
Terumo Corporation,Health Care,4543.T,EQ,
Shionogi & Co. Ltd.,Health Care,4507.T,EQ,
Olympus Corp.,Health Care,7733.T,EQ,
Kyowa Kirin Co. Ltd.,Health Care,4151.T,EQ,
Shimadzu Corporation,Health Care,7701.T,EQ,
ONO Pharmaceutical Co. Ltd.,Health Care,4528.T,EQ,
Asahi Intecc Co. Ltd.,Health Care,7747.T,EQ,
Sysmex Corporation,Health Care,6869.T,EQ,
Rigaku Holdings Corporation,Health Care,268A.T,EQ,
Sumitomo Pharma Co.Ltd.,Health Care,4506.T,EQ,
Santen Pharmaceutical Co. Ltd.,Health Care,4536.T,EQ,
Sumitomo Bakelite Co. Ltd.,Health Care,4203.T,EQ,
JEOL Ltd.,Health Care,6951.T,EQ,
Fukuda Denshi Co. Ltd.,Health Care,6960.T,EQ,
Tsumura & Co.,Health Care,4540.T,EQ,
Nippon Shinyaku Co. Ltd.,Health Care,4516.T,EQ,
Nakanishi Inc.,Health Care,7716.T,EQ,
Nihon Kohden Corporation,Health Care,6849.T,EQ,
H.U.Group Holdings Inc.,Health Care,4544.T,EQ,
JINS HOLDINGS Inc.,Health Care,3046.T,EQ,
Towa Pharmaceutical Co. Ltd.,Health Care,4553.T,EQ,
Mani Inc.,Health Care,7730.T,EQ,
SAWAI GROUP HOLDINGS Co. Ltd.,Health Care,4887.T,EQ,
GNI Group Ltd.,Health Care,2160.T,EQ,
Kissei Pharmaceutical Co. Ltd.,Health Care,4547.T,EQ,
PHC Holdings Corp.,Health Care,6523.T,EQ,
Takara Bio Inc.,Health Care,4974.T,EQ,
Kaken Pharmaceutical Co. Ltd.,Health Care,4521.T,EQ,
BML Inc.,Health Care,4694.T,EQ,
Peptidream Inc.,Health Care,4587.T,EQ,
Menicon Co. Ltd.,Health Care,7780.T,EQ,
Mochida Pharmaceutical Co. Ltd.,Health Care,4534.T,EQ,
Earth Corporation,Health Care,4985.T,EQ,
SanBio Co. Ltd.,Health Care,4592.T,EQ,
Nxera Pharma Co. Ltd.,Health Care,4565.T,EQ,
Zeria Pharmaceutical Co. Ltd.,Health Care,4559.T,EQ,
Eiken Chemical Co. Ltd.,Health Care,4549.T,EQ,
Japan Lifeline Co. Ltd.,Health Care,7575.T,EQ,
Katakura Industries Co. Ltd.,Health Care,3001.T,EQ,
Oncolys BioPharma Inc.,Health Care,4588.T,EQ,
Tokai Corp.,Health Care,9729.T,EQ,
ASKA Pharmaceutical Holdings Co. Ltd.,Health Care,4886.T,EQ,
Shofu Inc.,Health Care,7979.T,EQ,
KYORIN Pharmaceutical Co. Ltd.,Health Care,4569.T,EQ,
