Company Name,Industry,Symbol,Series,ISIN Code
Tokyo Electron Ltd.,Industrials,8035.T,EQ,
Hitachi Ltd.,Industrials,6501.T,EQ,
Mitsubishi Corporation,Industrials,8058.T,EQ,
Itochu Corporation,Industrials,8001.T,EQ,
Mitsubishi Heavy Industries Ltd.,Industrials,7011.T,EQ,
Mitsubishi Electric Corp.,Industrials,6503.T,EQ,
Sumitomo Electric Industries Ltd.,Industrials,5802.T,EQ,
Fujikura Ltd,Industrials,5803.T,EQ,
Sumitomo Corporation,Industrials,8053.T,EQ,
Disco Corporation,Industrials,6146.T,EQ,
Fanuc Corporation,Industrials,6954.T,EQ,
DAIKIN INDUSTRIES LTD.,Industrials,6367.T,EQ,
Toyota Tsusho Corp.,Industrials,8015.T,EQ,
Komatsu Ltd.,Industrials,6301.T,EQ,
DENSO CORPORATION,Industrials,6902.T,EQ,
Kyocera Corporation,Industrials,6971.T,EQ,
SMC Corporation,Industrials,6273.T,EQ,
East Japan Railway Company,Industrials,9020.T,EQ,
Furukawa Electric Co. Ltd.,Industrials,5801.T,EQ,
Kubota Corporation,Industrials,6326.T,EQ,
Central Japan Railway Company,Industrials,9022.T,EQ,
Nidec Corporation,Industrials,6594.T,EQ,
Secom Co. Ltd.,Industrials,9735.T,EQ,
IHI Corporation,Industrials,7013.T,EQ,
Kajima Corporation,Industrials,1812.T,EQ,
Daifuku Co. Ltd.,Industrials,6383.T,EQ,
Ebara Corporation,Industrials,6361.T,EQ,
SCREEN Holdings Co. Ltd,Industrials,7735.T,EQ,
Nippon Yusen Kabushiki Kaisha,Industrials,9101.T,EQ,
Fuji Electric Co. Ltd.,Industrials,6504.T,EQ,
Taisei Corporation,Industrials,1801.T,EQ,
Mitsui O.S.K.Lines Ltd.,Industrials,9104.T,EQ,
Niterra Co. Ltd.,Industrials,5334.T,EQ,
Kokusai Electric Corporation,Industrials,6525.T,EQ,
Yaskawa Electric Corporation,Industrials,6506.T,EQ,
NGK Corp.,Industrials,5333.T,EQ,
Aisin Corporation,Industrials,7259.T,EQ,
Shimizu Corporation,Industrials,1803.T,EQ,
Kawasaki Kisen Kaisha Ltd.,Industrials,9107.T,EQ,
SUMCO Corporation,Industrials,3436.T,EQ,
ANA Holdings Inc.,Industrials,9202.T,EQ,
Kinden Corporation,Industrials,1944.T,EQ,
TOTO Ltd,Industrials,5332.T,EQ,
Nippon Express Holdings Inc.,Industrials,9147.T,EQ,
OMRON Corporation,Industrials,6645.T,EQ,
Kandenko Co. Ltd.,Industrials,1942.T,EQ,
TOPPAN Holdings Inc.,Industrials,7911.T,EQ,
Japan Airlines Co. Ltd.,Industrials,9201.T,EQ,
Japan Airlines Co. Ltd. Bond-Type Cumulative Pfd Registered Shs Series 1,Industrials,92015.T,EQ,
