Company Name,Industry,Symbol,Series,ISIN Code
Shin-Etsu Chemical Co. Ltd.,Materials,4063.T,EQ,JP3371200001
JX Advanced Metals Corporation,Materials,5016.T,EQ,JP3379550001
Resonac Holdings Corporation,Materials,4004.T,EQ,JP3368000000
Nippon Steel Corporation,Materials,5401.T,EQ,JP3381000003
Mitsui Mining and Smelting Co. Ltd.,Materials,5706.T,EQ,JP3888400003
Asahi Kasei Corporation,Materials,3407.T,EQ,JP3111200006
Sumitomo Metal Mining Co. Ltd.,Materials,5713.T,EQ,JP3402600005
Nippon Paint Holdings Co.  Ltd.,Materials,4612.T,EQ,JP3749400002
Nippon Sanso Holdings Corporation,Materials,4091.T,EQ,JP3711600001
Toray Industries Inc.,Materials,3402.T,EQ,JP3621000003
AGC Inc.,Materials,5201.T,EQ,JP3112000009
Mitsubishi Chemical Group Corporation,Materials,4188.T,EQ,JP3897700005
Tokyo Ohka Kogyo Co.  Ltd.,Materials,4186.T,EQ,JP3571800006
Nissan Chemical Corporation,Materials,4021.T,EQ,JP3670800006
JFE Holdings Inc.,Materials,5411.T,EQ,JP3386030005
Mitsubishi Gas Chemical Company  Inc.,Materials,4182.T,EQ,JP3896800004
Tosoh Corporation,Materials,4042.T,EQ,JP3595200001
Sumitomo Chemical Co. Ltd.,Materials,4005.T,EQ,JP3401400001
Sekisui Chemical Co.  Ltd.,Materials,4204.T,EQ,JP3419400001
Mitsui Chemicals Inc.,Materials,4183.T,EQ,JP3888300005
Kobe Steel Ltd.,Materials,5406.T,EQ,JP3289800009
Yamato Kogyo Co.  Ltd.,Materials,5444.T,EQ,JP3940400009
Oji Holdings Corporation,Materials,3861.T,EQ,JP3174410005
Nitto Boseki Co.  Ltd.,Materials,3110.T,EQ,JP3684400009
NOF Corporation,Materials,4403.T,EQ,JP3753400005
Mitsubishi Materials Corporation,Materials,5711.T,EQ,JP3903000002
Dowa Holdings Co. Ltd.,Materials,5714.T,EQ,JP3638600001
Air Water Inc.,Materials,4088.T,EQ,JP3160670000
Nichirei Corporation,Materials,2871.T,EQ,JP3665200006
UACJ Corporation,Materials,5741.T,EQ,JP3826900007
Toyo Seikan Group Holdings Ltd,Materials,5901.T,EQ,JP3613400005
Kuraray Co. Ltd.,Materials,3405.T,EQ,JP3269600007
Taiheiyo Cement Corporation,Materials,5233.T,EQ,JP3449020001
Daido Steel Co.  Ltd.,Materials,5471.T,EQ,JP3491000000
DIC Corporation,Materials,4631.T,EQ,JP3493400000
Zeon Corporation,Materials,4205.T,EQ,JP3725400000
Fuso Chemical Co.  Ltd.,Materials,4368.T,EQ,JP3822600007
Kansai Paint Co.  Ltd.,Materials,4613.T,EQ,JP3229400001
Lintec Corporation,Materials,7966.T,EQ,JP3977200009
C. Uyemura & Co.  Ltd.,Materials,4966.T,EQ,JP3155350006
Denka Co. Ltd.,Materials,4061.T,EQ,JP3549600009
Rengo Co.  Ltd.,Materials,3941.T,EQ,JP3981400009
Tokuyama Corporation,Materials,4043.T,EQ,JP3625000009
Kaneka Corporation,Materials,4118.T,EQ,JP3215800008
Daicel Corporation,Materials,4202.T,EQ,JP3485800001
FUJI OIL CO. LTD.,Materials,2607.T,EQ,JP3816400000
Fujimi Incorporated,Materials,5384.T,EQ,JP3820900003
Teijin Ltd.,Materials,3401.T,EQ,JP3544000007
Nippon Shokubai Co.  Ltd.,Materials,4114.T,EQ,JP3715200006
Nippon Kayaku Co.  Ltd.,Materials,4272.T,EQ,JP3694400007
UBE Corporation,Materials,4208.T,EQ,JP3158800007
SHIKOKU KASEI HOLDINGS CORPORATION,Materials,4099.T,EQ,JP3349600001
OSAKA SODA CO. LTD.,Materials,4046.T,EQ,JP3485900009
Japan Material Co.  Ltd.,Materials,6055.T,EQ,JP3389680004
Aica Kogyo Company  Limited,Materials,4206.T,EQ,JP3100800006
Kanto Denka Kogyo Co.  Ltd.,Materials,4047.T,EQ,JP3232600001
Nihon Parkerizing Co.  Ltd.,Materials,4095.T,EQ,JP3744600002
YODOKO  Ltd.,Materials,5451.T,EQ,JP3959400007
ISE Chemicals Corporation,Materials,4107.T,EQ,JP3139300002
Nippon Soda Co.  Ltd.,Materials,4041.T,EQ,JP3726200003
Aichi Steel Corporation,Materials,5482.T,EQ,JP3103600007
Nippon Light Metal Holdings Co. Ltd,Materials,5703.T,EQ,JP3700200003
MEC Company Ltd.,Materials,4971.T,EQ,JP3920890005
TOKYO STEEL MANUFACTURING CO. LTD,Materials,5423.T,EQ,JP3579800008
artience Co.Ltd,Materials,4634.T,EQ,JP3606600009
Okaya & Co.  Ltd.,Materials,7485.T,EQ,JP3193400003
Toagosei Co.  Ltd.,Materials,4045.T,EQ,JP3556400004
Shin-Etsu Polymer Co.  Ltd.,Materials,7970.T,EQ,JP3371600002
Seiren Co.  Ltd.,Materials,3569.T,EQ,JP3413800008
Sumitomo Osaka Cement Co. Ltd,Materials,5232.T,EQ,JP3400900001
Tocalo Co. Ltd,Materials,3433.T,EQ,JP3552290003
Sakata Seed Corporation,Materials,1377.T,EQ,JP3315000004
JCU Corporation,Materials,4975.T,EQ,JP3166200000
Toyo Tanso Co.  Ltd.,Materials,5310.T,EQ,JP3616000000
Chugoku Marine Paints Ltd.,Materials,4617.T,EQ,JP3522600000
Nitta Corporation,Materials,5186.T,EQ,JP3679850002
Toyobo Co.  Ltd.,Materials,3101.T,EQ,JP3619800000
Daio Paper Corporation,Materials,3880.T,EQ,JP3440400004
SK Kaken Co.  Ltd.,Materials,4628.T,EQ,JP3162650000
KURABO INDUSTRIES LTD.,Materials,3106.T,EQ,JP3268800004
Hokuetsu Corporation,Materials,3865.T,EQ,JP3841800000
Fuji Seal International  Inc.,Materials,7864.T,EQ,JP3813800004
Kureha Corporation,Materials,4023.T,EQ,JP3271600003
Nippon Paper Industries Co.  Ltd.,Materials,3863.T,EQ,JP3721600009
Fujibo Holdings  Inc.,Materials,3104.T,EQ,JP3820800005
Bunka Shutter Co.  Ltd.,Materials,5930.T,EQ,JP3831600006
Japan Pulp and Paper Co. Ltd.,Materials,8032.T,EQ,JP3694000005
Toyo Gosei Co.  Ltd.,Materials,4970.T,EQ,JP3610400008
ISHIHARA SANGYO KAISHA  LTD.,Materials,4028.T,EQ,JP3136800004
Maeda Kosen Co.  Ltd.,Materials,7821.T,EQ,JP3861250003
