Company Name,Industry,Symbol,Series,ISIN Code
Mitsubishi Estate Co. Ltd.,Real Estate,8802.T,EQ,JP3899600005
Mitsui Fudosan Co. Ltd.,Real Estate,8801.T,EQ,JP3893200000
Sumitomo Realty & Development Co. Ltd.,Real Estate,8830.T,EQ,JP3409000001
Sekisui House Ltd.,Real Estate,1928.T,EQ,JP3420600003
Hulic Co. Ltd,Real Estate,3003.T,EQ,JP3360800001
Open House Group Co. Ltd,Real Estate,3288.T,EQ,JP3173540000
Tokyu Fudosan Holdings Corporation,Real Estate,3289.T,EQ,JP3569200003
Japan Real Estate Investment Corp.,Real Estate,8952.T,EQ,JP3027680002
Japan Retail Fund Investment Corp.,Real Estate,8953.T,EQ,JP3039710003
Tokyo Tatemono Co. Ltd.,Real Estate,8804.T,EQ,JP3582600007
Leopalace21 Corporation,Real Estate,8848.T,EQ,JP3167500002
Heiwa Real Estate Co. Ltd,Real Estate,8803.T,EQ,JP3834800009
