Company Name,Industry,Symbol,Series,ISIN Code
Kioxia Holdings Corporation,Technology,285A.T,EQ,JP3236330001
Tokyo Electron Ltd.,Technology,8035.T,EQ,JP3571400005
Advantest Corporation,Technology,6857.T,EQ,JP3122400009
Keyence Corporation,Technology,6861.T,EQ,JP3236200006
Murata Manufacturing Co. Ltd.,Technology,6981.T,EQ,JP3914400001
Renesas Electronics Corporation,Technology,6723.T,EQ,JP3164720009
TDK Corporation,Technology,6762.T,EQ,JP3538800008
Fujitsu Ltd.,Technology,6702.T,EQ,JP3818000006
Ibiden Co. Ltd.,Technology,4062.T,EQ,JP3148800000
NEC Corporation,Technology,6701.T,EQ,JP3733000008
Kyocera Corporation,Technology,6971.T,EQ,JP3249600002
Canon Inc.,Technology,7751.T,EQ,JP3242800005
Lasertec Corporation,Technology,6920.T,EQ,JP3979200007
LY Corporation,Technology,4689.T,EQ,JP3933800009
SCREEN Holdings Co. Ltd.,Technology,7735.T,EQ,JP3494600004
Konami Group Corporation,Technology,9766.T,EQ,JP3300200007
Nomura Research Institute Ltd.,Technology,4307.T,EQ,JP3762800005
Taiyo Yuden Co. Ltd.,Technology,6976.T,EQ,JP3452000007
Rohm Co. Ltd.,Technology,6963.T,EQ,JP3982800009
Nitto Denko Corporation,Technology,6988.T,EQ,JP3684000007
MinebeaMitsumi Inc.,Technology,6479.T,EQ,JP3906000009
Nexon Co. Ltd.,Technology,3659.T,EQ,JP3758190007
OBIC Co.  Ltd.,Technology,4684.T,EQ,JP3173400007
Hikari Tsushin Inc.,Technology,9435.T,EQ,JP3783420007
Yokogawa Electric Corporation,Technology,6841.T,EQ,JP3955000009
Capcom Co. Ltd,Technology,9697.T,EQ,JP3218900003
Oracle Corporation Japan,Technology,4716.T,EQ,JP3689500001
Otsuka Corporation,Technology,4768.T,EQ,JP3188200004
Omron Corporation,Technology,6645.T,EQ,JP3197800000
Brother Industries Ltd,Technology,6448.T,EQ,JP3830000000
Seiko Epson Corporation,Technology,6724.T,EQ,JP3414750004
Square Enix Holdings Co. Ltd,Technology,9684.T,EQ,JP3164630000
HIROSE ELECTRIC CO.  LTD.,Technology,6806.T,EQ,JP3799000009
Azbil Corporation,Technology,6845.T,EQ,JP3937200008
Ricoh Co. Ltd.,Technology,7752.T,EQ,JP3973400009
Meiko Electronics Co.  Ltd.,Technology,6787.T,EQ,JP3915350007
Trend Micro Incorporated,Technology,4704.T,EQ,JP3637300009
Hamamatsu Photonics K.K.,Technology,6965.T,EQ,JP3771800004
Rorze Corporation,Technology,6323.T,EQ,JP3982200002
TIS Inc.,Technology,3626.T,EQ,JP3104890003
Dexerials Corp.,Technology,4980.T,EQ,JP3548770001
Nikon Corporation,Technology,7731.T,EQ,JP3657400002
NS Solutions Corp,Technology,2327.T,EQ,JP3379900008
Micronics Japan Co.  Ltd.,Technology,6871.T,EQ,JP3750400008
Citizen Watch Co  Ltd.,Technology,7762.T,EQ,JP3352400000
Anritsu Corporation,Technology,6754.T,EQ,JP3128800004
Nippon Electric Glass Co. Ltd.,Technology,5214.T,EQ,JP3733400000
Koei Tecmo Holdings Co.  Ltd.,Technology,3635.T,EQ,JP3283460008
Ferrotec Holdings Corporation,Technology,6890.T,EQ,JP3802720007
