Company Name,Industry,Symbol,Series,ISIN Code
Tokyo Electron,Technology,8035,EQ,
Keyence,Technology,6861,EQ,
Sony Group,Technology,6758,EQ,
Advantest,Technology,6857,EQ,
Murata Manufacturing,Technology,6981,EQ,
TDK Corporation,Technology,6762,EQ,
Fanuc,Technology,6954,EQ,
Fujitsu,Technology,6702,EQ,
NEC Corporation,Technology,6701,EQ,
Panasonic Holdings,Technology,6752,EQ,
Hitachi,Technology,6501,EQ,
Toshiba,Technology,6502,EQ,
Renesas Electronics,Technology,6723,EQ,
DISCO Corporation,Technology,6146,EQ,
Lasertec,Technology,6920,EQ,
Shift,Technology,3697,EQ,
Mitsubishi UFJ Financial,Financials,8306,EQ,
Sumitomo Mitsui Financial,Financials,8316,EQ,
Mizuho Financial,Financials,8411,EQ,
Tokio Marine Holdings,Financials,8766,EQ,
MS&AD Insurance,Financials,8725,EQ,
T&D Holdings,Financials,8795,EQ,
SBI Holdings,Financials,8473,EQ,
Nomura Holdings,Financials,8604,EQ,
Daiwa Securities,Financials,8601,EQ,
ORIX Corporation,Financials,8591,EQ,
Chugai Pharmaceutical,Healthcare,4519,EQ,
Takeda Pharmaceutical,Healthcare,4502,EQ,
Daiichi Sankyo,Healthcare,4568,EQ,
Astellas Pharma,Healthcare,4503,EQ,
Ono Pharmaceutical,Healthcare,4528,EQ,
Shionogi,Healthcare,4507,EQ,
Olympus Corporation,Healthcare,7733,EQ,
Hoya Corporation,Healthcare,7741,EQ,
Sysmex Corporation,Healthcare,6869,EQ,
Toyota Motor,ConsumerDisc,7203,EQ,
Honda Motor,ConsumerDisc,7267,EQ,
Nissan Motor,ConsumerDisc,7201,EQ,
Subaru Corporation,ConsumerDisc,7270,EQ,
Suzuki Motor,ConsumerDisc,7269,EQ,
Mazda Motor,ConsumerDisc,7261,EQ,
Fast Retailing,ConsumerDisc,9983,EQ,
Nitori Holdings,ConsumerDisc,9843,EQ,
Pan Pacific Retail,ConsumerDisc,8251,EQ,
Asahi Group Holdings,Consumer Staples,2502,EQ,
Kirin Holdings,Consumer Staples,2503,EQ,
Suntory Beverage,Consumer Staples,2587,EQ,
Ajinomoto,Consumer Staples,2802,EQ,
Kao Corporation,Consumer Staples,4452,EQ,
Shiseido,Consumer Staples,4911,EQ,
Unicharm,Consumer Staples,8113,EQ,
Mitsubishi Corporation,Industrials,8058,EQ,
Mitsui & Co,Industrials,8031,EQ,
Sumitomo Corporation,Industrials,8053,EQ,
Itochu Corporation,Industrials,8001,EQ,
Marubeni Corporation,Industrials,8002,EQ,
Kubota Corporation,Industrials,6326,EQ,
Komatsu,Industrials,6301,EQ,
Daikin Industries,Industrials,6367,EQ,
ENEOS Holdings,Energy,5020,EQ,
Idemitsu Kosan,Energy,5019,EQ,
Nippon Steel,Materials,5401,EQ,
JFE Holdings,Materials,5411,EQ,
Sumitomo Metal Mining,Materials,5713,EQ,
NTT Docomo (NTT),CommServices,9432,EQ,
SoftBank Group,CommServices,9984,EQ,
KDDI Corporation,CommServices,9433,EQ,
Z Holdings,CommServices,4689,EQ,
Recruit Holdings,CommServices,6098,EQ,
Mitsui Fudosan,RealEstate,8801,EQ,
Mitsubishi Estate,RealEstate,8802,EQ,
Sumitomo Realty,RealEstate,8830,EQ,
Daiwa House Industry,RealEstate,1925,EQ,
Nintendo,Technology,7974,EQ,
Canon,Technology,7751,EQ,
Nidec,Technology,6594,EQ,
Omron,Technology,6645,EQ,
Yaskawa Electric,Technology,6506,EQ,
Rohm,Technology,6963,EQ,
Kyocera,Technology,6971,EQ,
Sharp,Technology,6753,EQ,
Ricoh,Technology,7752,EQ,
Seiko Epson,Technology,6724,EQ,
Mitsubishi Electric,Industrials,6503,EQ,
Denso,ConsumerDisc,6902,EQ,
Bridgestone,ConsumerDisc,5108,EQ,
Aisin,ConsumerDisc,7259,EQ,
Yamaha Motor,ConsumerDisc,7272,EQ,
Sony Financial,Financials,8729,EQ,
Resona Holdings,Financials,8308,EQ,
Concordia Financial,Financials,7186,EQ,
Japan Post Holdings,Financials,6178,EQ,
Japan Post Bank,Financials,7182,EQ,
Eisai,Healthcare,4523,EQ,
Otsuka Holdings,Healthcare,4578,EQ,
Terumo,Healthcare,4543,EQ,
Mitsubishi Tanabe Pharma,Healthcare,4508,EQ,
Seven & i Holdings,Consumer Staples,3382,EQ,
Aeon,Consumer Staples,8267,EQ,
Japan Tobacco,Consumer Staples,2914,EQ,
Meiji Holdings,Consumer Staples,2269,EQ,
Nissin Foods,Consumer Staples,2897,EQ,
Shin-Etsu Chemical,Materials,4063,EQ,
Mitsubishi Chemical,Materials,4188,EQ,
Sumitomo Chemical,Materials,4005,EQ,
Toray Industries,Materials,3402,EQ,
Asahi Kasei,Materials,3407,EQ,
Nitto Denko,Materials,6988,EQ,
Hitachi Construction Machinery,Industrials,6305,EQ,
SMC Corporation,Industrials,6273,EQ,
Mitsubishi Heavy Industries,Industrials,7011,EQ,
IHI Corporation,Industrials,7013,EQ,
Kawasaki Heavy Industries,Industrials,7012,EQ,
Central Japan Railway,Industrials,9022,EQ,
East Japan Railway,Industrials,9020,EQ,
West Japan Railway,Industrials,9021,EQ,
ANA Holdings,Industrials,9202,EQ,
Nippon Yusen,Industrials,9101,EQ,
Mitsui OSK Lines,Industrials,9104,EQ,
Inpex,Energy,1605,EQ,
Tokyo Electric Power,Utilities,9501,EQ,
Kansai Electric Power,Utilities,9503,EQ,
Chubu Electric Power,Utilities,9502,EQ,
Tokyo Gas,Utilities,9531,EQ,
Nexon,CommServices,3659,EQ,
Bandai Namco,CommServices,7832,EQ,
